action_id,date,symbol,timestamp,side,hold_minutes,score,paper_only,execution_mode,execution_assumption,entry_price,stop_price,target_price,context
2026-04-17|IONQ|2026-04-17T09:30:00-04:00|long|8,2026-04-17,IONQ,2026-04-17T09:30:00-04:00,long,8,0.664544403553009,True,shadow,entry_next_bar_open_time_exit_at_selected_hold,44.87,44.65,67.3,"{'pressure_k': 0.0, 'spread': 0.04999999999999716, 'depth_imb_k': -0.900616581861718, 'micro_off': 0.0, 'spread_mean_10s': 0.07517241379310319, 'depth_imb_k_mean_10s': -0.860815516076426, 'depth_imb_k_mean_60s': -0.3902620527902485, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 0.0}"
2026-04-17|IONQ|2026-04-17T09:31:00-04:00|long|3,2026-04-17,IONQ,2026-04-17T09:31:00-04:00,long,3,0.6992005109786987,True,shadow,entry_next_bar_open_time_exit_at_selected_hold,45.18,44.95,67.77,"{'pressure_k': 0.0, 'spread': 0.03999999999999915, 'depth_imb_k': 0.04196577007716628, 'micro_off': 7.105427357601002e-15, 'spread_mean_10s': 0.04374999999999805, 'depth_imb_k_mean_10s': -0.330992342009656, 'depth_imb_k_mean_60s': -0.1303299043306371, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 0.0}"
2026-04-17|IONQ|2026-04-17T09:32:00-04:00|long|5,2026-04-17,IONQ,2026-04-17T09:32:00-04:00,long,5,0.8137285709381104,True,shadow,entry_next_bar_open_time_exit_at_selected_hold,44.57,44.35,66.86,"{'pressure_k': 0.0, 'spread': 0.01999999999999602, 'depth_imb_k': 0.7680244149653045, 'micro_off': 0.006000000000000227, 'spread_mean_10s': 0.029487179487179632, 'depth_imb_k_mean_10s': -0.22525269616518984, 'depth_imb_k_mean_60s': -0.05352804253245283, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 0.0}"
2026-04-17|IONQ|2026-04-17T09:33:00-04:00|long|3,2026-04-17,IONQ,2026-04-17T09:33:00-04:00,long,3,0.6686133742332458,True,shadow,entry_next_bar_open_time_exit_at_selected_hold,44.65,44.43,66.97,"{'pressure_k': 0.0, 'spread': 0.03999999999999915, 'depth_imb_k': -0.0013533567915177196, 'micro_off': 0.0, 'spread_mean_10s': 0.035128205128202326, 'depth_imb_k_mean_10s': 0.04522184091623766, 'depth_imb_k_mean_60s': -0.001331838644584934, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 0.0}"
2026-04-17|IONQ|2026-04-17T09:34:00-04:00|long|12,2026-04-17,IONQ,2026-04-17T09:34:00-04:00,long,12,0.7071554660797119,True,shadow,entry_next_bar_open_time_exit_at_selected_hold,45.24,45.01,67.86,"{'pressure_k': 0.0, 'spread': 0.020000000000003126, 'depth_imb_k': -0.5192036933957631, 'micro_off': -7.105427357601002e-15, 'spread_mean_10s': 0.02575000000000216, 'depth_imb_k_mean_10s': -0.42186460241689794, 'depth_imb_k_mean_60s': -0.2984968406882543, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 0.0}"
2026-04-17|IONQ|2026-04-17T09:35:00-04:00|short|5,2026-04-17,IONQ,2026-04-17T09:35:00-04:00,short,5,0.551019012928009,True,shadow,entry_next_bar_open_time_exit_at_selected_hold,45.63,45.86,22.82,"{'pressure_k': 0.0, 'spread': 0.00999999999999801, 'depth_imb_k': 0.28507203166364686, 'micro_off': 0.0, 'spread_mean_10s': 0.02128205128205124, 'depth_imb_k_mean_10s': 0.07988267404225233, 'depth_imb_k_mean_60s': -0.14535046603924914, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 0.0}"
2026-04-17|IONQ|2026-04-17T09:36:00-04:00|long|3,2026-04-17,IONQ,2026-04-17T09:36:00-04:00,long,3,0.5196546912193298,True,shadow,entry_next_bar_open_time_exit_at_selected_hold,45.29,45.06,67.94,"{'pressure_k': 0.0, 'spread': 0.020000000000003126, 'depth_imb_k': -0.20090548953027731, 'micro_off': -7.105427357601002e-15, 'spread_mean_10s': 0.026923076923078673, 'depth_imb_k_mean_10s': 0.0455612786255087, 'depth_imb_k_mean_60s': -0.01858689564597096, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 0.0}"
2026-04-17|IONQ|2026-04-17T09:37:00-04:00|long|5,2026-04-17,IONQ,2026-04-17T09:37:00-04:00,long,5,0.5586342215538025,True,shadow,entry_next_bar_open_time_exit_at_selected_hold,45.3201,45.09,67.98,"{'pressure_k': 0.0, 'spread': 0.030000000000001137, 'depth_imb_k': 0.6058328627076184, 'micro_off': 0.0, 'spread_mean_10s': 0.029499999999999815, 'depth_imb_k_mean_10s': 0.13815538335286986, 'depth_imb_k_mean_60s': 0.05826335354331906, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 0.0}"
2026-04-17|IONQ|2026-04-17T09:38:00-04:00|short|3,2026-04-17,IONQ,2026-04-17T09:38:00-04:00,short,3,0.5028457641601562,True,shadow,entry_next_bar_open_time_exit_at_selected_hold,45.44,45.67,22.72,"{'pressure_k': 0.0, 'spread': 0.020000000000003126, 'depth_imb_k': 0.028977196959594612, 'micro_off': 0.0, 'spread_mean_10s': 0.02461538461538409, 'depth_imb_k_mean_10s': 0.14070871013411937, 'depth_imb_k_mean_60s': -0.017140828949289345, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 0.0}"
2026-04-17|IONQ|2026-04-17T09:39:00-04:00|short|3,2026-04-17,IONQ,2026-04-17T09:39:00-04:00,short,3,0.5208125114440918,True,shadow,entry_next_bar_open_time_exit_at_selected_hold,45.175531,45.4,22.59,"{'pressure_k': 0.0, 'spread': 0.030000000000001137, 'depth_imb_k': -0.12118744578782462, 'micro_off': 0.0, 'spread_mean_10s': 0.025230769230769896, 'depth_imb_k_mean_10s': 0.04865324807730317, 'depth_imb_k_mean_60s': 0.10256414768637698, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 0.0}"
