definition,coef_event,ci_low,ci_high,p_value,n_events,n_controls,analysis,regime,threshold
def_a,-0.0004144297688742368,-0.0005322460065943538,-0.0003476963204976469,0.0,73,12826.0,primary,,
def_b,-7.306934340347151e-05,-0.0003927461238072655,0.00014591195871788918,0.606,37,12862.0,primary,,
def_a,0.0003534878569500423,5.337761249375661e-05,0.0006647718770100062,0.014,73,13006.0,pretrend,,
def_b,3.7967350286127085e-06,-0.0002749636427669131,0.0003075750929599285,0.97,37,13042.0,pretrend,,
def_a,0.00018003757582708493,7.88197431174835e-05,0.00029234422906066073,0.0,192,12707.0,falsification,,
def_b,0.0002859435563365823,0.000159198247150595,0.0003778281484152733,0.0,109,12790.0,falsification,,
def_a,-0.00032272140777832233,-0.0006079226709770489,-4.8349422937188175e-05,,33,,regime,high,
def_a,-0.0004994339874232437,-0.000645925231509499,-0.0003507520459014398,,40,,regime,low,
def_b,0.0004382353525959774,-5.978115552762776e-05,0.001053925446542512,,18,,regime,high,
def_b,-0.000519039304333922,-0.0009118754775133791,-0.00027568244225945136,,19,,regime,low,
def_a,-0.00022229879121406928,-0.00031772446683002247,-0.00014473273524398642,0.0,354,12545.0,sensitivity,,0.97
