side,percentile,horizon_sec,mean_ret_bps,std_ret_bps,t_stat,p_value,sharpe,n_obs,win_rate
bid,0-50%,30,-0.14260890109358945,7.740527795781871,-12.974957736191852,0.0,-44.73879246049984,495975,0.2888230253541005
bid,50-75%,30,0.024819662133938818,7.025732524227098,1.712723089926317,0.08676481399706382,8.57852166709129,235053,0.24666351844052192
bid,75-90%,30,0.3174664474978357,9.645669986423586,12.875823239025634,0.0,79.92334137323292,153045,0.254095200757947
bid,90-95%,30,-0.006879535287477968,7.129689999913858,-0.2209188741949428,0.825156461456547,-2.343131457590235,52419,0.256967893321124
bid,95-99%,30,-0.020670653289354354,7.169313964055343,-0.5831007043021426,0.5598287245875326,-7.001398576400174,40901,0.23578885601819027
bid,99%+,30,0.41601587546185886,15.553738365300084,2.6587381319207477,0.007856030827687377,64.95062189632367,9881,0.29926120837971865
bid,0-50%,60,-0.2516168657985023,10.817396529304586,-16.363779666550453,0.0,-56.48396791958798,494918,0.3364375512711197
bid,50-75%,60,0.043266956856399766,9.709349286247729,2.1585617368931453,0.030885194703311303,10.821175108871895,234637,0.29232814943934676
bid,75-90%,60,0.6043502970174099,13.44774137279071,17.568404866132727,0.0,109.13086331118411,152822,0.3010168692989229
bid,90-95%,60,-0.06648130296914498,9.844577092881632,-1.5453215656630672,0.12227454483238787,-16.398746690302627,52364,0.30761591933389354
bid,95-99%,60,-0.06761574410926431,10.40758738238429,-1.3129271602515513,0.18921487116066005,-15.77632938097104,40840,0.2720617042115573
bid,99%+,60,0.2011915539112458,21.889926550383215,0.9055873023211625,0.36517680853269074,22.318943855361237,9708,0.353728883395138
bid,0-50%,120,-0.41578829218528424,15.045191865455676,-19.408668650350627,0.0,-67.10930247627788,493222,0.37527117606270605
bid,50-75%,120,-0.06795513105383737,13.41856676252969,-2.4497524224476317,0.014296174480445067,-12.297712115039282,233998,0.3302720536072958
bid,75-90%,120,1.034573172928091,18.942877550578945,21.319049835459015,0.0,132.62440847014742,152372,0.33672853280130205
bid,90-95%,120,0.12359818416323451,13.543372884184466,2.08624736914959,0.03696105792588078,22.16120920670883,52259,0.35735471402055147
bid,95-99%,120,-0.35572496964539335,13.904310160879312,-5.165392177499516,2.4106242801913425e-07,-62.125958629853756,40764,0.3155235011284467
bid,99%+,120,1.389446460951216,31.665756058404256,4.244665540193594,2.2103267810491545e-05,106.55164383540128,9358,0.43588373584099166
bid,0-50%,300,-0.8215849532139391,23.81055574476239,-24.10176229559118,0.0,-83.78979808510236,487901,0.40694936062848813
bid,50-75%,300,-0.1901496087846638,20.805124498153614,-4.399479054883579,1.0855936735554295e-05,-22.193884233507177,231714,0.37408615793607636
bid,75-90%,300,1.8065544952609085,29.62382189925219,23.740552111255603,0.0,148.08742372888452,151552,0.37676177153716217
bid,90-95%,300,-0.40426283295210114,20.968922901557363,-4.400081311985718,1.0842490588913734e-05,-46.81617105825126,52089,0.42056864213173606
bid,95-99%,300,-0.5222037218354311,21.572380548460224,-4.869529806586657,1.1228559877451971e-06,-58.782775642207966,40466,0.3665793505659072
bid,99%+,300,6.75044284980109,52.42284366053506,11.8138200951967,0.0,312.6942451301578,8417,0.5279790899370322
ask,0-50%,30,-0.036769299574907044,8.410048960715423,-3.1227916852828166,0.0017915450875105599,-10.61683412164249,510167,0.28299752826035396
ask,50-75%,30,0.10197417375928682,6.858954921859012,7.2328635886462145,4.742872761198669e-13,36.10276343489915,236677,0.2494538970833668
ask,75-90%,30,0.12273640943810188,7.976907534774765,5.789176665308519,7.088098330498838e-09,37.36345729890985,141565,0.23849821636703988
ask,90-95%,30,0.055520870406347435,6.110645942098443,2.005644615585578,0.04489969651889725,22.063649215759604,48727,0.23071397787674186
ask,95-99%,30,-0.17405002038540204,7.492612307097414,-4.699206706478684,2.620224416771677e-06,-56.4090799440774,40923,0.23839894435891798
ask,99%+,30,-0.5348971712161351,16.107217554471912,-3.1878468310716617,0.0014381548327648819,-80.64138454962088,9215,0.27683125339121
ask,0-50%,60,-0.024759996762212008,11.54953041999367,-1.5298182432458,0.1260623457923835,-5.205883626688508,509222,0.3314350126271057
ask,50-75%,60,0.15675152108565812,9.919283639956822,7.681366776085371,1.5765166949677223e-14,38.37422820690562,236273,0.30200657713746387
ask,75-90%,60,0.19336598970868868,11.084390327092654,6.5568662741875015,5.5138560384193624e-11,42.36200222928989,141272,0.28903816750665384
ask,90-95%,60,-0.03879833179893761,8.652139277696145,-0.988875656101524,0.32272890264633247,-10.889244517502432,48630,0.27565288916306807
ask,95-99%,60,-0.2633603633486825,10.990709436077394,-4.842832549792268,1.2846893668871928e-06,-58.18792700221362,40846,0.29961318121725505
ask,99%+,60,-1.414092927077833,22.965236798292853,-5.856461787069553,4.893329075272845e-09,-149.52548552500022,9046,0.33097501658191464
ask,0-50%,120,-0.007427814495336274,16.227856848109617,-0.3261106376386789,0.7443407833721274,-1.111496450413451,507610,0.3788341443233979
ask,50-75%,120,0.2784499427164786,13.328125944122789,10.14137922068534,0.0,50.73249766231891,235634,0.35559808856107356
ask,75-90%,120,0.2751785501922998,14.98665765482119,6.888427751907917,5.664801960847399e-12,44.587999809719506,140741,0.3392401645575916
ask,90-95%,120,-0.06070454630423417,11.95298395051593,-1.1176750765686174,0.2637113351841114,-12.332555549781825,48433,0.3363615716556893
ask,95-99%,120,-0.34738307632970067,16.533879452923394,-4.244772613501752,2.1929808455611877e-05,-51.02019204886867,40817,0.33657544650513266
ask,99%+,120,-2.8696472221315266,34.248570138068274,-7.832349993136104,5.329070518200751e-15,-203.46713264284645,8738,0.3878461890592813
ask,0-50%,300,0.1960093296397791,25.50915840606234,5.450959257552804,5.012228432299537e-08,18.659019208867218,503251,0.43329670482522636
ask,50-75%,300,0.6703438413531769,20.145971722498423,16.073433340160292,0.0,80.80116133244259,233345,0.422666009556665
ask,75-90%,300,0.16238655045965575,23.81455825931146,2.544488250671897,0.010944869335684393,16.558299179652998,139247,0.4110968279388425
ask,90-95%,300,-0.017315638238098348,19.416732926862345,-0.19533650676645328,0.8451303464208886,-2.1655616202887056,47978,0.4032890074617533
ask,95-99%,300,-1.0588907821121565,26.133968565479073,-8.161193208703468,2.220446049250313e-16,-98.39068913263522,40571,0.37699341894456634
ask,99%+,300,-9.989405228044413,60.24140697684442,-14.595242071137587,0.0,-402.6731977110476,7747,0.40660900993933136
