side,horizon_sec,mean_ret_bps,std_ret_bps,t_stat,p_value,sharpe,n_obs,win_rate
bid,5,0.005573422362515825,1.005212173922886,1.885879778179298,0.059313659996611756,13.463947678923757,115691,0.010873793121331823
bid,10,0.0101527647774752,1.433613300474233,2.41361234515597,0.015796794552533022,17.19730928806978,116153,0.020386903480753834
bid,15,0.01228785153259021,1.730342646751812,2.4152583807128796,0.01572559105049698,17.244557024354414,115675,0.028934514804408906
bid,30,0.017239513842264277,2.4328256253895613,2.414235531975128,0.015769802369449692,17.207676463355803,116073,0.05170883840341854
bid,60,0.009524504327313653,3.475900474573269,0.9330739083269578,0.35078375249624383,6.6540069438488825,115953,0.08843238208584513
bid,120,0.02792434349976461,4.8837869582425855,1.945241956988636,0.0517482823615254,13.88463475993995,115743,0.14288553087443734
bid,180,0.025169459988852172,5.902671718567426,1.4495047354810495,0.14719939268188198,10.354603337495286,115555,0.18192202847129071
bid,300,0.02976733864656823,7.491331415700835,1.348259111121058,0.1775777108815182,9.649153086874179,115129,0.23540550165466564
bid,600,-0.0638052610929275,10.74904807584282,-2.006649867308336,0.04478930875723863,-14.414337415485472,114280,0.2991599579978999
ask,5,0.003659576220881257,1.8453209528869667,0.6505265402255496,0.5153535529507645,4.815784926755763,107600,0.014897769516728625
ask,10,0.005612406357124343,2.388258295028757,0.7867552031416291,0.43142684521347396,5.70658134237873,112084,0.028942578780200564
ask,15,0.008881935663438804,2.8955813782078104,1.0060497350361124,0.3143939092143455,7.44869252107258,107571,0.04064292420819738
ask,30,0.01117809076844825,3.8689201184234006,0.9667564353723731,0.33366789551757003,7.015943258550221,111964,0.07430066807188025
ask,60,0.007309440094889536,5.366199999706511,0.45543306906759284,0.6487985936187592,3.307694989144737,111793,0.12640326317390177
ask,120,-0.03236543204958159,7.345907897417933,-1.4706776992708317,0.14138112389136692,-10.699023194927342,111420,0.192380183091007
ask,180,-0.0720731695198532,8.886308391997957,-2.7030528443975594,0.006871626904280115,-19.695201994034235,111072,0.23602708153269952
ask,300,-0.10978846502159818,11.446478937428473,-3.1878735003576897,0.0014336314246026216,-23.291260822750196,110467,0.29840585876325054
ask,600,-0.06398230899976226,16.759344365653266,-1.2609369300312248,0.2073342681003083,-9.270669168382947,109089,0.3792591370348981
