feature,train_non_null,oos_non_null,abs_gap
f__range__ratio_1.0,0.9980410351582637,0.9921422663358147,0.0058987688224489965
f__conv__obv_mom_12,0.9987627590473245,0.9950372208436724,0.003725538203652068
f__conv__mom_vol_12,0.9987627590473245,0.9950372208436724,0.003725538203652068
f__conv__adl_strength_12,0.9988658624600474,0.9954507857733664,0.003415076686680951
f__conv__body_strength_12,0.9988658624600474,0.9954507857733664,0.003415076686680951
f__conv__zscore_12,0.9988658624600474,0.9954507857733664,0.003415076686680951
f__conv__wick_skew_12,0.9988658624600474,0.9954507857733664,0.003415076686680951
f__conv__range_pos_12,0.9988658624600474,0.9954507857733664,0.003415076686680951
f__conv__mom_vol_6,0.9993813795236622,0.9975186104218362,0.001862769101826034
f__vol__rolling_std_6,0.9993813795236622,0.9975186104218362,0.001862769101826034
f__conv__obv_mom_6,0.9993813795236622,0.9975186104218362,0.001862769101826034
f__vol__sum_6,0.9994844829363851,0.9979321753515302,0.0015523075848549173
f__ma__ratio_6,0.9994844829363851,0.9979321753515302,0.0015523075848549173
f__conv__zscore_3,0.9992782761109392,0.9979321753515302,0.0013461007594089969
f__conv__wick_skew_6,0.9994844829363851,0.9979321753515302,0.0015523075848549173
f__mom__rsi_6,0.9994844829363851,0.9979321753515302,0.0015523075848549173
f__conv__body_strength_6,0.9994844829363851,0.9979321753515302,0.0015523075848549173
f__conv__range_pos_6,0.9994844829363851,0.9979321753515302,0.0015523075848549173
f__conv__adl_strength_6,0.9994844829363851,0.9979321753515302,0.0015523075848549173
f__conv__zscore_6,0.9994844829363851,0.9979321753515302,0.0015523075848549173
f__mom__roc_3,0.9996906897618311,0.9987593052109182,0.000931384550912906
f__conv__obv_mom_3,0.9996906897618311,0.9987593052109182,0.000931384550912906
f__vol__rolling_std_3,0.9996906897618311,0.9987593052109182,0.000931384550912906
f__ret__simple_3,0.9996906897618311,0.9987593052109182,0.000931384550912906
f__conv__mom_vol_3,0.9996906897618311,0.9987593052109182,0.000931384550912906
f__conv__body_strength_3,0.9997937931745541,0.9991728701406121,0.0006209230339420113
f__conv__wick_skew_3,0.9997937931745541,0.9991728701406121,0.0006209230339420113
f__ma__ratio_3,0.9997937931745541,0.9991728701406121,0.0006209230339420113
f__mom__roc_2,0.9997937931745541,0.9991728701406121,0.0006209230339420113
f__ret__simple_2,0.9997937931745541,0.9991728701406121,0.0006209230339420113
f__vol__sum_3,0.9997937931745541,0.9991728701406121,0.0006209230339420113
f__conv__range_pos_3,0.9997937931745541,0.9991728701406121,0.0006209230339420113
f__conv__adl_strength_3,0.9997937931745541,0.9991728701406121,0.0006209230339420113
f__ret__simple_1,0.999896896587277,0.9995864350703061,0.00031046151697089464
f__mom__roc_1,0.999896896587277,0.9995864350703061,0.00031046151697089464
f__time__dow_sin,1.0,1.0,0.0
f__time__minute_cos,1.0,1.0,0.0
f__time__dow_cos,1.0,1.0,0.0
f__time__hour_cos,1.0,1.0,0.0
f__time__minute_sin,1.0,1.0,0.0
f__vol__atr_6,1.0,1.0,0.0
f__vol__atr_3,1.0,1.0,0.0
f__vwap__value_3,1.0,1.0,0.0
f__vwap__value_6,1.0,1.0,0.0
f__vol__rel_6,1.0,1.0,0.0
f__time__hour_sin,1.0,1.0,0.0
