feature,train_non_null,oos_non_null,abs_gap
f__range__ratio_1.0,0.9922131147540983,0.9788182831661093,0.013394831587989042
f__conv__obv_mom_12,0.9950819672131147,0.9866220735785953,0.008459893634519378
f__conv__mom_vol_12,0.9950819672131147,0.9866220735785953,0.008459893634519378
f__conv__adl_strength_12,0.9954918032786885,0.987736900780379,0.007754902498309457
f__conv__body_strength_12,0.9954918032786885,0.987736900780379,0.007754902498309457
f__conv__zscore_12,0.9954918032786885,0.987736900780379,0.007754902498309457
f__conv__wick_skew_12,0.9954918032786885,0.987736900780379,0.007754902498309457
f__conv__range_pos_12,0.9954918032786885,0.987736900780379,0.007754902498309457
f__conv__mom_vol_6,0.9975409836065574,0.9933110367892977,0.004229946817259744
f__vol__rolling_std_6,0.9975409836065574,0.9933110367892977,0.004229946817259744
f__conv__obv_mom_6,0.9975409836065574,0.9933110367892977,0.004229946817259744
f__vol__sum_6,0.9979508196721312,0.9944258639910813,0.003524955681049824
f__ma__ratio_6,0.9979508196721312,0.9944258639910813,0.003524955681049824
f__conv__range_pos_6,0.9979508196721312,0.9944258639910813,0.003524955681049824
f__conv__wick_skew_6,0.9979508196721312,0.9944258639910813,0.003524955681049824
f__mom__rsi_6,0.9979508196721312,0.9944258639910813,0.003524955681049824
f__conv__body_strength_6,0.9979508196721312,0.9944258639910813,0.003524955681049824
f__conv__zscore_6,0.9979508196721312,0.9944258639910813,0.003524955681049824
f__conv__adl_strength_6,0.9979508196721312,0.9944258639910813,0.003524955681049824
f__conv__zscore_3,0.9984426229508196,0.9962839093273876,0.002158713623432007
f__mom__roc_3,0.9987704918032787,0.9966555183946488,0.002114973408629872
f__conv__obv_mom_3,0.9987704918032787,0.9966555183946488,0.002114973408629872
f__vol__rolling_std_3,0.9987704918032787,0.9966555183946488,0.002114973408629872
f__ret__simple_3,0.9987704918032787,0.9966555183946488,0.002114973408629872
f__conv__mom_vol_3,0.9987704918032787,0.9966555183946488,0.002114973408629872
f__conv__body_strength_3,0.9991803278688525,0.9977703455964325,0.0014099822724199518
f__conv__wick_skew_3,0.9991803278688525,0.9977703455964325,0.0014099822724199518
f__ma__ratio_3,0.9991803278688525,0.9977703455964325,0.0014099822724199518
f__mom__roc_2,0.9991803278688525,0.9977703455964325,0.0014099822724199518
f__ret__simple_2,0.9991803278688525,0.9977703455964325,0.0014099822724199518
f__vol__sum_3,0.9991803278688525,0.9977703455964325,0.0014099822724199518
f__conv__range_pos_3,0.9991803278688525,0.9977703455964325,0.0014099822724199518
f__conv__adl_strength_3,0.9991803278688525,0.9977703455964325,0.0014099822724199518
f__ret__simple_1,0.9995901639344262,0.9988851727982163,0.0007049911362099204
f__mom__roc_1,0.9995901639344262,0.9988851727982163,0.0007049911362099204
f__time__dow_sin,1.0,1.0,0.0
f__time__minute_cos,1.0,1.0,0.0
f__time__dow_cos,1.0,1.0,0.0
f__time__hour_cos,1.0,1.0,0.0
f__time__minute_sin,1.0,1.0,0.0
f__vol__atr_6,1.0,1.0,0.0
f__vol__atr_3,1.0,1.0,0.0
f__vwap__value_3,1.0,1.0,0.0
f__vwap__value_6,1.0,1.0,0.0
f__vol__rel_6,1.0,1.0,0.0
f__time__hour_sin,1.0,1.0,0.0
