sweep_id,entries,rejections,trades_per_day,avg_r_multiple,hit_rate,metric_total_return,metric_annualized_return,metric_volatility,metric_sharpe_ratio,metric_max_drawdown,metric_max_drawdown_duration,metric_total_commissions,metric_total_slippage,metric_fill_rate,metric_total_trades,metric_win_rate,metric_profit_factor,metric_winning_trades,metric_losing_trades,param_param_bigmove_policy.probability_threshold,param_param_score_margin,param_param_prob_threshold_long,param_param_max_open_positions_global
0,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.15,-0.1,0.5,2
1,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.15,-0.1,0.5,3
2,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.15,-0.1,0.55,2
3,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.15,-0.1,0.55,3
4,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.15,-0.1,0.6,2
5,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.15,-0.1,0.6,3
6,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.15,-0.05,0.5,2
7,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.15,-0.05,0.5,3
8,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.15,-0.05,0.55,2
9,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.15,-0.05,0.55,3
10,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.15,-0.05,0.6,2
11,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.15,-0.05,0.6,3
12,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.15,0.0,0.5,2
13,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.15,0.0,0.5,3
14,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.15,0.0,0.55,2
15,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.15,0.0,0.55,3
16,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.15,0.0,0.6,2
17,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.15,0.0,0.6,3
18,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.15,0.02,0.5,2
19,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.15,0.02,0.5,3
20,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.15,0.02,0.55,2
