sweep_id,entries,rejections,trades_per_day,avg_r_multiple,hit_rate,rejection_counts,reject_bigmove_prob,reject_probability,reject_score_margin,reject_tod_profile,reject_expected_r,reject_risk_budget,reject_capacity,reject_other,metric_total_return,metric_annualized_return,metric_volatility,metric_sharpe_ratio,metric_max_drawdown,metric_max_drawdown_duration,metric_total_commissions,metric_total_slippage,metric_fill_rate,metric_total_trades,metric_trades,metric_win_rate,metric_avg_R,metric_total_pnl,metric_fees_total,param_bigmove_policy.probability_threshold,param_score_margin,param_prob_threshold_long,param_max_open_positions_global
0,31,17956,1.4090909090909092,0.0,0.0,"{'bigmove_prob': 14879, 'probability': 15, 'score_margin': 46, 'tod_profile': 518, 'expected_r': 0, 'risk_budget': 2455, 'capacity': 43, 'other': 0}",14879,15,46,518,0,2455,43,0,-1.538374753429217e-05,-4.518328018510154e-06,6.283196506028709e-05,-318.381230140172,-4.723071081091358e-05,470,15.5,0.0,0.5,27,27,0.6296296296296297,-0.1502311820714396,-4.056241915928869,15.5,0.0005,0.0,0.001,2
1,32,17954,1.4545454545454546,0.0,0.0,"{'bigmove_prob': 14879, 'probability': 14, 'score_margin': 45, 'tod_profile': 521, 'expected_r': 0, 'risk_budget': 2453, 'capacity': 42, 'other': 0}",14879,14,45,521,0,2453,42,0,-1.587904878141977e-05,-4.66380271813005e-06,6.596253936103514e-05,-303.2731001034676,-4.7230734204046e-05,470,16.0,0.0,0.5,29,29,0.5517241379310345,-0.36126009715323626,-10.476542817443852,16.0,0.0005,0.0,0.001,3
2,31,17956,1.4090909090909092,0.0,0.0,"{'bigmove_prob': 14879, 'probability': 15, 'score_margin': 46, 'tod_profile': 518, 'expected_r': 0, 'risk_budget': 2455, 'capacity': 43, 'other': 0}",14879,15,46,518,0,2455,43,0,-1.538374753429217e-05,-4.518328018510154e-06,6.283196506028709e-05,-318.381230140172,-4.723071081091358e-05,470,15.5,0.0,0.5,27,27,0.6296296296296297,-0.1502311820714396,-4.056241915928869,15.5,0.0005,0.0,0.002,2
3,32,17954,1.4545454545454546,0.0,0.0,"{'bigmove_prob': 14879, 'probability': 14, 'score_margin': 45, 'tod_profile': 521, 'expected_r': 0, 'risk_budget': 2453, 'capacity': 42, 'other': 0}",14879,14,45,521,0,2453,42,0,-1.587904878141977e-05,-4.66380271813005e-06,6.596253936103514e-05,-303.2731001034676,-4.7230734204046e-05,470,16.0,0.0,0.5,29,29,0.5517241379310345,-0.36126009715323626,-10.476542817443852,16.0,0.0005,0.0,0.002,3
4,31,17956,1.4090909090909092,0.0,0.0,"{'bigmove_prob': 14879, 'probability': 15, 'score_margin': 46, 'tod_profile': 518, 'expected_r': 0, 'risk_budget': 2455, 'capacity': 43, 'other': 0}",14879,15,46,518,0,2455,43,0,-1.538374753429217e-05,-4.518328018510154e-06,6.283196506028709e-05,-318.381230140172,-4.723071081091358e-05,470,15.5,0.0,0.5,27,27,0.6296296296296297,-0.1502311820714396,-4.056241915928869,15.5,0.0005,0.0,0.005,2
5,32,17954,1.4545454545454546,0.0,0.0,"{'bigmove_prob': 14879, 'probability': 14, 'score_margin': 45, 'tod_profile': 521, 'expected_r': 0, 'risk_budget': 2453, 'capacity': 42, 'other': 0}",14879,14,45,521,0,2453,42,0,-1.587904878141977e-05,-4.66380271813005e-06,6.596253936103514e-05,-303.2731001034676,-4.7230734204046e-05,470,16.0,0.0,0.5,29,29,0.5517241379310345,-0.36126009715323626,-10.476542817443852,16.0,0.0005,0.0,0.005,3
6,22,17976,1.0,0.0,0.0,"{'bigmove_prob': 16448, 'probability': 43, 'score_margin': 64, 'tod_profile': 501, 'expected_r': 0, 'risk_budget': 897, 'capacity': 23, 'other': 0}",16448,43,64,501,0,897,23,0,-1.2458630885503474e-05,-3.6591944014841005e-06,4.9517281098051425e-05,-403.97329479361616,-4.72606713719884e-05,470,10.5,0.0,0.5,20,20,0.4,-0.4975564758657103,-9.951129517314206,10.5,0.0005,0.005,0.001,2
7,22,17976,1.0,0.0,0.0,"{'bigmove_prob': 16450, 'probability': 43, 'score_margin': 64, 'tod_profile': 501, 'expected_r': 0, 'risk_budget': 897, 'capacity': 21, 'other': 0}",16450,43,64,501,0,897,21,0,-1.2713630873295578e-05,-3.7340901686278016e-06,4.933405779518444e-05,-405.4751420046623,-4.7260683423213595e-05,470,10.5,0.0,0.5,19,19,0.42105263157894735,-0.5542698963849603,-10.531128031314246,10.5,0.0005,0.005,0.001,3
8,22,17976,1.0,0.0,0.0,"{'bigmove_prob': 16448, 'probability': 43, 'score_margin': 64, 'tod_profile': 501, 'expected_r': 0, 'risk_budget': 897, 'capacity': 23, 'other': 0}",16448,43,64,501,0,897,23,0,-1.2458630885503474e-05,-3.6591944014841005e-06,4.9517281098051425e-05,-403.97329479361616,-4.72606713719884e-05,470,10.5,0.0,0.5,20,20,0.4,-0.4975564758657103,-9.951129517314206,10.5,0.0005,0.005,0.002,2
9,22,17976,1.0,0.0,0.0,"{'bigmove_prob': 16450, 'probability': 43, 'score_margin': 64, 'tod_profile': 501, 'expected_r': 0, 'risk_budget': 897, 'capacity': 21, 'other': 0}",16450,43,64,501,0,897,21,0,-1.2713630873295578e-05,-3.7340901686278016e-06,4.933405779518444e-05,-405.4751420046623,-4.7260683423213595e-05,470,10.5,0.0,0.5,19,19,0.42105263157894735,-0.5542698963849603,-10.531128031314246,10.5,0.0005,0.005,0.002,3
10,22,17976,1.0,0.0,0.0,"{'bigmove_prob': 16448, 'probability': 43, 'score_margin': 64, 'tod_profile': 501, 'expected_r': 0, 'risk_budget': 897, 'capacity': 23, 'other': 0}",16448,43,64,501,0,897,23,0,-1.2458630885503474e-05,-3.6591944014841005e-06,4.9517281098051425e-05,-403.97329479361616,-4.72606713719884e-05,470,10.5,0.0,0.5,20,20,0.4,-0.4975564758657103,-9.951129517314206,10.5,0.0005,0.005,0.005,2
11,22,17976,1.0,0.0,0.0,"{'bigmove_prob': 16450, 'probability': 43, 'score_margin': 64, 'tod_profile': 501, 'expected_r': 0, 'risk_budget': 897, 'capacity': 21, 'other': 0}",16450,43,64,501,0,897,21,0,-1.2713630873295578e-05,-3.7340901686278016e-06,4.933405779518444e-05,-405.4751420046623,-4.7260683423213595e-05,470,10.5,0.0,0.5,19,19,0.42105263157894735,-0.5542698963849603,-10.531128031314246,10.5,0.0005,0.005,0.005,3
12,14,17990,0.6363636363636364,0.0,0.0,"{'bigmove_prob': 16457, 'probability': 59, 'score_margin': 73, 'tod_profile': 486, 'expected_r': 0, 'risk_budget': 900, 'capacity': 15, 'other': 0}",16457,59,73,486,0,900,15,0,-6.999719407985161e-06,-2.0558667263026464e-06,3.323666924619935e-05,-601.8068693514938,-3.0978333148846645e-05,470,7.0,0.0,0.5,13,13,0.3076923076923077,-0.5107475332603476,-6.639717932384519,7.0,0.0005,0.01,0.001,2
13,14,17990,0.6363636363636364,0.0,0.0,"{'bigmove_prob': 16457, 'probability': 59, 'score_margin': 73, 'tod_profile': 486, 'expected_r': 0, 'risk_budget': 900, 'capacity': 15, 'other': 0}",16457,59,73,486,0,900,15,0,-6.999719407985161e-06,-2.0558667263026464e-06,3.323666924619935e-05,-601.8068693514938,-3.0978333148846645e-05,470,7.0,0.0,0.5,13,13,0.3076923076923077,-0.5107475332603476,-6.639717932384519,7.0,0.0005,0.01,0.001,3
14,14,17990,0.6363636363636364,0.0,0.0,"{'bigmove_prob': 16457, 'probability': 59, 'score_margin': 73, 'tod_profile': 486, 'expected_r': 0, 'risk_budget': 900, 'capacity': 15, 'other': 0}",16457,59,73,486,0,900,15,0,-6.999719407985161e-06,-2.0558667263026464e-06,3.323666924619935e-05,-601.8068693514938,-3.0978333148846645e-05,470,7.0,0.0,0.5,13,13,0.3076923076923077,-0.5107475332603476,-6.639717932384519,7.0,0.0005,0.01,0.002,2
15,14,17990,0.6363636363636364,0.0,0.0,"{'bigmove_prob': 16457, 'probability': 59, 'score_margin': 73, 'tod_profile': 486, 'expected_r': 0, 'risk_budget': 900, 'capacity': 15, 'other': 0}",16457,59,73,486,0,900,15,0,-6.999719407985161e-06,-2.0558667263026464e-06,3.323666924619935e-05,-601.8068693514938,-3.0978333148846645e-05,470,7.0,0.0,0.5,13,13,0.3076923076923077,-0.5107475332603476,-6.639717932384519,7.0,0.0005,0.01,0.002,3
16,14,17990,0.6363636363636364,0.0,0.0,"{'bigmove_prob': 16457, 'probability': 59, 'score_margin': 73, 'tod_profile': 486, 'expected_r': 0, 'risk_budget': 900, 'capacity': 15, 'other': 0}",16457,59,73,486,0,900,15,0,-6.999719407985161e-06,-2.0558667263026464e-06,3.323666924619935e-05,-601.8068693514938,-3.0978333148846645e-05,470,7.0,0.0,0.5,13,13,0.3076923076923077,-0.5107475332603476,-6.639717932384519,7.0,0.0005,0.01,0.005,2
17,14,17990,0.6363636363636364,0.0,0.0,"{'bigmove_prob': 16457, 'probability': 59, 'score_margin': 73, 'tod_profile': 486, 'expected_r': 0, 'risk_budget': 900, 'capacity': 15, 'other': 0}",16457,59,73,486,0,900,15,0,-6.999719407985161e-06,-2.0558667263026464e-06,3.323666924619935e-05,-601.8068693514938,-3.0978333148846645e-05,470,7.0,0.0,0.5,13,13,0.3076923076923077,-0.5107475332603476,-6.639717932384519,7.0,0.0005,0.01,0.005,3
