sweep_id,entries,rejections,trades_per_day,avg_r_multiple,hit_rate,rejection_counts,reject_bigmove_prob,reject_probability,reject_score_margin,reject_tod_profile,reject_expected_r,reject_risk_budget,reject_capacity,reject_other,metric_total_return,metric_annualized_return,metric_volatility,metric_sharpe_ratio,metric_max_drawdown,metric_max_drawdown_duration,metric_total_commissions,metric_total_slippage,metric_fill_rate,metric_total_trades,metric_win_rate,metric_profit_factor,metric_winning_trades,metric_losing_trades,param_prob_threshold_long,param_score_margin,param_bigmove_policy.probability_threshold,param_max_open_positions_global
0,0,17997,0.0,,,"{'bigmove_prob': 17535, 'probability': 0, 'score_margin': 0, 'tod_profile': 462, 'expected_r': 0, 'risk_budget': 0, 'capacity': 0, 'other': 0}",17535,0,0,462,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.5,-0.1,0.05,2
1,0,17997,0.0,,,"{'bigmove_prob': 17535, 'probability': 0, 'score_margin': 0, 'tod_profile': 462, 'expected_r': 0, 'risk_budget': 0, 'capacity': 0, 'other': 0}",17535,0,0,462,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.5,-0.1,0.05,3
2,0,18005,0.0,,,"{'bigmove_prob': 17543, 'probability': 0, 'score_margin': 0, 'tod_profile': 462, 'expected_r': 0, 'risk_budget': 0, 'capacity': 0, 'other': 0}",17543,0,0,462,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.5,-0.1,0.1,2
3,0,18005,0.0,,,"{'bigmove_prob': 17543, 'probability': 0, 'score_margin': 0, 'tod_profile': 462, 'expected_r': 0, 'risk_budget': 0, 'capacity': 0, 'other': 0}",17543,0,0,462,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.5,-0.1,0.1,3
4,0,18008,0.0,,,"{'bigmove_prob': 17546, 'probability': 0, 'score_margin': 0, 'tod_profile': 462, 'expected_r': 0, 'risk_budget': 0, 'capacity': 0, 'other': 0}",17546,0,0,462,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.5,-0.1,0.15,2
5,0,18008,0.0,,,"{'bigmove_prob': 17546, 'probability': 0, 'score_margin': 0, 'tod_profile': 462, 'expected_r': 0, 'risk_budget': 0, 'capacity': 0, 'other': 0}",17546,0,0,462,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.5,-0.1,0.15,3
6,0,18010,0.0,,,"{'bigmove_prob': 17548, 'probability': 0, 'score_margin': 0, 'tod_profile': 462, 'expected_r': 0, 'risk_budget': 0, 'capacity': 0, 'other': 0}",17548,0,0,462,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.5,-0.1,0.2,2
7,0,18010,0.0,,,"{'bigmove_prob': 17548, 'probability': 0, 'score_margin': 0, 'tod_profile': 462, 'expected_r': 0, 'risk_budget': 0, 'capacity': 0, 'other': 0}",17548,0,0,462,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.5,-0.1,0.2,3
8,0,18014,0.0,,,"{'bigmove_prob': 17552, 'probability': 0, 'score_margin': 0, 'tod_profile': 462, 'expected_r': 0, 'risk_budget': 0, 'capacity': 0, 'other': 0}",17552,0,0,462,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.5,-0.1,0.25,2
9,0,18014,0.0,,,"{'bigmove_prob': 17552, 'probability': 0, 'score_margin': 0, 'tod_profile': 462, 'expected_r': 0, 'risk_budget': 0, 'capacity': 0, 'other': 0}",17552,0,0,462,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.5,-0.1,0.25,3
10,0,18016,0.0,,,"{'bigmove_prob': 17554, 'probability': 0, 'score_margin': 0, 'tod_profile': 462, 'expected_r': 0, 'risk_budget': 0, 'capacity': 0, 'other': 0}",17554,0,0,462,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.5,-0.1,0.3,2
11,0,18016,0.0,,,"{'bigmove_prob': 17554, 'probability': 0, 'score_margin': 0, 'tod_profile': 462, 'expected_r': 0, 'risk_budget': 0, 'capacity': 0, 'other': 0}",17554,0,0,462,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.5,-0.1,0.3,3
12,0,17997,0.0,,,"{'bigmove_prob': 17535, 'probability': 0, 'score_margin': 0, 'tod_profile': 462, 'expected_r': 0, 'risk_budget': 0, 'capacity': 0, 'other': 0}",17535,0,0,462,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.5,-0.05,0.05,2
13,0,17997,0.0,,,"{'bigmove_prob': 17535, 'probability': 0, 'score_margin': 0, 'tod_profile': 462, 'expected_r': 0, 'risk_budget': 0, 'capacity': 0, 'other': 0}",17535,0,0,462,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.5,-0.05,0.05,3
14,0,18005,0.0,,,"{'bigmove_prob': 17543, 'probability': 0, 'score_margin': 0, 'tod_profile': 462, 'expected_r': 0, 'risk_budget': 0, 'capacity': 0, 'other': 0}",17543,0,0,462,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.5,-0.05,0.1,2
15,0,18005,0.0,,,"{'bigmove_prob': 17543, 'probability': 0, 'score_margin': 0, 'tod_profile': 462, 'expected_r': 0, 'risk_budget': 0, 'capacity': 0, 'other': 0}",17543,0,0,462,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.5,-0.05,0.1,3
16,0,18008,0.0,,,"{'bigmove_prob': 17546, 'probability': 0, 'score_margin': 0, 'tod_profile': 462, 'expected_r': 0, 'risk_budget': 0, 'capacity': 0, 'other': 0}",17546,0,0,462,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.5,-0.05,0.15,2
17,0,18008,0.0,,,"{'bigmove_prob': 17546, 'probability': 0, 'score_margin': 0, 'tod_profile': 462, 'expected_r': 0, 'risk_budget': 0, 'capacity': 0, 'other': 0}",17546,0,0,462,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.5,-0.05,0.15,3
18,0,18010,0.0,,,"{'bigmove_prob': 17548, 'probability': 0, 'score_margin': 0, 'tod_profile': 462, 'expected_r': 0, 'risk_budget': 0, 'capacity': 0, 'other': 0}",17548,0,0,462,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.5,-0.05,0.2,2
19,0,18010,0.0,,,"{'bigmove_prob': 17548, 'probability': 0, 'score_margin': 0, 'tod_profile': 462, 'expected_r': 0, 'risk_budget': 0, 'capacity': 0, 'other': 0}",17548,0,0,462,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.5,-0.05,0.2,3
20,0,18014,0.0,,,"{'bigmove_prob': 17552, 'probability': 0, 'score_margin': 0, 'tod_profile': 462, 'expected_r': 0, 'risk_budget': 0, 'capacity': 0, 'other': 0}",17552,0,0,462,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.5,-0.05,0.25,2
21,0,18014,0.0,,,"{'bigmove_prob': 17552, 'probability': 0, 'score_margin': 0, 'tod_profile': 462, 'expected_r': 0, 'risk_budget': 0, 'capacity': 0, 'other': 0}",17552,0,0,462,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.5,-0.05,0.25,3
22,0,18016,0.0,,,"{'bigmove_prob': 17554, 'probability': 0, 'score_margin': 0, 'tod_profile': 462, 'expected_r': 0, 'risk_budget': 0, 'capacity': 0, 'other': 0}",17554,0,0,462,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.5,-0.05,0.3,2
23,0,18016,0.0,,,"{'bigmove_prob': 17554, 'probability': 0, 'score_margin': 0, 'tod_profile': 462, 'expected_r': 0, 'risk_budget': 0, 'capacity': 0, 'other': 0}",17554,0,0,462,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.5,-0.05,0.3,3
24,0,17997,0.0,,,"{'bigmove_prob': 17535, 'probability': 0, 'score_margin': 0, 'tod_profile': 462, 'expected_r': 0, 'risk_budget': 0, 'capacity': 0, 'other': 0}",17535,0,0,462,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.5,0.0,0.05,2
25,0,17997,0.0,,,"{'bigmove_prob': 17535, 'probability': 0, 'score_margin': 0, 'tod_profile': 462, 'expected_r': 0, 'risk_budget': 0, 'capacity': 0, 'other': 0}",17535,0,0,462,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.5,0.0,0.05,3
26,0,18005,0.0,,,"{'bigmove_prob': 17543, 'probability': 0, 'score_margin': 0, 'tod_profile': 462, 'expected_r': 0, 'risk_budget': 0, 'capacity': 0, 'other': 0}",17543,0,0,462,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.5,0.0,0.1,2
