symbol,side,entry_time,entry_price,stop_price,target_price,stop_pct,target_pct,exit_time,exit_price,exit_reason,qty,pnl_gross,pnl_net,commission,duration_minutes
aes,SHORT,2024-05-01 14:20:00+00:00,17.855,17.917875,17.754400000000004,0.003521422570708386,0.005634276113133419,2024-05-01 14:40:00+00:00,17.855,OTHER,1,0.10059999999999647,0.09359999999999646,0.007000000000000006,20.0
key,SHORT,2024-05-01 14:00:00+00:00,14.69,14.74282,14.605488,0.0035956432947583756,0.005753029271613402,2024-05-01 14:50:00+00:00,14.695,OTHER,1,-0.04781999999999975,-0.05481999999999975,0.006999999999999999,50.0
aes,LONG,2024-05-01 14:40:00+00:00,17.795,17.732336285354247,17.89526194343321,0.003521422570708386,0.005634276113133419,2024-05-01 15:00:00+00:00,17.795,OTHER,1,0.10026194343320682,0.09326194343320682,0.007000000000000006,20.0
pltr,SHORT,2024-05-01 18:00:00+00:00,22.15,22.2677025,21.961676,0.00531388261851016,0.008502212189616257,2024-05-01 18:20:00+00:00,22.15,OTHER,1,-0.11770250000000004,-0.12470250000000005,0.007000000000000006,20.0
aes,SHORT,2024-05-01 18:00:00+00:00,18.265,18.30153,18.206552000000002,0.002,0.0031999999999999997,2024-05-01 18:20:00+00:00,18.265,STOP,1,-0.03652999999999906,-0.04352999999999906,0.006999999999999999,20.0
czr,SHORT,2024-05-01 18:00:00+00:00,36.23,36.346625,36.043399999999984,0.003219017388904394,0.005150427822247031,2024-05-01 18:20:00+00:00,36.23,OTHER,1,-0.1166250000000062,-0.1236250000000062,0.007000000000000006,20.0
ccl,SHORT,2024-05-01 18:00:00+00:00,14.43,14.503870000000003,14.311807999999997,0.005119196119196204,0.008190713790713925,2024-05-01 18:30:00+00:00,14.43,OTHER,1,-0.07387000000000299,-0.080870000000003,0.007000000000000006,30.0
nem,SHORT,2024-05-01 18:10:00+00:00,41.065,41.14713,40.933592,0.002,0.0032,2024-05-01 18:30:00+00:00,41.065,STOP,1,-0.10500000000000398,-0.11200000000000399,0.007000000000000006,20.0
dvn,SHORT,2024-05-01 18:10:00+00:00,50.05,50.150099999999995,49.88984,0.002,0.0032,2024-05-01 18:30:00+00:00,50.05,STOP,1,-0.1700000000000017,-0.1770000000000017,0.007000000000000006,20.0
usb,SHORT,2024-05-01 18:20:00+00:00,40.98,41.06196,40.848864,0.002,0.0032,2024-05-01 18:40:00+00:00,40.985,STOP,1,-0.18500000000000227,-0.19200000000000228,0.007000000000000006,20.0
rf,SHORT,2024-05-01 18:20:00+00:00,19.61,19.64922,19.547248,0.002,0.0032,2024-05-01 18:40:00+00:00,19.61,STOP,1,-0.08500000000000085,-0.09200000000000086,0.007000000000000006,20.0
key,SHORT,2024-05-01 18:20:00+00:00,14.745,14.77449,14.697816,0.002,0.0032000000000000006,2024-05-01 18:40:00+00:00,14.745,STOP,1,-0.05000000000000071,-0.05700000000000071,0.006999999999999999,20.0
pltr,LONG,2024-05-01 18:20:00+00:00,22.33,22.211341001128666,22.51985439819413,0.00531388261851016,0.008502212189616257,2024-05-01 18:40:00+00:00,22.325,OTHER,1,0.1948543981941313,0.1878543981941313,0.007000000000000006,20.0
intc,SHORT,2024-05-01 18:20:00+00:00,30.585,30.64617,30.487128000000002,0.002,0.0032000000000000006,2024-05-01 18:40:00+00:00,30.585,STOP,1,-0.09499999999999886,-0.10199999999999887,0.007000000000000006,20.0
tfc,SHORT,2024-05-01 18:20:00+00:00,38.05,38.126099999999994,37.928239999999995,0.002,0.0032000000000000006,2024-05-01 18:40:00+00:00,38.05,STOP,1,-0.15000000000000568,-0.1570000000000057,0.007000000000000006,20.0
aes,LONG,2024-05-01 18:20:00+00:00,18.325,18.288349999999998,18.38364,0.002,0.0031999999999999997,2024-05-01 18:40:00+00:00,18.325,OTHER,1,0.07499999999999929,0.06799999999999928,0.007000000000000006,20.0
czr,LONG,2024-05-01 18:20:00+00:00,36.43,36.312731196522215,36.61763008556446,0.003219017388904394,0.005150427822247031,2024-05-01 18:40:00+00:00,36.43,OTHER,1,0.18763008556445726,0.18063008556445725,0.007000000000000006,20.0
eqt,SHORT,2024-05-01 18:20:00+00:00,38.625,38.70225,38.501400000000004,0.002,0.0032,2024-05-01 18:40:00+00:00,38.625,STOP,1,-0.17499999999999716,-0.18199999999999716,0.007000000000000006,20.0
luv,SHORT,2024-05-01 18:30:00+00:00,25.775,25.826549999999997,25.69252,0.002,0.0032,2024-05-01 18:50:00+00:00,25.78,STOP,1,-0.18999999999999773,-0.19699999999999773,0.007000000000000006,20.0
t,SHORT,2024-05-01 18:30:00+00:00,17.035,17.0979675,16.934252,0.003696360434399717,0.005914176695039547,2024-05-01 18:50:00+00:00,17.035,OTHER,1,-0.06296749999999918,-0.06996749999999918,0.007000000000000006,20.0
vz,SHORT,2024-05-01 18:30:00+00:00,39.395,39.47379,39.268936000000004,0.002,0.0032000000000000006,2024-05-01 18:50:00+00:00,39.395,STOP,1,-0.11999999999999744,-0.12699999999999745,0.007000000000000006,20.0
nem,LONG,2024-05-01 18:30:00+00:00,41.33,41.24734,41.462256000000004,0.002,0.0032,2024-05-01 18:50:00+00:00,41.33,OTHER,1,0.3299999999999983,0.3229999999999983,0.007000000000000006,20.0
dvn,LONG,2024-05-01 18:30:00+00:00,50.42,50.319160000000004,50.58134400000001,0.002,0.0032,2024-05-01 18:50:00+00:00,50.41,STOP,1,0.17134400000001193,0.16434400000001192,0.007000000000000006,20.0
key,LONG,2024-05-01 18:40:00+00:00,14.99,14.96002,15.037968000000001,0.002,0.0032000000000000006,2024-05-01 19:00:00+00:00,14.985,STOP,1,0.06500000000000128,0.05800000000000128,0.006999999999999999,20.0
