symbol,side,entry_time,entry_price,stop_price,target_price,stop_pct,target_pct,exit_time,exit_price,exit_reason,qty,pnl_gross,pnl_net,commission,duration_minutes
key,SHORT,2024-05-01 14:00:00+00:00,14.6268,14.679392755343772,14.542651591449966,0.0035956432947583756,0.005753029271613402,2024-05-01 14:05:00+00:00,14.625,STOP,1,-0.054999999999999716,-0.061999999999999715,0.006999999999999999,5.0
aes,SHORT,2024-05-01 14:20:00+00:00,17.835,17.897804571548583,17.734512685522265,0.003521422570708386,0.005634276113133419,2024-05-01 14:27:00+00:00,17.84,STOP,1,-0.05000000000000071,-0.05700000000000071,0.006999999999999999,7.0
aes,LONG,2024-05-01 14:40:00+00:00,17.81,17.74728346401568,17.910346457574903,0.003521422570708386,0.005634276113133419,2024-05-01 15:11:00+00:00,17.8086,TARGET,1,0.10640000000000072,0.09940000000000071,0.007000000000000006,31.0
key,LONG,2024-05-01 14:20:00+00:00,14.685,14.632197978216475,14.769483234853645,0.0035956432947583756,0.005753029271613402,2024-05-01 18:02:00+00:00,14.68,STOP,1,-0.054999999999999716,-0.061999999999999715,0.006999999999999999,222.0
aes,SHORT,2024-05-01 18:00:00+00:00,18.18,18.216359999999998,18.121824,0.002,0.0031999999999999997,2024-05-01 18:02:00+00:00,18.18,TARGET,1,0.05999999999999872,0.05299999999999872,0.006999999999999999,2.0
czr,SHORT,2024-05-01 18:00:00+00:00,36.06,36.17607776704389,35.87427557272977,0.003219017388904394,0.005150427822247031,2024-05-01 18:03:00+00:00,36.06,STOP,1,-0.14000000000000057,-0.14700000000000057,0.007000000000000006,3.0
ccl,SHORT,2024-05-01 18:00:00+00:00,14.375,14.448588444213447,14.257258489258488,0.005119196119196204,0.008190713790713925,2024-05-01 18:05:00+00:00,14.37,STOP,1,-0.10500000000000043,-0.11200000000000043,0.007000000000000006,5.0
nem,SHORT,2024-05-01 18:10:00+00:00,40.895,40.97679,40.764136,0.002,0.0032,2024-05-01 18:16:00+00:00,40.86,STOP,1,-0.14999999999999858,-0.15699999999999859,0.007000000000000006,6.0
dvn,SHORT,2024-05-01 18:10:00+00:00,49.85,49.9497,49.69048,0.002,0.0032,2024-05-01 18:19:00+00:00,49.84,STOP,1,-0.14499999999999602,-0.15199999999999603,0.007000000000000006,9.0
rf,SHORT,2024-05-01 18:20:00+00:00,19.515,19.55403,19.452552,0.002,0.0032,2024-05-01 18:24:00+00:00,19.515,STOP,1,-0.04499999999999815,-0.05199999999999815,0.006999999999999999,4.0
