obi_level,horizon_sec,correlation_r,p_value,n_obs
1,30,0.055044549869182405,0.0,1033959
1,60,0.05212203717018413,0.0,1031884
1,120,0.04930523358228445,0.0,1028388
1,300,0.036153275581505204,1.63691059703366e-291,1018014
2,30,0.003868587748558984,8.363563985014344e-05,1033959
2,60,0.011270035221078136,2.3885790940532423e-30,1031884
2,120,0.01585221148465543,3.720541743337712e-58,1028388
2,300,0.020296343524101906,3.2186435515700582e-93,1018014
3,30,-0.014337266818389155,3.7980859590843253e-48,1033959
3,60,-0.01190676935341767,1.1154499523211154e-33,1031884
3,120,-0.011935336680843078,1.0061506660699947e-33,1028388
3,300,-0.010989446884116226,1.4296594335664657e-28,1018014
5,30,-0.001305643878501369,0.18430138078726274,1033959
5,60,-0.0007061460908411856,0.47318014717453655,1031884
5,120,-0.0012975976794616269,0.1882123603475904,1028388
5,300,-0.0003333148572835273,0.736642221414843,1018014
10,30,-0.0017958999334070323,0.06782946193556934,1033959
10,60,-0.0036842202673088654,0.00018219750034629008,1031884
10,120,0.0006099227012935169,0.5362334971656858,1028388
10,300,0.00677895411171511,7.929838908642604e-12,1018014
