symbol,type,horizon_sec,n_levels,mean_ret_bps,std_ret_bps,t_stat,p_value,sharpe,n_obs,win_rate
ACHR,support,30,2,0.3442951425389285,6.028518544032064,3.4833070945264515,0.0005009702350911027,138.68468150264658,3720,0.11129032258064517
ACHR,support,60,2,0.7406893282546155,8.713419938424066,5.163695513529013,2.5491706590052843e-07,206.42183832721875,3690,0.18590785907859078
ACHR,support,120,2,1.7115871814464978,12.228389501311185,8.446946285323994,0.0,339.8896662738746,3642,0.29873695771554093
ACHR,support,300,2,5.245110322840963,19.24417229205066,16.298744280784113,0.0,661.8561214647682,3576,0.5604026845637584
BE,support,30,1,-5.787940167954647,12.663240101932967,-9.908961033336631,0.0,-1109.9090452068695,470,0.3617021276595745
BE,support,60,1,-11.93682000649701,17.149701449333847,-15.089714057649253,0.0,-1690.2084957064924,470,0.28085106382978725
BE,support,120,1,-26.621508292957554,17.724406141467167,-32.561911649524774,0.0,-3647.2804916122323,470,0.02127659574468085
BE,support,300,1,-57.74585144049787,20.276388384870454,-61.741775867911095,0.0,-6915.735693417544,470,0.0
HAL,support,30,4,0.21059130989235927,1.708522021404198,10.409396043387074,0.0,299.31471217070947,7132,0.09169938306225463
HAL,resistance,30,1,-0.05530113479317916,1.2284338534678636,-4.722343321563227,2.360233213316576e-06,-109.317695031578,11004,0.06270447110141766
HAL,support,60,4,0.41637002817247887,2.3948905900364457,14.682481068843693,0.0,422.1842051888028,7132,0.14624228827818284
HAL,resistance,60,1,-0.11639881788355042,1.628973081456327,-7.495661276969845,7.105427357601002e-14,-173.517331913206,11004,0.09033078880407125
HAL,support,120,4,1.6728779762127206,15.724573478467024,8.98444090830837,0.0,258.3411499837647,7132,0.22546270330902973
HAL,resistance,120,1,-0.28738281156436857,2.4491807356965314,-12.30878668763669,0.0,-284.93654478353227,11004,0.1341330425299891
HAL,support,300,4,5.842963015225603,32.41829929133205,15.221188949847807,0.0,437.67436366435385,7132,0.3997476163768929
HAL,resistance,300,1,-0.6503173892603873,4.098276640239744,-16.645597436390045,0.0,-385.32953245071263,11004,0.22500908760450744
INTC,support,30,1,0.6126631217172102,5.282968677913339,4.470469213007472,8.397620534728034e-06,281.6124835977556,1486,0.4899057873485868
INTC,resistance,30,1,0.9040319045737487,6.084096708407834,5.986140540855283,2.639924723268905e-09,360.82435839276485,1623,0.5194085027726433
INTC,support,60,1,0.7775647077335175,6.161181382553333,4.86498998759875,1.2663960831105214e-06,306.4649028561845,1486,0.4979811574697174
INTC,resistance,60,1,1.062972269341154,8.338404558920914,5.135683277992356,3.150731144874186e-07,309.5616634863172,1623,0.5489833641404805
