feature,type,correlation,p_value,abs_corr
mom_1,Context,0.15571628365092344,0.0,0.15571628365092344
stoch_d_14,Context,-0.15326548296320494,0.0,0.15326548296320494
near_resistance_20,Context,-0.1335313922709025,0.0,0.1335313922709025
swing_high,Context,-0.11623391836116428,0.0,0.11623391836116428
dist_to_swing_high,Context,0.11400746392528159,0.0,0.11400746392528159
macd_hist,Context,-0.11101746245687973,0.0,0.11101746245687973
obi_5,L2,-0.09594758779515197,2.8254337677732633e-264,0.09594758779515197
obi_5,L2,-0.09594758779515197,2.8254337677732633e-264,0.09594758779515197
mom_10,Context,-0.09383172974337924,8.430926023748456e-253,0.09383172974337924
near_resistance_50,Context,-0.09286610864308059,1.2044158713837474e-247,0.09286610864308059
range_position_50,Context,-0.09095172009839321,1.3820812472160261e-237,0.09095172009839321
bb_width_20,Context,0.08911583713197517,3.872957259735419e-228,0.08911583713197517
mom_14,Context,-0.08788702573784705,6.34463315436468e-222,0.08788702573784705
atr_20,Context,0.08363272836378473,4.3873538925973756e-201,0.08363272836378473
rsi_9,Context,-0.08326064924412255,2.600619619274527e-199,0.08326064924412255
bb_position_20,Context,-0.07838708180098741,7.919098097296857e-177,0.07838708180098741
range_position_20,Context,-0.07818634478044045,6.2427994388480334e-176,0.07818634478044045
stoch_d_5,Context,-0.07723558064512112,1.0255569111873651e-171,0.07723558064512112
mom_15,Context,-0.07672416034533194,1.8071928885991e-169,0.07672416034533194
ema_5,Context,-0.07548051906803384,4.528697656391598e-164,0.07548051906803384
volatility_14,Context,0.07166717561998602,4.529956765750388e-148,0.07166717561998602
price_vs_sma_20,Context,-0.07162688409187727,6.61741711996258e-148,0.07162688409187727
bb_width_10,Context,0.06880701273786781,1.2840893268867464e-136,0.06880701273786781
ema_10,Context,-0.06846905564278061,2.6965808011832992e-135,0.06846905564278061
vol_down,Context,-0.06830396768891056,1.1866415648232363e-134,0.06830396768891056
atr_pct_14,Context,0.06563150618070691,1.8797934469705765e-124,0.06563150618070691
trend_strength,Context,-0.06469362119603732,5.710431496457507e-121,0.06469362119603732
stoch_k_5,Context,0.06412141400344153,7.188757909257737e-119,0.06412141400344153
resistance_10,Context,-0.0639482280344205,3.079973025030314e-118,0.0639482280344205
bb_upper_10,Context,-0.06375077520414342,1.610225346695423e-117,0.06375077520414342
price_vs_ema_50,Context,-0.06226252962620115,3.543221201375847e-112,0.06226252962620115
sma_10,Context,-0.06177612710783304,1.8536107658147375e-110,0.06177612710783304
atr_14,Context,0.06150104709687,1.7138699924533689e-109,0.06150104709687
ema_20,Context,-0.06055731595368331,3.2739046711027517e-106,0.06055731595368331
price_vs_sma_50,Context,-0.05900601863684144,6.279135601038166e-101,0.05900601863684144
bb_upper_20,Context,-0.05875587467447338,4.333883072098783e-100,0.05875587467447338
near_support_50,Context,-0.05797539740105126,1.7045708843692906e-97,0.05797539740105126
resistance_20,Context,-0.05759191277780987,3.117370821519669e-96,0.05759191277780987
support_10,Context,-0.054582514169051015,1.280602502485443e-86,0.054582514169051015
bb_lower_10,Context,-0.053940002119358336,1.238910642128026e-84,0.053940002119358336
sma_20,Context,-0.05187507414905135,2.0665180200260586e-78,0.05187507414905135
selling_climax,Context,-0.051752913755684964,4.739511590837714e-78,0.051752913755684964
d_obi_1_60s,Context,0.0460302656395097,1.1582740598835463e-61,0.0460302656395097
bb_lower_20,Context,-0.045608260127586835,5.1667201997675985e-61,0.045608260127586835
price_vs_sma_5,Context,0.045573345218723395,6.366383561827909e-61,0.045573345218723395
bb_squeeze_10,Context,0.04439442152919776,6.684365227252214e-58,0.04439442152919776
rel_vol,Context,-0.042260323631275534,1.2398612662783102e-52,0.042260323631275534
d_obi1_30s,Context,-0.03986527489719469,0.22032830513599994,0.03986527489719469
spread,L2,0.03985830732359005,5.177919192019841e-47,0.03985830732359005
support_50,Context,-0.03959572503627564,2.036018069785782e-46,0.03959572503627564
near_support_10,Context,-0.039279650279098875,1.045596179942412e-45,0.039279650279098875
d_obi_1_30s,Context,0.03881516481085257,2.3721905881498655e-44,0.03881516481085257
vol_contraction,Context,0.03806386451403139,5.010743034069175e-43,0.03806386451403139
price_vs_ema_5,Context,0.03781589203193783,1.7232704064643697e-42,0.03781589203193783
buying_climax,Context,0.03710837310857659,5.595488264959682e-41,0.03710837310857659
macd_signal,Context,-0.036952536007342655,1.1938493963665333e-40,0.036952536007342655
obi_1,L2,0.03652966735634273,9.21596398950989e-40,0.03652966735634273
macd_cross_up,Context,0.03606547045424109,8.39802372339502e-39,0.03606547045424109
price_vs_sma_10,Context,-0.03602585670035347,1.0130502121155026e-38,0.03602585670035347
rsi_oversold,Context,0.03519615273233059,4.912277721373493e-37,0.03519615273233059
high_vol,Context,-0.03498850578927754,1.279550955817163e-36,0.03498850578927754
ranging,Context,0.033673545679193416,4.82465384002683e-34,0.033673545679193416
vol_ma_20,Context,-0.033669160440833505,4.919203588635144e-34,0.033669160440833505
pressure_k,L2,0.03171870343007119,2.1535849152743615e-30,0.03171870343007119
hammer,Context,0.03161040692487396,3.3810290866091294e-30,0.03161040692487396
obi_3,L2,-0.03159250397092036,3.651409105243241e-30,0.03159250397092036
rsi_divergence,Context,0.030778605268899913,1.0269919976556805e-28,0.030778605268899913
d_obi_1_5s,Context,0.029112351909889467,1.1110073730193662e-25,0.029112351909889467
d_mid_15s,L2,-0.027350112444165964,7.435289453169557e-23,0.027350112444165964
range_position_10,Context,-0.024116598015767887,3.0223111759877136e-18,0.024116598015767887
rsi_extreme,Context,0.023866904434491038,6.671903553971794e-18,0.023866904434491038
price_vs_ema_10,Context,-0.02354324395126404,1.8400877695949798e-17,0.02354324395126404
mom_20,Context,-0.023509683693683333,2.0426186176653216e-17,0.023509683693683333
rsi_5,Context,-0.01930900857931869,3.0847232774604133e-12,0.01930900857931869
mom_3,Context,0.01876567502649625,1.2224007914430645e-11,0.01876567502649625
d_mid_5s,L2,-0.01732450985312459,3.929247097255324e-10,0.01732450985312459
mom_30,Context,-0.01611163529822088,5.9252698785747244e-09,0.01611163529822088
bb_position_10,Context,-0.015588264258381458,1.804081471694096e-08,0.015588264258381458
volatility_5,Context,0.01203005966990934,1.3950870417744137e-05,0.01203005966990934
d_obi1_5s,Context,0.01065847768434794,0.7412758643229604,0.01065847768434794
trending,Context,0.00848044588092379,0.0021939306939469,0.00848044588092379
vwap,Context,-0.00841873321501621,0.002363008321242585,0.00841873321501621
gap_down,Context,0.008213599436615282,0.003014373021489718,0.008213599436615282
dist_to_swing_low,Context,-0.006264389930570615,0.023678086941283108,0.006264389930570615
vol_expansion,Context,-0.006208291873245345,0.02495793477025925,0.006208291873245345
depth_imb_k,L2,0.004277846761850813,0.12238068370419028,0.004277846761850813
obi_2,Context,0.0013585414552447959,0.6250016349017196,0.0013585414552447959
