condition,n_signals,mean_ret_bps,win_rate,improvement_bps
High volume (>2x),2886,2.6821418916889663,48.26749826749827,1.9379620181405524
RSI > 70 (overbought),3887,2.0072137284423075,49.5755081039362,1.2630338548938935
Displacement up,636,1.5159367008784057,44.9685534591195,0.7717568273299917
Against momentum,14876,1.2603876243502037,48.85049744554988,0.5162077508017897
Near resistance,33636,1.0256604593290024,46.738613390415026,0.28148058578058843
Above VWAP,25450,0.9093292601348189,46.9705304518664,0.16514938658640488
Power hour (15:00+),32393,0.8141978516576678,46.41743586577347,0.07001797810925381
Near support,31951,0.7707259330025551,46.55879315201402,0.026546059454141124
RSI < 30 (oversold),3040,0.7419138179379146,42.5328947368421,-0.002266055610499418
Trending (ADX high),11416,0.6279488120565344,45.261037140854945,-0.11623106149187956
Low volume (<0.5x),6971,0.6076952317545089,49.04604791278152,-0.13648464179390507
With momentum (mom_15 aligned),18470,0.5648719205381697,45.71196534921494,-0.17930795301024427
RSI 40-60 (neutral),17073,0.4223208812985753,44.59673168160253,-0.32185899224983866
Ranging (ADX low),10880,0.29504319640390747,43.92463235294118,-0.4491366771445065
Below VWAP,9265,0.27544650162624296,45.26713437668645,-0.468733371922171
Vol contraction,3765,-0.1308322548227852,45.2589641434263,-0.8750121283711991
BB squeeze,9014,-0.13731039596617237,43.14399822498336,-0.8814902695145863
Displacement down,782,-0.7228140676514292,48.84910485933504,-1.4669939411998432
Vol expansion,2038,-0.7939619533257697,41.118743866535816,-1.5381418268741838
