symbol,strategy_id,entry_bar_idx,exit_bar_idx,bars_held,entry_price,exit_price,quantity,pnl_gross
BEN,Extreme_Outperform_Low_Range_180m,1722,1902,180,20.74,20.735,100,-0.4999999999999005
HPQ,Extreme_Outperform_Low_Range_180m,1746,1926,180,33.075,33.11,100,3.499999999999659
CAG,Extreme_Outperform_Low_Range_180m,2758,2938,180,27.545,27.4,100,-14.500000000000313
KMI,Extreme_Outperform_Low_Range_180m,2763,2943,180,27.085,26.9401,100,-14.48999999999998
NCLH,Extreme_Outperform_Low_Range_180m,7083,7263,180,26.024,26.19,100,16.600000000000037
ADM,Extreme_Outperform_Low_Range_180m,2703,2883,180,50.89,50.715,100,-17.499999999999716
CVS,Extreme_Outperform_Low_Range_180m,13107,13287,180,46.04,45.96,100,-7.9999999999998295
GM,Extreme_Outperform_Low_Range_180m,2479,2659,180,52.47,52.38,100,-8.99999999999963
IVZ,Extreme_Outperform_Low_Range_180m,20314,20494,180,16.715,16.615,100,-10.000000000000142
EQT,Extreme_Outperform_Low_Range_180m,14850,15030,180,49.395,49.81,100,41.499999999999915
CAG,Extreme_Outperform_Low_Range_180m,23015,23195,180,25.98,26.12,100,14.000000000000057
DVN,Extreme_Outperform_Low_Range_180m,23043,23223,180,36.36,36.83,100,46.999999999999886
LVS,Extreme_Outperform_Low_Range_180m,23843,24023,180,44.555,44.57,100,1.5000000000000568
RF,Extreme_Outperform_Low_Range_180m,29278,29458,180,24.65,24.82,100,17.00000000000017
CFG,Extreme_Outperform_Low_Range_180m,29093,29273,180,47.09,47.2338,100,14.379999999999882
GM,Extreme_Outperform_Low_Range_180m,5086,5266,180,51.625,52.55,100,92.49999999999972
HAL,Extreme_Outperform_Low_Range_180m,43337,43517,180,28.77,28.905,100,13.500000000000156
VZ,Extreme_Outperform_Low_Range_180m,46065,46245,180,40.1257,39.485,100,-64.07000000000025
NEM,Extreme_Outperform_Low_Range_180m,46077,46257,180,42.58,42.42,100,-15.999999999999659
AES,Extreme_Outperform_Low_Range_180m,48393,48573,180,11.54,11.265,100,-27.499999999999858
PPL,Extreme_Outperform_Low_Range_180m,48081,48261,180,32.985,32.7,100,-28.49999999999966
IVZ,Extreme_Outperform_Low_Range_180m,49589,49769,180,18.53,18.98,100,44.99999999999993
AES,Extreme_Outperform_Low_Range_180m,50831,51011,180,10.92,10.97,100,5.000000000000071
GLW,Extreme_Outperform_Low_Range_180m,35938,36118,180,50.82,50.485,100,-33.500000000000085
GLW,Extreme_Outperform_Low_Range_180m,36352,36532,180,50.38,49.785,100,-59.5000000000006
DOC,Extreme_Outperform_Low_Range_180m,52431,52611,180,20.465,20.595,100,12.9999999999999
AES,Extreme_Outperform_Low_Range_180m,53117,53297,180,11.29,11.155,100,-13.499999999999979
BEN,Extreme_Outperform_Low_Range_180m,53583,53763,180,20.745,22.0205,100,127.54999999999974
DOW,Extreme_Outperform_Low_Range_180m,53866,54046,180,38.62,39.03,100,41.00000000000037
