symbol,strategy_id,entry_bar_idx,exit_bar_idx,bars_held,entry_price,exit_price,quantity,pnl_gross
DVN,First_Hour_Momentum_180m,2986,3188,202,30.88,30.88,100,0.0
TFC,First_Hour_Momentum_180m,2984,3223,239,43.22,43.23,100,0.999999999999801
CFG,First_Hour_Momentum_180m,19345,19528,183,43.72,43.69,100,-3.0000000000001137
AMCR,First_Hour_Momentum_180m,19342,19559,217,9.425,9.44,100,1.4999999999998792
NEM,First_Hour_Momentum_180m,39873,40053,180,38.268,38.13,100,-13.799999999999812
UDR,First_Hour_Momentum_180m,39851,40077,226,43.5,43.49,100,-0.999999999999801
HRL,First_Hour_Momentum_180m,77288,77500,212,31.65,31.68,100,3.0000000000001137
DOW,First_Hour_Momentum_180m,77372,77556,184,40.125,40.2715,100,14.650000000000318
EQT,First_Hour_Momentum_180m,134059,134299,240,46.04,45.84,100,-19.999999999999574
CTRA,First_Hour_Momentum_180m,133971,134319,348,25.0203,24.865,100,-15.530000000000044
LUV,First_Hour_Momentum_180m,229562,229998,436,33.68,33.67,100,-0.999999999999801
BAX,First_Hour_Momentum_180m,229524,230068,544,28.835,28.89,100,5.499999999999972
VZ,First_Hour_Momentum_180m,344420,344758,338,40.24,40.145,100,-9.499999999999886
USB,First_Hour_Momentum_180m,344421,344864,443,48.1,48.06,100,-3.9999999999999147
KIM,First_Hour_Momentum_180m,459567,459862,295,23.07,23.065,100,-0.4999999999999005
LUV,First_Hour_Momentum_180m,459573,460111,538,33.485,33.34,100,-14.499999999999602
BAC,First_Hour_Momentum_180m,573543,573931,388,45.225,45.28,100,5.499999999999972
TFC,First_Hour_Momentum_180m,573542,574095,553,44.52,44.61,100,8.99999999999963
PPL,First_Hour_Momentum_180m,723807,724381,574,31.88,31.885,100,0.5000000000002558
PFE,First_Hour_Momentum_180m,723811,724382,571,26.99,27.126,100,13.600000000000279
ROL,First_Hour_Momentum_180m,873373,873762,389,45.905,45.81,100,-9.499999999999886
UDR,First_Hour_Momentum_180m,873371,873823,452,41.175,41.01,100,-16.499999999999915
MOS,First_Hour_Momentum_180m,1003690,1003904,214,24.785,24.79,100,0.4999999999999005
CVS,First_Hour_Momentum_180m,1003691,1003942,251,46.52,46.4501,100,-6.990000000000407
BEN,First_Hour_Momentum_180m,1114491,1114836,345,19.18,19.07,100,-10.999999999999943
FE,First_Hour_Momentum_180m,1114508,1115041,533,38.825,38.7373,100,-8.770000000000522
IVZ,First_Hour_Momentum_180m,1259013,1259401,388,16.54,16.555,100,1.5000000000000568
BEN,First_Hour_Momentum_180m,1259012,1259625,613,19.0708,19.16,100,8.920000000000172
USB,First_Hour_Momentum_180m,1402946,1403330,384,50.63,50.58,100,-5.000000000000426
NEM,First_Hour_Momentum_180m,1402944,1403349,405,40.58,40.6801,100,10.010000000000474
PCG,First_Hour_Momentum_180m,1529226,1529498,272,17.26,17.24,100,-2.0000000000003126
NCLH,First_Hour_Momentum_180m,1529224,1529624,400,26.235,26.31,100,7.499999999999929
IVZ,First_Hour_Momentum_180m,1637612,1638069,457,16.965,16.97,100,0.4999999999999005
HPQ,First_Hour_Momentum_180m,1637608,1638134,526,32.56,32.64,100,7.9999999999998295
AMCR,First_Hour_Momentum_180m,1746509,1746927,418,9.75,9.745,100,-0.5000000000000782
DOW,First_Hour_Momentum_180m,1746508,1747005,497,41.27,41.22,100,-5.000000000000426
LUV,First_Hour_Momentum_180m,1912585,1912983,398,33.535,33.3567,100,-17.830000000000013
GLW,First_Hour_Momentum_180m,1912615,1913002,387,52.175,52.56,100,38.50000000000051
CAG,First_Hour_Momentum_180m,2060850,2061209,359,25.39,25.405,100,1.5000000000000568
AMCR,First_Hour_Momentum_180m,2060851,2061320,469,9.745,9.735,100,-0.9999999999999787
BEN,First_Hour_Momentum_180m,2191362,2191732,370,20.04,20.04,100,0.0
PCG,First_Hour_Momentum_180m,2191363,2191802,439,16.29,16.37,100,8.000000000000185
HRL,First_Hour_Momentum_180m,2303631,2304049,418,31.495,31.45,100,-4.5000000000001705
LUV,First_Hour_Momentum_180m,2303632,2304087,455,32.33,32.365,100,3.5000000000003695
BEN,First_Hour_Momentum_180m,2398222,2398457,235,20.28,20.32,100,3.9999999999999147
NCLH,First_Hour_Momentum_180m,2398227,2398567,340,26.88,26.725,100,-15.499999999999758
VZ,First_Hour_Momentum_180m,2473752,2473970,218,40.715,40.745,100,2.999999999999403
T,First_Hour_Momentum_180m,2473749,2473987,238,24.712,24.77,100,5.799999999999983
LVS,First_Hour_Momentum_180m,2530365,2530578,213,47.085,47.51,100,42.499999999999716
IVZ,First_Hour_Momentum_180m,2530366,2530583,217,19.32,19.34,100,1.9999999999999574
CCL,First_Hour_Momentum_180m,2568034,2568214,180,28.58,28.595,100,1.5000000000000568
PCG,First_Hour_Momentum_180m,2568036,2568244,208,15.68,15.61,100,-7.000000000000028
