symbol,strategy_id,entry_bar_idx,exit_bar_idx,bars_held,entry_price,exit_price,quantity,pnl_gross
AAPL,Low_Volume_180m,190,372,182,101.47231683073011,100.73733569816552,100,-73.49811325645845
GOOGL,Low_Volume_180m,192,373,181,99.60623017880545,96.29883342845348,100,-330.73967503519697
AAPL,Low_Volume_180m,379,561,182,95.57665599503174,105.5869438623592,100,1001.0287867327463
GOOGL,Low_Volume_180m,381,564,183,105.33708454933908,102.2079716265463,100,-312.91129227927854
GOOGL,Low_Volume_180m,766,948,182,96.96733086866978,97.60351122412727,100,63.61803554574976
MSFT,Low_Volume_180m,943,1124,181,109.35593431631177,116.4157047453309,100,705.9770429019125
AAPL,Low_Volume_180m,1324,1504,180,104.13727674087785,101.39957390038258,100,-273.7702840495274
MSFT,Low_Volume_180m,1505,1688,183,88.86169676665799,99.459252651393,100,1059.7555884735016
MSFT,Low_Volume_180m,1693,1874,181,107.044237928933,106.1651831065859,100,-87.90548223471006
AAPL,Low_Volume_180m,1695,1875,180,92.62951917565042,98.23942762325348,100,560.9908447603061
AAPL,Low_Volume_180m,1876,2058,182,103.99499691362423,106.08268787408454,100,208.7690960460307
GOOGL,Low_Volume_180m,1887,2067,180,97.71737925969141,96.47641753350975,100,-124.09617261816663
GOOGL,Low_Volume_180m,2456,2637,181,98.5215612796048,95.2499042936686,100,-327.16569859361897
MSFT,Low_Volume_180m,2813,2995,182,101.5387542514013,103.33039687751233,100,179.16426261110274
