symbol,strategy_id,entry_bar_idx,exit_bar_idx,bars_held,entry_price,exit_price,quantity,pnl_gross
NEM,Power_Hour_Short_30m,331,361,30,38.105,38.16,100,5.499999999999972
OXY,Power_Hour_Short_30m,331,361,30,47.487,47.485,100,-0.20000000000024443
TFC,Power_Hour_Short_30m,1467,1497,30,43.86,43.84,100,-1.999999999999602
ROL,Power_Hour_Short_30m,1297,1327,30,46.749,46.76,100,1.099999999999568
BEN,Power_Hour_Short_30m,2550,2580,30,20.77,20.73,100,-3.9999999999999147
GLW,Power_Hour_Short_30m,2572,2602,30,47.85,47.77,100,-7.9999999999998295
CFG,Power_Hour_Short_30m,4371,4401,30,43.755,43.775,100,1.999999999999602
CAG,Power_Hour_Short_30m,4403,4433,30,27.635,27.615,100,-2.0000000000003126
EQT,Power_Hour_Short_30m,6689,6719,30,46.08,46.03,100,-4.999999999999716
VICI,Power_Hour_Short_30m,6685,6715,30,29.035,29.04,100,0.4999999999999005
CNP,Power_Hour_Short_30m,8974,9004,30,31.37,31.42,100,5.000000000000071
HRL,Power_Hour_Short_30m,8416,8446,30,31.405,31.45,100,4.499999999999815
CCL,Power_Hour_Short_30m,11373,11403,30,24.3,24.3,100,0.0
ADM,Power_Hour_Short_30m,4776,4806,30,50.23,50.285,100,5.499999999999972
RF,Power_Hour_Short_30m,14361,14391,30,23.905,23.905,100,0.0
PPL,Power_Hour_Short_30m,14159,14189,30,31.8401,31.855,100,1.4900000000000801
F,Power_Hour_Short_30m,17493,17523,30,9.795,9.76,100,-3.500000000000014
BEN,Power_Hour_Short_30m,17420,17450,30,19.77,19.715,100,-5.499999999999972
INVH,Power_Hour_Short_30m,19870,19900,30,30.54,30.545,100,0.5000000000002558
BEN,Power_Hour_Short_30m,20203,20233,30,19.6294,19.615,100,-1.4400000000001967
NI,Power_Hour_Short_30m,22348,22378,30,36.0725,36.11,100,3.750000000000142
ROL,Power_Hour_Short_30m,21002,21032,30,46.265,46.33,100,6.499999999999773
DOW,Power_Hour_Short_30m,25683,25713,30,39.48,39.509,100,2.9000000000003467
CCL,Power_Hour_Short_30m,25683,25713,30,23.7901,23.785,100,-0.5099999999998772
FCX,Power_Hour_Short_30m,28803,28833,30,39.2,39.1441,100,-5.590000000000117
CTRA,Power_Hour_Short_30m,28797,28827,30,28.92,28.9523,100,3.229999999999933
SLB,Power_Hour_Short_30m,31593,31623,30,40.835,40.865,100,3.0000000000001137
KEY,Power_Hour_Short_30m,31592,31622,30,18.16,18.145,100,-1.5000000000000568
KEY,Power_Hour_Short_30m,33992,34022,30,17.695,17.715,100,1.9999999999999574
ROL,Power_Hour_Short_30m,31413,31443,30,47.945,47.96,100,1.5000000000000568
AMCR,Power_Hour_Short_30m,36319,36349,30,9.695,9.69,100,-0.5000000000000782
FE,Power_Hour_Short_30m,35945,35975,30,39.74,39.765,100,2.499999999999858
NEM,Power_Hour_Short_30m,39663,39693,30,42.355,42.355,100,0.0
HPE,Power_Hour_Short_30m,39648,39678,30,23.645,23.6286,100,-1.6400000000000858
CAG,Power_Hour_Short_30m,42801,42831,30,25.31,25.305,100,-0.4999999999999005
GLW,Power_Hour_Short_30m,31366,31396,30,54.22,54.2,100,-1.999999999999602
NEM,Power_Hour_Short_30m,45633,45663,30,41.65,41.67,100,2.0000000000003126
OXY,Power_Hour_Short_30m,11162,11192,30,50.305,50.315,100,0.999999999999801
HPE,Power_Hour_Short_30m,48018,48048,30,24.25,24.28,100,3.0000000000001137
GLW,Power_Hour_Short_30m,33700,33730,30,54.05,54.075,100,2.5000000000005684
BAC,Power_Hour_Short_30m,50043,50073,30,46.845,46.805,100,-3.9999999999999147
CAG,Power_Hour_Short_30m,50001,50031,30,26.355,26.295,100,-5.999999999999872
CTRA,Power_Hour_Short_30m,51646,51676,30,27.745,27.78,100,3.500000000000014
SLB,Power_Hour_Short_30m,51663,51693,30,41.186,41.235,100,4.899999999999949
IVZ,Power_Hour_Short_30m,52124,52154,30,19.075,19.09,100,1.5000000000000568
SLB,Power_Hour_Short_30m,52893,52923,30,40.88,40.85,100,-3.0000000000001137
DOW,Power_Hour_Short_30m,53726,53756,30,38.695,38.765,100,7.000000000000028
ROL,Power_Hour_Short_30m,49757,49787,30,49.57,49.56,100,-0.999999999999801
TFC,Power_Hour_Short_30m,54177,54207,30,47.68,47.58,100,-10.000000000000142
CCL,Power_Hour_Short_30m,54183,54213,30,27.915,27.69,100,-22.499999999999787
