symbol,strategy_id,entry_bar_idx,exit_bar_idx,bars_held,entry_price,exit_price,quantity,pnl_gross
LVS,VWAP_Extreme_First_Hour_90m,53,238,185,52.2,52.195,100,-0.5000000000002558
T,VWAP_Extreme_First_Hour_90m,51,296,245,22.73,22.65,100,-8.000000000000185
DOC,VWAP_Extreme_First_Hour_90m,19358,19566,208,20.17,20.14,100,-3.0000000000001137
CTRA,VWAP_Extreme_First_Hour_90m,19359,19571,212,24.115,24.09,100,-2.499999999999858
CVS,VWAP_Extreme_First_Hour_90m,39948,40185,237,44.375,44.33,100,-4.5000000000001705
VZ,VWAP_Extreme_First_Hour_90m,39938,40191,253,39.88,39.865,100,-1.5000000000000568
ADM,VWAP_Extreme_First_Hour_90m,77436,77636,200,50.455,50.54,100,8.500000000000085
CTRA,VWAP_Extreme_First_Hour_90m,77421,77644,223,24.6,24.65,100,4.999999999999716
OXY,VWAP_Extreme_First_Hour_90m,134088,134312,224,48.668,48.43,100,-23.799999999999955
CTRA,VWAP_Extreme_First_Hour_90m,134428,134866,438,24.86,24.96,100,10.000000000000142
GLW,VWAP_Extreme_First_Hour_90m,229538,229838,300,47.555,47.55,100,-0.5000000000002558
T,VWAP_Extreme_First_Hour_90m,229530,230033,503,22.684,22.735,100,5.099999999999838
NEM,VWAP_Extreme_First_Hour_90m,344422,344719,297,38.12,38.14,100,2.0000000000003126
DOC,VWAP_Extreme_First_Hour_90m,344429,344764,335,20.3,20.28,100,-1.9999999999999574
AES,VWAP_Extreme_First_Hour_90m,459572,459938,366,13.095,13.1,100,0.4999999999999005
CTRA,VWAP_Extreme_First_Hour_90m,459579,460083,504,26.3,26.33,100,2.9999999999997584
AES,VWAP_Extreme_First_Hour_90m,573544,573929,385,13.25,13.37,100,11.999999999999922
GLW,VWAP_Extreme_First_Hour_90m,573556,574141,585,47.805,47.8185,100,1.3500000000000512
LUV,VWAP_Extreme_First_Hour_90m,723813,724193,380,34.0001,34.205,100,20.489999999999498
WY,VWAP_Extreme_First_Hour_90m,723812,724252,440,28.515,28.56,100,4.499999999999815
EQT,VWAP_Extreme_First_Hour_90m,873539,873725,186,48.315,48.7296,100,41.46000000000001
CTRA,VWAP_Extreme_First_Hour_90m,873376,873802,426,26.48,26.45,100,-3.0000000000001137
SLB,VWAP_Extreme_First_Hour_90m,1003774,1003954,180,39.33,39.32,100,-0.999999999999801
NEM,VWAP_Extreme_First_Hour_90m,1003707,1004101,394,39.77,39.96,100,18.999999999999773
VICI,VWAP_Extreme_First_Hour_90m,1114486,1114927,441,28.245,28.18,100,-6.500000000000128
BAC,VWAP_Extreme_First_Hour_90m,1114533,1115018,485,45.22,45.205,100,-1.5000000000000568
CCL,VWAP_Extreme_First_Hour_90m,1259020,1259450,430,24.0524,23.9599,100,-9.249999999999758
OXY,VWAP_Extreme_First_Hour_90m,1259016,1259587,571,52.42,52.68,100,25.9999999999998
MGM,VWAP_Extreme_First_Hour_90m,1402948,1403493,545,33.94,33.94,100,0.0
PCG,VWAP_Extreme_First_Hour_90m,1402947,1403518,571,16.6688,16.8,100,13.119999999999976
VZ,VWAP_Extreme_First_Hour_90m,1529208,1529487,279,38.2,38.195,100,-0.5000000000002558
SLB,VWAP_Extreme_First_Hour_90m,1529266,1529693,427,40.76,40.68,100,-7.9999999999998295
WY,VWAP_Extreme_First_Hour_90m,1637613,1638048,435,30.235,30.125,100,-10.999999999999943
AMCR,VWAP_Extreme_First_Hour_90m,1637610,1638113,503,9.715,9.715,100,0.0
PPL,VWAP_Extreme_First_Hour_90m,1746511,1747139,628,33.52,33.48,100,-4.000000000000625
KIM,VWAP_Extreme_First_Hour_90m,1746510,1747212,702,22.37,22.415,100,4.499999999999815
HPE,VWAP_Extreme_First_Hour_90m,1912619,1912973,354,23.885,24.115,100,22.999999999999687
EQT,VWAP_Extreme_First_Hour_90m,1912679,1913198,519,54.235,54.18,100,-5.499999999999972
WY,VWAP_Extreme_First_Hour_90m,2060853,2061433,580,29.83,29.73,100,-9.999999999999787
LVS,VWAP_Extreme_First_Hour_90m,2060859,2061483,624,44.05,43.95,100,-9.999999999999432
T,VWAP_Extreme_First_Hour_90m,2191371,2191792,421,22.6374,22.695,100,5.760000000000076
CAG,VWAP_Extreme_First_Hour_90m,2191384,2191860,476,25.38,25.48,100,10.000000000000142
KVUE,VWAP_Extreme_First_Hour_90m,2303648,2303913,265,21.29,21.27,100,-1.9999999999999574
SLB,VWAP_Extreme_First_Hour_90m,2303638,2304052,414,42.44,42.28,100,-15.999999999999659
KEY,VWAP_Extreme_First_Hour_90m,2398240,2398463,223,17.71,17.71,100,0.0
HAL,VWAP_Extreme_First_Hour_90m,2398236,2398546,310,27.34,27.32,100,-1.9999999999999574
NI,VWAP_Extreme_First_Hour_90m,2473761,2474001,240,36.5,36.475,100,-2.499999999999858
CTRA,VWAP_Extreme_First_Hour_90m,2473750,2474110,360,27.94,28.02,100,7.9999999999998295
KVUE,VWAP_Extreme_First_Hour_90m,2530369,2530552,183,21.46,21.4586,100,-0.140000000000029
KMI,VWAP_Extreme_First_Hour_90m,2530368,2530628,260,27.57,27.62,100,5.000000000000071
RF,VWAP_Extreme_First_Hour_90m,2568035,2568220,185,24.77,24.69,100,-7.9999999999998295
HAL,VWAP_Extreme_First_Hour_90m,2568037,2568239,202,26.56,26.355,100,-20.49999999999983
