symbol,strategy_id,entry_bar_idx,exit_bar_idx,bars_held,entry_price,exit_price,quantity,pnl_gross
USB,Volume_Price_Divergence_First_Hour_90m,61,151,90,47.81,48.24,100,42.99999999999997
AES,Volume_Price_Divergence_First_Hour_90m,61,151,90,12.935,13.015,100,8.000000000000007
PCG,Volume_Price_Divergence_First_Hour_90m,391,481,90,19.955,20.045,100,9.000000000000341
BAC,Volume_Price_Divergence_First_Hour_90m,391,481,90,44.01,44.125,100,11.500000000000199
CAG,Volume_Price_Divergence_First_Hour_90m,813,903,90,27.595,27.69,100,9.500000000000242
NI,Volume_Price_Divergence_First_Hour_90m,796,886,90,36.77,36.755,100,-1.5000000000000568
USB,Volume_Price_Divergence_First_Hour_90m,1593,1683,90,48.815,49.15,100,33.500000000000085
VZ,Volume_Price_Divergence_First_Hour_90m,1593,1683,90,39.92,39.97,100,4.999999999999716
HAL,Volume_Price_Divergence_First_Hour_90m,2783,2873,90,26.77,26.62,100,-14.999999999999858
BAC,Volume_Price_Divergence_First_Hour_90m,2823,2913,90,43.82,43.665,100,-15.500000000000114
HAL,Volume_Price_Divergence_First_Hour_90m,4713,4803,90,27.09,27.13,100,3.9999999999999147
KEY,Volume_Price_Divergence_First_Hour_90m,4712,4802,90,17.18,17.23,100,5.000000000000071
BAC,Volume_Price_Divergence_First_Hour_90m,7053,7143,90,44.22,44.3897,100,16.969999999999885
ROL,Volume_Price_Divergence_First_Hour_90m,6225,6315,90,46.4,46.49,100,9.000000000000341
NI,Volume_Price_Divergence_First_Hour_90m,9160,9250,90,36.4,36.31,100,-8.99999999999963
BAC,Volume_Price_Divergence_First_Hour_90m,9393,9483,90,44.79,44.52,100,-26.999999999999602
PCG,Volume_Price_Divergence_First_Hour_90m,11729,11819,90,20.39,20.18,100,-21.000000000000085
SLB,Volume_Price_Divergence_First_Hour_90m,11733,11823,90,38.935,39.25,100,31.499999999999773
HAL,Volume_Price_Divergence_First_Hour_90m,14853,14943,90,27.8,27.67,100,-12.9999999999999
EQT,Volume_Price_Divergence_First_Hour_90m,12899,12989,90,47.705,47.51,100,-19.50000000000003
GLW,Volume_Price_Divergence_First_Hour_90m,17911,18001,90,47.8814,47.51,100,-37.14000000000013
FE,Volume_Price_Divergence_First_Hour_90m,17715,17805,90,39.28,39.19,100,-9.000000000000341
FCX,Volume_Price_Divergence_First_Hour_90m,20703,20793,90,40.43,39.98,100,-45.000000000000284
HAL,Volume_Price_Divergence_First_Hour_90m,20727,20817,90,27.69,27.45,100,-24.0000000000002
KMI,Volume_Price_Divergence_First_Hour_90m,23043,23133,90,28.27,28.4412,100,17.11999999999989
SLB,Volume_Price_Divergence_First_Hour_90m,23043,23133,90,38.97,39.25,100,28.000000000000114
NEM,Volume_Price_Divergence_First_Hour_90m,26163,26253,90,39.4,39.24,100,-15.999999999999659
CNP,Volume_Price_Divergence_First_Hour_90m,26042,26132,90,31.68,31.72,100,3.9999999999999147
INVH,Volume_Price_Divergence_First_Hour_90m,28738,28828,90,31.7154,31.32,100,-39.539999999999864
F,Volume_Price_Divergence_First_Hour_90m,29283,29373,90,9.975,9.9601,100,-1.4899999999999025
KIM,Volume_Price_Divergence_First_Hour_90m,31763,31853,90,22.07,22.165,100,9.499999999999886
INVH,Volume_Price_Divergence_First_Hour_90m,31440,31530,90,30.67,30.51,100,-16.000000000000014
MOS,Volume_Price_Divergence_First_Hour_90m,34274,34364,90,26.855,26.89,100,3.500000000000014
F,Volume_Price_Divergence_First_Hour_90m,34353,34443,90,10.05,10.16,100,10.999999999999943
FE,Volume_Price_Divergence_First_Hour_90m,36305,36395,90,40.23,40.3826,100,15.259999999999962
PCG,Volume_Price_Divergence_First_Hour_90m,36688,36778,90,17.17,17.095,100,-7.500000000000284
FCX,Volume_Price_Divergence_First_Hour_90m,40197,40287,90,40.44,39.88,100,-55.99999999999952
MOS,Volume_Price_Divergence_First_Hour_90m,40097,40187,90,27.82,28.3253,100,50.52999999999983
PCG,Volume_Price_Divergence_First_Hour_90m,43318,43408,90,16.533,16.475,100,-5.799999999999983
DOW,Volume_Price_Divergence_First_Hour_90m,43316,43406,90,41.04,41.02,100,-1.999999999999602
HPE,Volume_Price_Divergence_First_Hour_90m,46038,46128,90,24.46,24.41,100,-5.000000000000071
MOS,Volume_Price_Divergence_First_Hour_90m,45947,46037,90,28.91,28.39,100,-51.99999999999996
MGM,Volume_Price_Divergence_First_Hour_90m,48319,48409,90,33.05,33.265,100,21.50000000000034
LVS,Volume_Price_Divergence_First_Hour_90m,43341,43431,90,43.43,43.88,100,45.000000000000284
DVN,Volume_Price_Divergence_First_Hour_90m,50343,50433,90,35.49,35.34,100,-14.999999999999858
TFC,Volume_Price_Divergence_First_Hour_90m,50337,50427,90,47.525,47.48,100,-4.5000000000001705
CNP,Volume_Price_Divergence_First_Hour_90m,51647,51737,90,32.44,32.61,100,17.00000000000017
GLW,Volume_Price_Divergence_First_Hour_90m,35830,35920,90,54.2,50.89,100,-331.0000000000002
INVH,Volume_Price_Divergence_First_Hour_90m,52367,52457,90,31.07,30.86,100,-21.000000000000085
KEY,Volume_Price_Divergence_First_Hour_90m,53072,53162,90,17.83,17.945,100,11.500000000000199
NCLH,Volume_Price_Divergence_First_Hour_90m,53853,53943,90,29.215,28.705,100,-51.000000000000156
PFE,Volume_Price_Divergence_First_Hour_90m,53853,53943,90,26.9474,26.695,100,-25.239999999999796
