symbol,pattern_id,entry_bar_idx,exit_bar_idx,bars_held,entry_price,exit_price,quantity,pnl_gross
KMI,pattern_2_momentum_power,18051,18231,180,21.795,21.81,100,1.4999999999997016
HRL,pattern_2_momentum_power,18047,18241,194,31.245,31.265,100,1.9999999999999574
VICI,pattern_2_momentum_power,18061,18246,185,30.465,30.465,100,0.0
KVUE,pattern_2_momentum_power,18072,18259,187,18.145,18.17,100,2.500000000000213
IP,pattern_2_momentum_power,18055,18260,205,46.24,46.2,100,-3.9999999999999147
USB,pattern_2_momentum_power,18062,18264,202,45.115,45.095,100,-2.0000000000003126
ROL,pattern_2_momentum_power,18060,18270,210,50.355,50.39,100,3.5000000000003695
MGM,pattern_15_volume_power,18065,18272,207,43.895,43.92,100,2.499999999999858
BEN,pattern_15_volume_power,18082,18276,194,23.495,23.515,100,1.9999999999999574
WY,pattern_2_momentum_power,18053,18278,225,30.525,30.525,100,0.0
HAL,pattern_15_volume_power,18069,18281,212,33.555,33.54,100,-1.5000000000000568
LVS,pattern_15_volume_power,18074,18282,208,41.475,41.485,100,0.999999999999801
GLW,pattern_15_volume_power,18084,18285,201,44.0999,44.125,100,2.51000000000019
SYF,pattern_15_volume_power,18104,18286,182,50.22,50.211,100,-0.9000000000000341
SW,pattern_15_volume_power,18087,18287,200,47.63,47.69,100,5.999999999999517
GM,pattern_2_momentum_power,18076,18294,218,49.505,49.455,100,-5.000000000000426
IVZ,pattern_15_volume_power,18108,18296,188,16.355,16.39,100,3.500000000000014
FCX,pattern_15_volume_power,18091,18298,207,45.82,45.815,100,-0.5000000000002558
F,pattern_2_momentum_power,18054,18299,245,14.1,14.115,100,1.5000000000000568
NI,pattern_2_momentum_power,18121,18304,183,30.795,30.8099,100,1.4899999999997249
INVH,pattern_2_momentum_power,18098,18305,207,36.365,36.3,100,-6.500000000000483
TPR,pattern_2_momentum_power,18080,18307,227,41.71,41.7194,100,0.9399999999999409
DAL,pattern_1_high_atr_power,18083,18310,227,44.19,44.25,100,6.000000000000227
CTRA,pattern_15_volume_power,18050,18311,261,26.67,26.635,100,-3.500000000000014
T,pattern_15_volume_power,18079,18313,234,18.55,18.545,100,-0.4999999999999005
CAG,pattern_2_momentum_power,18094,18315,221,29.63,29.635,100,0.5000000000002558
UDR,pattern_2_momentum_power,18078,18318,240,42.05,42.0159,100,-3.4099999999995134
KIM,pattern_2_momentum_power,18100,18324,224,21.375,21.3875,100,1.249999999999929
HPE,pattern_15_volume_power,18141,18331,190,20.6099,20.6109,100,0.10000000000012221
TFC,pattern_15_volume_power,18109,18337,228,43.795,43.885,100,8.99999999999963
CCL,pattern_15_volume_power,18096,18347,251,18.62,18.64,100,1.9999999999999574
NEM,pattern_2_momentum_power,18152,18365,213,47.13,47.195,100,6.499999999999773
EQT,pattern_15_volume_power,18118,18366,248,35.625,35.59,100,-3.499999999999659
DOC,pattern_2_momentum_power,18154,18367,213,20.965,20.96,100,-0.4999999999999005
PPL,pattern_15_volume_power,18097,18370,273,29.0,29.0101,100,1.010000000000133
AES,pattern_15_volume_power,18148,18393,245,17.459,17.485,100,2.59999999999998
RF,pattern_15_volume_power,18192,18405,213,22.2652,22.305,100,3.9799999999999613
CFG,pattern_15_volume_power,18198,18407,209,41.165,41.225,100,6.000000000000227
DVN,pattern_15_volume_power,18186,18427,241,46.77,46.76,100,-1.0000000000005116
PFE,pattern_2_momentum_power,18254,18435,181,29.58,29.575,100,-0.4999999999999005
BAX,pattern_2_momentum_power,18257,18463,206,35.39,35.395,100,0.5000000000002558
IP,pattern_2_momentum_power,18267,18467,200,46.19,46.19,100,0.0
MOS,pattern_2_momentum_power,18249,18474,225,29.35,29.34,100,-1.0000000000001563
BMY,pattern_2_momentum_power,18215,18482,267,42.65,42.595,100,-5.499999999999972
KMI,pattern_2_momentum_power,18300,18498,198,21.79,21.805,100,1.5000000000000568
USB,pattern_2_momentum_power,18309,18501,192,45.0676,45.135,100,6.739999999999924
HRL,pattern_2_momentum_power,18279,18510,231,31.265,31.2751,100,1.0099999999997777
VICI,pattern_2_momentum_power,18297,18525,228,30.46,30.49,100,2.9999999999997584
INVH,pattern_2_momentum_power,18336,18527,191,36.315,36.32,100,0.5000000000002558
KVUE,pattern_2_momentum_power,18306,18529,223,18.17,18.175,100,0.4999999999999005
NI,pattern_2_momentum_power,18346,18537,191,30.83,30.835,100,0.5000000000002558
WY,pattern_2_momentum_power,18327,18539,212,30.52,30.525,100,0.4999999999999005
IVZ,pattern_2_momentum_power,18364,18546,182,16.4,16.39,100,-0.999999999999801
UDR,pattern_2_momentum_power,18339,18551,212,42.02,42.055,100,3.499999999999659
DAL,pattern_1_high_atr_power,18369,18554,185,44.235,44.0,100,-23.499999999999943
CTRA,pattern_15_volume_power,18356,18555,199,26.635,26.655,100,1.9999999999999574
VZ,pattern_2_momentum_power,18352,18559,207,39.034,39.0383,100,0.43000000000006366
T,pattern_15_volume_power,18385,18570,185,18.55,18.5475,100,-0.2500000000001279
BEN,pattern_2_momentum_power,18344,18571,227,23.515,23.51,100,-0.4999999999999005
GM,pattern_1_high_atr_power,18374,18578,204,49.475,49.49,100,1.5000000000000568
TFC,pattern_1_high_atr_power,18382,18582,200,43.9,43.89,100,-0.999999999999801
CAG,pattern_2_momentum_power,18360,18584,224,29.625,29.65,100,2.499999999999858
LVS,pattern_15_volume_power,18390,18585,195,41.46,41.465,100,0.5000000000002558
NEM,pattern_2_momentum_power,18408,18588,180,47.2065,47.205,100,-0.15000000000000568
TPR,pattern_2_momentum_power,18362,18589,227,41.72,41.73,100,0.999999999999801
ROL,pattern_2_momentum_power,18343,18591,248,50.41,50.34,100,-6.999999999999318
HAL,pattern_15_volume_power,18392,18592,200,33.545,33.54,100,-0.5000000000002558
F,pattern_2_momentum_power,18373,18593,220,14.115,14.105,100,-0.9999999999999787
SYF,pattern_15_volume_power,18341,18594,253,50.2,50.175,100,-2.5000000000005684
SLB,pattern_15_volume_power,18371,18599,228,49.52,49.46,100,-6.000000000000227
WMB,pattern_15_volume_power,18415,18601,186,44.685,44.67,100,-1.5000000000000568
LUV,pattern_15_volume_power,18418,18625,207,27.535,27.5338,100,-0.1200000000000756
FCX,pattern_15_volume_power,18394,18626,232,45.835,45.805,100,-3.0000000000001137
GLW,pattern_15_volume_power,18372,18629,257,44.125,44.135,100,0.999999999999801
CCL,pattern_15_volume_power,18425,18631,206,18.64,18.645,100,0.4999999999999005
CFG,pattern_15_volume_power,18430,18634,204,41.23,41.195,100,-3.499999999999659
PPL,pattern_2_momentum_power,18389,18640,251,29.015,29.015,100,0.0
KIM,pattern_2_momentum_power,18412,18643,231,21.375,21.375,100,0.0
DVN,pattern_2_momentum_power,18469,18679,210,46.77,46.745,100,-2.5000000000005684
AES,pattern_2_momentum_power,18479,18680,201,17.495,17.49,100,-0.5000000000002558
RF,pattern_2_momentum_power,18446,18681,235,22.305,22.2975,100,-0.7500000000000284
DOC,pattern_2_momentum_power,18470,18685,215,20.97,20.975,100,0.5000000000002558
BAX,pattern_2_momentum_power,18491,18715,224,35.395,35.4,100,0.49999999999954525
EQT,pattern_15_volume_power,18519,18723,204,35.595,35.6,100,0.5000000000002558
IP,pattern_2_momentum_power,18507,18733,226,46.21,46.21,100,0.0
MOS,pattern_15_volume_power,18523,18747,224,29.335,29.375,100,3.9999999999999147
PFE,pattern_2_momentum_power,18513,18749,236,29.57,29.585,100,1.5000000000000568
HRL,pattern_2_momentum_power,18543,18757,214,31.275,31.27,100,-0.4999999999999005
USB,pattern_2_momentum_power,18566,18763,197,45.115,45.13,100,1.5000000000000568
HPE,pattern_15_volume_power,18574,18764,190,20.62,20.6135,100,-0.6500000000002615
KMI,pattern_2_momentum_power,18548,18785,237,21.805,21.815,100,1.0000000000001563
CNP,pattern_2_momentum_power,18590,18787,197,29.035,29.045,100,1.0000000000001563
KVUE,pattern_2_momentum_power,18577,18792,215,18.17,18.195,100,2.499999999999858
VICI,pattern_2_momentum_power,18586,18794,208,30.475,30.505,100,2.9999999999997584
NI,pattern_2_momentum_power,18572,18797,225,30.84,30.875,100,3.500000000000014
KEY,pattern_15_volume_power,18533,18799,266,15.675,15.69,100,1.4999999999998792
TPR,pattern_2_momentum_power,18614,18805,191,41.72,41.73,100,0.999999999999801
WY,pattern_2_momentum_power,18558,18807,249,30.515,30.53,100,1.5000000000000568
INVH,pattern_2_momentum_power,18560,18808,248,36.33,36.33,100,0.0
IVZ,pattern_2_momentum_power,18630,18810,180,16.395,16.39,100,-0.4999999999999005
F,pattern_2_momentum_power,18641,18827,186,14.1097,14.115,100,0.5300000000000082
GM,pattern_1_high_atr_power,18637,18828,191,49.54,49.5299,100,-1.010000000000133
DAL,pattern_1_high_atr_power,18635,18836,201,44.01,44.11,100,10.000000000000142
MGM,pattern_15_volume_power,18623,18844,221,43.975,44.045,100,7.000000000000028
UDR,pattern_2_momentum_power,18624,18845,221,42.05,42.07,100,2.0000000000003126
TFC,pattern_2_momentum_power,18620,18853,233,43.935,43.945,100,0.999999999999801
AMCR,pattern_2_momentum_power,18597,18854,257,10.13,10.13,100,0.0
BEN,pattern_2_momentum_power,18632,18859,227,23.52,23.53,100,1.0000000000001563
CAG,pattern_2_momentum_power,18600,18861,261,29.645,29.665,100,1.9999999999999574
BAC,pattern_15_volume_power,18683,18865,182,42.2212,42.245,100,2.379999999999427
NCLH,pattern_15_volume_power,18688,18873,185,19.915,19.905,100,-0.999999999999801
ROL,pattern_15_volume_power,18621,18874,253,50.32,50.35,100,3.0000000000001137
KIM,pattern_2_momentum_power,18664,18875,211,21.385,21.4,100,1.4999999999997016
WMB,pattern_15_volume_power,18687,18894,207,44.675,44.655,100,-1.999999999999602
VZ,pattern_2_momentum_power,18646,18897,251,39.05,39.065,100,1.5000000000000568
GLW,pattern_2_momentum_power,18698,18903,205,44.15,44.13,100,-1.999999999999602
NEM,pattern_2_momentum_power,18645,18913,268,47.21,47.265,100,5.499999999999972
DOC,pattern_2_momentum_power,18730,18916,186,20.978,20.99,100,1.1999999999996902
PPL,pattern_2_momentum_power,18677,18922,245,29.025,29.03,100,0.5000000000002558
CFG,pattern_2_momentum_power,18703,18931,228,41.205,41.215,100,1.0000000000005116
