trade_id,date,entry_time,exit_time,direction,signal_type,entry_price,exit_price,vwap_price,quantity,pnl,pnl_percentage,duration_minutes,result,exit_reason,vwap_deviation
1,2024-02-05,09:40:00,10:03:00,LONG,Price Below VWAP,186.07,186.69,187.01,100,62.0,3.1,23,WIN,vwap_target,0.5
2,2024-02-07,09:55:00,10:20:00,LONG,Price Below VWAP,188.95,189.67,189.99,100,72.0,3.6,25,WIN,vwap_target,0.55
3,2024-02-07,09:56:00,10:20:00,LONG,Price Below VWAP,189.01,189.67,189.96,100,65.72,3.29,24,WIN,vwap_target,0.5
4,2024-02-08,10:31:00,11:21:00,LONG,Price Below VWAP,187.53,188.16,188.6,100,62.49,3.12,50,WIN,timeout,0.56
5,2024-02-08,10:32:00,11:22:00,LONG,Price Below VWAP,187.58,188.16,188.58,100,58.86,2.94,50,WIN,timeout,0.53
6,2024-02-12,15:02:00,15:52:00,LONG,Price Below VWAP,186.9,187.41,187.85,100,51.43,2.57,50,WIN,timeout,0.51
7,2024-02-12,15:03:00,15:53:00,LONG,Price Below VWAP,186.88,187.43,187.85,100,54.5,2.73,50,WIN,timeout,0.51
8,2024-02-13,14:14:00,15:04:00,LONG,Price Below VWAP,184.31,183.65,185.28,100,-66.5,-3.32,50,LOSS,timeout,0.52
9,2024-02-13,14:17:00,15:07:00,LONG,Price Below VWAP,184.33,183.74,185.27,100,-58.5,-2.93,50,LOSS,timeout,0.51
10,2024-02-14,11:00:00,11:50:00,LONG,Price Below VWAP,182.97,183.12,184.05,100,15.49,0.77,50,WIN,timeout,0.58
11,2024-02-14,11:01:00,11:51:00,LONG,Price Below VWAP,182.86,183.1,184.03,100,24.51,1.23,50,WIN,timeout,0.64
12,2024-02-15,09:56:00,10:46:00,LONG,Price Below VWAP,182.19,181.7,183.28,100,-48.5,-2.42,50,LOSS,timeout,0.6
13,2024-02-15,09:57:00,10:47:00,LONG,Price Below VWAP,182.09,181.64,183.23,100,-45.24,-2.26,50,LOSS,timeout,0.62
14,2024-02-16,09:54:00,10:39:00,LONG,Price Below VWAP,182.84,183.34,183.84,100,50.5,2.52,45,WIN,vwap_target,0.54
15,2024-02-16,09:55:00,10:39:00,LONG,Price Below VWAP,182.68,183.34,183.8,100,66.94,3.35,44,WIN,vwap_target,0.61
16,2024-02-20,09:38:00,10:28:00,LONG,Price Below VWAP,181.01,180.49,181.94,100,-52.0,-2.6,50,LOSS,timeout,0.51
17,2024-02-20,09:40:00,10:30:00,LONG,Price Below VWAP,180.9,180.19,181.81,100,-71.0,-3.55,50,LOSS,timeout,0.5
18,2024-02-21,12:29:00,13:19:00,LONG,Price Below VWAP,181.39,181.66,182.31,100,27.0,1.35,50,WIN,timeout,0.5
19,2024-02-21,12:33:00,13:23:00,LONG,Price Below VWAP,181.34,181.62,182.3,100,29.0,1.45,50,WIN,timeout,0.53
20,2024-02-22,09:34:00,09:49:00,LONG,Price Below VWAP,182.77,183.4,183.69,100,63.01,3.15,15,WIN,vwap_target,0.5
21,2024-02-23,11:04:00,11:54:00,LONG,Price Below VWAP,182.73,182.82,183.79,100,8.77,0.44,50,WIN,timeout,0.58
22,2024-02-23,11:05:00,11:55:00,LONG,Price Below VWAP,182.74,182.9,183.78,100,16.0,0.8,50,WIN,timeout,0.56
23,2024-02-28,12:33:00,13:23:00,LONG,Price Below VWAP,180.45,180.58,181.43,100,13.19,0.66,50,WIN,timeout,0.54
24,2024-02-28,12:34:00,13:24:00,LONG,Price Below VWAP,180.4,180.6,181.43,100,20.64,1.03,50,WIN,timeout,0.57
25,2024-02-29,11:12:00,12:02:00,LONG,Price Below VWAP,180.57,180.3,181.52,100,-27.5,-1.38,50,LOSS,timeout,0.52
26,2024-02-29,11:13:00,12:03:00,LONG,Price Below VWAP,180.59,180.2,181.51,100,-39.5,-1.98,50,LOSS,timeout,0.51
27,2024-02-01,10:36:00,11:26:00,SHORT,Price Above VWAP,186.25,185.49,185.25,100,75.5,3.77,50,WIN,timeout,0.54
28,2024-02-01,10:37:00,11:27:00,SHORT,Price Above VWAP,186.2,185.45,185.26,100,75.0,3.75,50,WIN,timeout,0.51
29,2024-02-02,09:35:00,10:25:00,SHORT,Price Above VWAP,182.04,183.45,180.88,100,-140.5,-7.03,50,LOSS,timeout,0.64
30,2024-02-02,09:36:00,10:26:00,SHORT,Price Above VWAP,182.17,183.46,180.98,100,-129.0,-6.45,50,LOSS,timeout,0.66
31,2024-02-05,10:10:00,10:22:00,SHORT,Price Above VWAP,187.9,186.63,186.76,100,127.0,6.35,12,WIN,vwap_target,0.61
32,2024-02-06,11:31:00,12:21:00,SHORT,Price Above VWAP,188.97,188.77,187.99,100,19.5,0.97,50,WIN,timeout,0.52
33,2024-02-06,12:01:00,12:51:00,SHORT,Price Above VWAP,189.06,188.48,188.1,100,58.5,2.93,50,WIN,timeout,0.51
34,2024-02-09,11:16:00,12:06:00,SHORT,Price Above VWAP,189.75,189.74,188.68,100,0.57,0.03,50,WIN,timeout,0.57
35,2024-02-09,11:18:00,12:08:00,SHORT,Price Above VWAP,189.66,189.6,188.7,100,5.8,0.29,50,WIN,timeout,0.51
36,2024-02-22,13:45:00,14:35:00,SHORT,Price Above VWAP,184.25,184.75,183.27,100,-50.77,-2.54,50,LOSS,timeout,0.53
37,2024-02-27,14:15:00,15:05:00,SHORT,Price Above VWAP,181.87,182.75,180.79,100,-88.0,-4.4,50,LOSS,timeout,0.59
38,2024-02-27,14:16:00,15:06:00,SHORT,Price Above VWAP,181.77,182.8,180.81,100,-103.25,-5.16,50,LOSS,timeout,0.53
