trade_id,date,entry_time,exit_time,direction,signal_type,entry_price,exit_price,vwap_price,quantity,pnl,pnl_percentage,duration_minutes,result,exit_reason,vwap_deviation
1,2024-01-02,09:41:00,10:31:00,LONG,Price Below VWAP,186.66,185.82,187.74,100,-84.0,-4.2,50,LOSS,timeout,0.58
2,2024-01-02,09:42:00,10:32:00,LONG,Price Below VWAP,186.55,185.71,187.69,100,-84.0,-4.2,50,LOSS,timeout,0.61
3,2024-01-03,10:14:00,11:04:00,LONG,Price Below VWAP,183.96,184.1,184.92,100,14.9,0.75,50,WIN,timeout,0.52
4,2024-01-03,10:19:00,11:09:00,LONG,Price Below VWAP,183.91,184.02,184.87,100,10.5,0.53,50,WIN,timeout,0.52
5,2024-01-04,09:58:00,10:11:00,LONG,Price Below VWAP,181.27,182.11,182.18,100,84.14,4.21,13,WIN,vwap_target,0.5
6,2024-01-04,10:36:00,11:06:00,LONG,Price Below VWAP,180.94,181.85,181.94,100,91.0,4.55,30,WIN,vwap_target,0.55
7,2024-01-05,14:17:00,15:07:00,LONG,Price Below VWAP,181.04,180.38,181.98,100,-66.5,-3.32,50,LOSS,timeout,0.52
8,2024-01-05,14:18:00,15:08:00,LONG,Price Below VWAP,180.57,180.41,181.94,100,-15.77,-0.79,50,LOSS,timeout,0.76
9,2024-01-11,09:41:00,10:31:00,LONG,Price Below VWAP,185.42,184.62,186.38,100,-80.0,-4.0,50,LOSS,timeout,0.51
10,2024-01-11,09:42:00,10:32:00,LONG,Price Below VWAP,185.18,184.54,186.31,100,-63.5,-3.18,50,LOSS,timeout,0.61
11,2024-01-16,09:47:00,10:14:00,LONG,Price Below VWAP,181.29,181.84,182.21,100,54.5,2.73,27,WIN,vwap_target,0.5
12,2024-01-16,09:49:00,10:14:00,LONG,Price Below VWAP,181.11,181.84,182.14,100,72.55,3.63,25,WIN,vwap_target,0.56
13,2024-01-22,12:09:00,12:59:00,LONG,Price Below VWAP,193.1,193.92,194.11,100,82.1,4.1,50,WIN,timeout,0.52
14,2024-01-23,10:23:00,11:13:00,LONG,Price Below VWAP,193.86,194.39,194.9,100,53.01,2.65,50,WIN,timeout,0.53
15,2024-01-24,15:57:00,15:59:00,LONG,Price Below VWAP,194.41,194.51,195.4,100,10.0,0.5,2,WIN,timeout,0.51
16,2024-01-24,15:58:00,15:59:00,LONG,Price Below VWAP,194.38,194.51,195.39,100,12.99,0.65,1,WIN,timeout,0.52
17,2024-01-25,13:18:00,14:08:00,LONG,Price Below VWAP,194.23,193.8,195.42,100,-42.89,-2.14,50,LOSS,timeout,0.61
18,2024-01-25,13:55:00,14:45:00,LONG,Price Below VWAP,194.29,193.13,195.3,100,-115.99,-5.8,50,LOSS,timeout,0.51
19,2024-01-26,12:36:00,13:26:00,LONG,Price Below VWAP,193.16,192.71,194.22,100,-45.0,-2.25,50,LOSS,timeout,0.55
20,2024-01-26,12:37:00,13:27:00,LONG,Price Below VWAP,193.16,192.71,194.22,100,-45.85,-2.29,50,LOSS,timeout,0.54
21,2024-01-29,09:46:00,10:10:00,LONG,Price Below VWAP,190.46,190.94,191.5,100,47.51,2.38,24,WIN,vwap_target,0.54
22,2024-01-29,09:47:00,10:10:00,LONG,Price Below VWAP,190.1,190.94,191.39,100,83.41,4.17,23,WIN,vwap_target,0.67
23,2024-01-30,10:27:00,11:17:00,LONG,Price Below VWAP,189.9,188.64,190.92,100,-126.5,-6.33,50,LOSS,timeout,0.54
24,2024-01-30,10:28:00,11:18:00,LONG,Price Below VWAP,189.56,188.66,190.85,100,-91.0,-4.55,50,LOSS,timeout,0.67
25,2024-01-31,09:47:00,10:05:00,LONG,Price Below VWAP,185.03,185.72,186.0,100,69.01,3.45,18,WIN,vwap_target,0.52
26,2024-02-05,09:40:00,10:03:00,LONG,Price Below VWAP,186.07,186.69,187.01,100,62.0,3.1,23,WIN,vwap_target,0.5
27,2024-02-07,09:55:00,10:20:00,LONG,Price Below VWAP,188.95,189.67,189.99,100,72.0,3.6,25,WIN,vwap_target,0.55
28,2024-02-07,09:56:00,10:20:00,LONG,Price Below VWAP,189.01,189.67,189.96,100,65.72,3.29,24,WIN,vwap_target,0.5
29,2024-02-08,10:31:00,11:21:00,LONG,Price Below VWAP,187.53,188.16,188.6,100,62.49,3.12,50,WIN,timeout,0.56
30,2024-02-08,10:32:00,11:22:00,LONG,Price Below VWAP,187.58,188.16,188.58,100,58.86,2.94,50,WIN,timeout,0.53
31,2024-02-12,15:02:00,15:52:00,LONG,Price Below VWAP,186.9,187.41,187.85,100,51.43,2.57,50,WIN,timeout,0.51
32,2024-02-12,15:03:00,15:53:00,LONG,Price Below VWAP,186.88,187.43,187.85,100,54.5,2.73,50,WIN,timeout,0.51
33,2024-02-13,14:14:00,15:04:00,LONG,Price Below VWAP,184.31,183.65,185.28,100,-66.5,-3.32,50,LOSS,timeout,0.52
34,2024-02-13,14:17:00,15:07:00,LONG,Price Below VWAP,184.33,183.74,185.27,100,-58.5,-2.93,50,LOSS,timeout,0.51
35,2024-02-14,11:00:00,11:50:00,LONG,Price Below VWAP,182.97,183.12,184.05,100,15.49,0.77,50,WIN,timeout,0.58
36,2024-02-14,11:01:00,11:51:00,LONG,Price Below VWAP,182.86,183.1,184.03,100,24.51,1.23,50,WIN,timeout,0.64
37,2024-02-15,09:56:00,10:46:00,LONG,Price Below VWAP,182.19,181.7,183.28,100,-48.5,-2.42,50,LOSS,timeout,0.6
38,2024-02-15,09:57:00,10:47:00,LONG,Price Below VWAP,182.09,181.64,183.23,100,-45.24,-2.26,50,LOSS,timeout,0.62
39,2024-02-16,09:54:00,10:39:00,LONG,Price Below VWAP,182.84,183.34,183.84,100,50.5,2.52,45,WIN,vwap_target,0.54
40,2024-02-16,09:55:00,10:39:00,LONG,Price Below VWAP,182.68,183.34,183.8,100,66.94,3.35,44,WIN,vwap_target,0.61
41,2024-02-20,09:38:00,10:28:00,LONG,Price Below VWAP,181.01,180.49,181.94,100,-52.0,-2.6,50,LOSS,timeout,0.51
42,2024-02-20,09:40:00,10:30:00,LONG,Price Below VWAP,180.9,180.19,181.81,100,-71.0,-3.55,50,LOSS,timeout,0.5
43,2024-02-21,12:29:00,13:19:00,LONG,Price Below VWAP,181.39,181.66,182.31,100,27.0,1.35,50,WIN,timeout,0.5
44,2024-02-21,12:33:00,13:23:00,LONG,Price Below VWAP,181.34,181.62,182.3,100,29.0,1.45,50,WIN,timeout,0.53
45,2024-02-22,09:34:00,09:49:00,LONG,Price Below VWAP,182.77,183.4,183.69,100,63.01,3.15,15,WIN,vwap_target,0.5
