feature,importance
f__vwap__value_3,1503
f__vol__atr_6,1378
f__vol__rolling_std_6,1281
f__vwap__value_6,1202
f__vwap__dist_30,1081
f__vol__sum_6,1050
f__vol__atr_3,1048
f__range__ratio_1.0,1007
f__vol__sum_3,977
f__vol__rel_6,943
f__conv__adl_strength_12,902
f__conv__wick_skew_12,881
f__vwap__z_30_60,846
f__conv__obv_mom_12,828
f__conv__body_strength_12,809
f__conv__wick_skew_6,804
f__vol__rolling_std_3,745
f__vwap__z_20_60,709
f__vwap__dist_20,703
f__conv__wick_skew_3,683
f__conv__range_pos_12,665
f__time__hour_sin,661
f__conv__obv_mom_6,623
f__conv__body_strength_6,622
f__conv__adl_strength_6,613
f__vwap__z_10_60,608
f__vwap__z_30_30,604
f__time__dow_sin,589
f__vwap__z_20_30,587
f__vwap__z_10_30,574
f__vwap__z_20_20,571
f__mom__rsi_12,569
f__mom__roc_12,551
f__vwap__z_5_60,548
f__conv__mom_vol_12,541
f__vwap__z_30_20,537
f__time__hour_cos,534
f__vwap__z_10_20,533
f__conv__range_pos_6,521
f__conv__adl_strength_3,512
f__mom__rsi_6,510
f__conv__mom_vol_6,503
f__time__dow_cos,495
f__vwap__z_5_20,469
f__conv__body_strength_3,463
f__conv__zscore_3,458
f__vwap__dist_10,455
f__conv__zscore_6,443
f__conv__range_pos_3,443
f__mom__roc_1,430
f__vwap__z_5_30,430
f__conv__obv_mom_3,426
f__conv__mom_vol_3,402
f__mom__roc_6,393
f__ma__ratio_3,388
f__conv__zscore_12,384
f__ma__ratio_12,378
f__vwap__dist_5,325
f__mom__roc_2,324
f__mom__roc_3,302
f__ma__ratio_6,291
f__time__minute_cos,220
f__time__minute_sin,208
f__ret__simple_12,77
f__ret__simple_1,43
f__ret__simple_2,41
f__ret__simple_3,39
f__ret__simple_6,37
