system,timestamp,symbol,side,quantity,price,order_ref,intent
l2-scalping,2026-01-15T14:32:33,INTC,BOT,20,49.52,L2SCALP_high_obi_depth_ENTRY_BUY_INTC_1768487553430,ENTRY
l2-scalping,2026-01-15T14:32:35,OCUL,BOT,79,12.56,L2SCALP_high_obi_depth_ENTRY_BUY_OCUL_1768487554666,ENTRY
l2-scalping,2026-01-15T14:32:37,OCUL,BOT,79,12.56,L2SCALP_high_obi_depth_ENTRY_BUY_OCUL_1768487556088,ENTRY
l2-scalping,2026-01-15T14:32:38,INTC,SLD,20,49.48,L2SCALP_obi_depth_combo_ENTRY_SELL_INTC_1768487558412,ENTRY
l2-scalping,2026-01-15T14:32:40,INTC,BOT,20,49.5,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487560178,ENTRY
l2-scalping,2026-01-15T14:32:51,OCUL,SLD,79,12.52,L2SCALP_bid_depth_obi_ENTRY_SELL_OCUL_1768487570020,ENTRY
l2-scalping,2026-01-15T14:32:51,OCUL,SLD,79,12.55,L2SCALP_bid_depth_obi_ENTRY_SELL_OCUL_1768487571603,ENTRY
l2-scalping,2026-01-15T14:32:53,OCUL,SLD,79,12.48,L2SCALP_bid_depth_obi_ENTRY_SELL_OCUL_1768487572861,ENTRY
l2-scalping,2026-01-15T14:32:54,INTC,BOT,20,49.49,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487573892,ENTRY
l2-scalping,2026-01-15T14:32:56,INTC,BOT,20,49.52,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487576714,ENTRY
l2-scalping,2026-01-15T14:33:02,INTC,BOT,20,49.6,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487582088,ENTRY
l2-scalping,2026-01-15T14:33:13,INTC,SLD,20,49.65,L2SCALP_obi_depth_combo_ENTRY_SELL_INTC_1768487593677,ENTRY
l2-scalping,2026-01-15T14:33:27,INTC,SLD,20,49.73,L2SCALP_bid_depth_obi_ENTRY_SELL_INTC_1768487606807,ENTRY
l2-scalping,2026-01-15T14:33:28,INTC,SLD,20,49.7,L2SCALP_obi_depth_combo_ENTRY_SELL_INTC_1768487608055,ENTRY
l2-scalping,2026-01-15T14:33:31,INTC,SLD,20,49.55,L2SCALP_obi_depth_combo_ENTRY_SELL_INTC_1768487611348,ENTRY
l2-scalping,2026-01-15T14:33:33,INTC,BOT,20,49.6,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487613233,ENTRY
l2-scalping,2026-01-15T14:33:40,INTC,BOT,20,49.76,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487619778,ENTRY
l2-scalping,2026-01-15T14:33:42,INTC,BOT,20,49.84,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487621832,ENTRY
l2-scalping,2026-01-15T14:33:44,INTC,SLD,20,49.83,L2SCALP_obi_depth_combo_ENTRY_SELL_INTC_1768487624658,ENTRY
l2-scalping,2026-01-15T14:33:55,INTC,SLD,20,49.89,L2SCALP_bid_depth_obi_ENTRY_SELL_INTC_1768487635622,ENTRY
l2-scalping,2026-01-15T14:33:58,INTC,BOT,20,49.92,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487638125,ENTRY
l2-scalping,2026-01-15T14:34:06,INTC,SLD,20,50.0,L2SCALP_bid_depth_obi_ENTRY_SELL_INTC_1768487646605,ENTRY
l2-scalping,2026-01-15T14:34:12,INTC,BOT,19,50.03,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487652272,ENTRY
l2-scalping,2026-01-15T14:34:15,INTC,SLD,20,49.88,L2SCALP_bid_depth_obi_ENTRY_SELL_INTC_1768487655412,ENTRY
l2-scalping,2026-01-15T14:34:22,INTC,BOT,19,50.09,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487662126,ENTRY
l2-scalping,2026-01-15T14:34:25,INTC,BOT,19,50.02,L2SCALP_obi_depth_combo_ENTRY_BUY_INTC_1768487664961,ENTRY
l2-scalping,2026-01-15T14:34:26,INTC,BOT,19,50.01,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487665678,ENTRY
l2-scalping,2026-01-15T14:34:27,INTC,SLD,19,50.04,L2SCALP_bid_depth_obi_ENTRY_SELL_INTC_1768487667641,ENTRY
l2-scalping,2026-01-15T14:34:37,INTC,BOT,19,50.06,L2SCALP_obi_depth_combo_ENTRY_BUY_INTC_1768487676672,ENTRY
l2-scalping,2026-01-15T14:34:38,INTC,BOT,19,50.04,L2SCALP_obi_depth_combo_ENTRY_BUY_INTC_1768487677919,ENTRY
l2-scalping,2026-01-15T14:34:39,INTC,BOT,19,50.02,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487678786,ENTRY
l2-scalping,2026-01-15T14:34:41,INTC,BOT,19,50.07,L2SCALP_obi_depth_combo_ENTRY_BUY_INTC_1768487681324,ENTRY
l2-scalping,2026-01-15T14:34:42,INTC,SLD,19,50.07,L2SCALP_bid_depth_obi_ENTRY_SELL_INTC_1768487682049,ENTRY
l2-scalping,2026-01-15T14:34:43,INTC,SLD,19,50.07,L2SCALP_obi_depth_combo_ENTRY_SELL_INTC_1768487683302,ENTRY
l2-scalping,2026-01-15T14:34:48,INTC,BOT,19,49.88,L2SCALP_high_obi_depth_ENTRY_BUY_INTC_1768487688262,ENTRY
l2-scalping,2026-01-15T14:34:51,INTC,BOT,20,49.92,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487691695,ENTRY
l2-scalping,2026-01-15T14:34:58,INTC,BOT,20,49.81,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487698241,ENTRY
l2-scalping,2026-01-15T14:35:03,OCUL,SLD,81,12.35,L2SCALP_bid_depth_obi_ENTRY_SELL_OCUL_1768487702608,ENTRY
l2-scalping,2026-01-15T14:35:05,INTC,BOT,20,49.88,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487705165,ENTRY
l2-scalping,2026-01-15T14:35:07,OCUL,SLD,82,12.36,L2SCALP_bid_depth_obi_ENTRY_SELL_OCUL_1768487706576,ENTRY
l2-scalping,2026-01-15T14:35:09,INTC,SLD,20,49.76,L2SCALP_obi_depth_combo_ENTRY_SELL_INTC_1768487709676,ENTRY
l2-scalping,2026-01-15T14:35:12,INTC,BOT,20,49.82,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487712498,ENTRY
l2-scalping,2026-01-15T14:35:14,INTC,SLD,20,49.8,L2SCALP_bid_depth_obi_ENTRY_SELL_INTC_1768487713966,ENTRY
l2-scalping,2026-01-15T14:35:21,INTC,SLD,20,49.88,L2SCALP_bid_depth_obi_ENTRY_SELL_INTC_1768487721188,ENTRY
l2-scalping,2026-01-15T14:35:22,INTC,SLD,20,49.85,L2SCALP_obi_depth_combo_ENTRY_SELL_INTC_1768487722634,ENTRY
l2-scalping,2026-01-15T14:35:24,INTC,SLD,20,49.92,L2SCALP_obi_depth_combo_ENTRY_SELL_INTC_1768487723884,ENTRY
l2-scalping,2026-01-15T14:35:30,INTC,SLD,20,49.93,L2SCALP_bid_depth_obi_ENTRY_SELL_INTC_1768487730465,ENTRY
l2-scalping,2026-01-15T14:35:32,INTC,BOT,20,49.81,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487732625,ENTRY
l2-scalping,2026-01-15T14:35:36,INTC,SLD,20,49.76,L2SCALP_obi_depth_combo_ENTRY_SELL_INTC_1768487736266,ENTRY
l2-scalping,2026-01-15T14:35:39,OCUL,BOT,80,12.26,L2SCALP_obi_depth_combo_ENTRY_BUY_OCUL_1768487738329,ENTRY
l2-scalping,2026-01-15T14:35:39,INTC,BOT,20,49.79,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487739276,ENTRY
l2-scalping,2026-01-15T14:35:42,INTC,BOT,20,49.76,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487741684,ENTRY
l2-scalping,2026-01-15T14:35:50,INTC,SLD,20,49.79,L2SCALP_bid_depth_obi_ENTRY_SELL_INTC_1768487749903,ENTRY
l2-scalping,2026-01-15T14:35:52,INTC,BOT,20,49.83,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487751958,ENTRY
l2-scalping,2026-01-15T14:35:57,INTC,SLD,20,49.84,L2SCALP_bid_depth_obi_ENTRY_SELL_INTC_1768487757150,ENTRY
l2-scalping,2026-01-15T14:35:58,INTC,BOT,20,49.88,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487758687,ENTRY
l2-scalping,2026-01-15T14:36:01,INTC,BOT,20,49.89,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487761289,ENTRY
l2-scalping,2026-01-15T14:36:05,INTC,BOT,20,49.88,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487765109,ENTRY
l2-scalping,2026-01-15T14:36:08,INTC,BOT,20,49.91,L2SCALP_high_obi_depth_ENTRY_BUY_INTC_1768487767920,ENTRY
l2-scalping,2026-01-15T14:36:20,INTC,SLD,20,49.94,L2SCALP_bid_depth_obi_ENTRY_SELL_INTC_1768487780609,ENTRY
l2-scalping,2026-01-15T14:36:25,OCUL,SLD,81,12.25,L2SCALP_bid_depth_obi_ENTRY_SELL_OCUL_1768487784845,ENTRY
l2-scalping,2026-01-15T14:36:26,INTC,SLD,20,49.93,L2SCALP_obi_depth_combo_ENTRY_SELL_INTC_1768487785748,ENTRY
l2-scalping,2026-01-15T14:36:30,INTC,BOT,20,49.88,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487789633,ENTRY
l2-scalping,2026-01-15T14:36:31,INTC,SLD,20,49.92,L2SCALP_obi_depth_combo_ENTRY_SELL_INTC_1768487791090,ENTRY
l2-scalping,2026-01-15T14:36:34,INTC,SLD,20,49.89,L2SCALP_obi_depth_combo_ENTRY_SELL_INTC_1768487794037,ENTRY
l2-scalping,2026-01-15T14:36:35,INTC,SLD,20,49.87,L2SCALP_bid_depth_obi_ENTRY_SELL_INTC_1768487794982,ENTRY
l2-scalping,2026-01-15T14:36:36,INTC,BOT,20,49.92,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487796409,ENTRY
l2-scalping,2026-01-15T14:36:38,OCUL,SLD,83,12.07,L2SCALP_bid_depth_obi_ENTRY_SELL_OCUL_1768487797720,ENTRY
l2-scalping,2026-01-15T14:36:40,OCUL,SLD,83,12.06,L2SCALP_bid_depth_obi_ENTRY_SELL_OCUL_1768487799782,ENTRY
l2-scalping,2026-01-15T14:36:42,INTC,SLD,20,49.91,L2SCALP_high_obi_depth_ENTRY_SELL_INTC_1768487802087,ENTRY
l2-scalping,2026-01-15T14:36:50,OCUL,SLD,84,12.06,L2SCALP_bid_depth_obi_ENTRY_SELL_OCUL_1768487808842,ENTRY
l2-scalping,2026-01-15T14:36:55,INTC,BOT,19,50.09,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487815759,ENTRY
l2-scalping,2026-01-15T14:36:59,INTC,SLD,19,50.02,L2SCALP_bid_depth_obi_ENTRY_SELL_INTC_1768487819660,ENTRY
l2-scalping,2026-01-15T14:37:02,INTC,BOT,19,50.07,L2SCALP_obi_depth_combo_ENTRY_BUY_INTC_1768487821867,ENTRY
l2-scalping,2026-01-15T14:37:02,INTC,SLD,19,50.02,L2SCALP_bid_depth_obi_ENTRY_SELL_INTC_1768487822591,ENTRY
l2-scalping,2026-01-15T14:37:05,INTC,SLD,19,50.05,L2SCALP_bid_depth_obi_ENTRY_SELL_INTC_1768487825281,ENTRY
l2-scalping,2026-01-15T14:37:07,INTC,BOT,19,50.04,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487827270,ENTRY
l2-scalping,2026-01-15T14:37:08,INTC,SLD,19,50.02,L2SCALP_obi_depth_combo_ENTRY_SELL_INTC_1768487828534,ENTRY
l2-scalping,2026-01-15T14:37:13,INTC,BOT,19,50.07,L2SCALP_obi_depth_combo_ENTRY_BUY_INTC_1768487832506,ENTRY
l2-scalping,2026-01-15T14:37:15,INTC,BOT,19,50.07,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487834485,ENTRY
l2-scalping,2026-01-15T14:37:16,OCUL,BOT,81,12.09,L2SCALP_obi_depth_combo_ENTRY_BUY_OCUL_1768487835725,ENTRY
l2-scalping,2026-01-15T14:40:38,INTC,SLD,19,50.33,L2SCALP_high_obi_depth_ENTRY_SELL_INTC_1768488038538,ENTRY
l2-scalping,2026-01-15T14:40:43,INTC,BOT,19,50.26,L2SCALP_high_obi_depth_ENTRY_BUY_INTC_1768488043043,ENTRY
l2-scalping,2026-01-15T14:40:52,INTC,BOT,19,50.13,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768488052212,ENTRY
l2-scalping,2026-01-15T14:40:53,INTC,BOT,19,50.07,L2SCALP_high_obi_depth_ENTRY_BUY_INTC_1768488053170,ENTRY
l2-scalping,2026-01-15T14:40:54,INTC,BOT,19,50.03,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768488054516,ENTRY
l2-scalping,2026-01-15T14:40:56,INTC,BOT,20,50.0,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768488055767,ENTRY
l2-scalping,2026-01-15T14:41:02,INTC,BOT,19,50.13,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768488062172,ENTRY
l2-scalping,2026-01-15T14:41:06,INTC,SLD,19,50.11,L2SCALP_high_obi_depth_ENTRY_SELL_INTC_1768488066374,ENTRY
l2-scalping,2026-01-15T14:41:10,INTC,BOT,19,50.13,L2SCALP_obi_depth_combo_ENTRY_BUY_INTC_1768488069816,ENTRY
l2-scalping,2026-01-15T14:41:15,INTC,BOT,19,50.06,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768488074540,ENTRY
l2-scalping,2026-01-15T14:41:17,INTC,SLD,19,50.07,L2SCALP_bid_depth_obi_ENTRY_SELL_INTC_1768488077358,ENTRY
l2-scalping,2026-01-15T14:41:26,INTC,SLD,19,50.01,L2SCALP_obi_depth_combo_ENTRY_SELL_INTC_1768488086012,ENTRY
l2-scalping,2026-01-15T14:41:29,INTC,SLD,19,50.02,L2SCALP_high_obi_depth_ENTRY_SELL_INTC_1768488089344,ENTRY
l2-scalping,2026-01-15T14:41:31,INTC,BOT,20,50.0,L2SCALP_obi_depth_combo_ENTRY_BUY_INTC_1768488090604,ENTRY
l2-scalping,2026-01-15T14:41:32,INTC,SLD,20,49.99,L2SCALP_obi_depth_combo_ENTRY_SELL_INTC_1768488092576,ENTRY
l2-scalping,2026-01-15T14:41:36,INTC,BOT,20,49.92,L2SCALP_obi_depth_combo_ENTRY_BUY_INTC_1768488096135,ENTRY
l2-scalping,2026-01-15T14:41:37,INTC,BOT,20,49.91,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768488097461,ENTRY
l2-scalping,2026-01-15T14:41:45,INTC,BOT,20,49.95,L2SCALP_high_obi_depth_ENTRY_BUY_INTC_1768488104677,ENTRY
l2-scalping,2026-01-15T14:41:47,INTC,BOT,20,49.93,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768488107469,ENTRY
l2-scalping,2026-01-15T14:41:49,INTC,BOT,20,49.9,L2SCALP_high_obi_depth_ENTRY_BUY_INTC_1768488108469,ENTRY
l2-scalping,2026-01-15T14:41:53,OCUL,BOT,78,12.63,L2SCALP_obi_depth_combo_ENTRY_BUY_OCUL_1768488111900,ENTRY
l2-scalping,2026-01-15T14:41:53,OCUL,BOT,78,12.63,L2SCALP_high_obi_depth_ENTRY_BUY_OCUL_1768488112875,ENTRY
l2-scalping,2026-01-15T14:41:54,INTC,SLD,20,49.91,L2SCALP_bid_depth_obi_ENTRY_SELL_INTC_1768488114405,ENTRY
l2-scalping,2026-01-15T14:41:56,OCUL,BOT,78,12.63,L2SCALP_high_obi_depth_ENTRY_BUY_OCUL_1768488116402,ENTRY
l2-scalping,2026-01-15T14:41:57,INTC,BOT,20,49.89,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768488117394,ENTRY
l2-scalping,2026-01-15T14:42:02,INTC,SLD,20,49.87,L2SCALP_bid_depth_obi_ENTRY_SELL_INTC_1768488122645,ENTRY
l2-scalping,2026-01-15T14:42:03,INTC,SLD,20,49.89,L2SCALP_high_obi_depth_ENTRY_SELL_INTC_1768488123371,ENTRY
l2-scalping,2026-01-15T14:42:05,INTC,BOT,20,49.93,L2SCALP_high_obi_depth_ENTRY_BUY_INTC_1768488125601,ENTRY
l2-scalping,2026-01-15T14:42:10,OCUL,SLD,78,12.59,L2SCALP_bid_depth_obi_ENTRY_SELL_OCUL_1768488129282,ENTRY
l2-scalping,2026-01-15T14:42:10,OCUL,SLD,78,12.6,L2SCALP_bid_depth_obi_ENTRY_SELL_OCUL_1768488130536,ENTRY
l2-scalping,2026-01-15T14:42:14,INTC,SLD,20,49.91,L2SCALP_obi_depth_combo_ENTRY_SELL_INTC_1768488133985,ENTRY
l2-scalping,2026-01-15T14:42:16,INTC,SLD,20,49.88,L2SCALP_obi_depth_combo_ENTRY_SELL_INTC_1768488136254,ENTRY
l2-scalping,2026-01-15T14:42:20,INTC,SLD,20,49.89,L2SCALP_bid_depth_obi_ENTRY_SELL_INTC_1768488140188,ENTRY
l2-scalping,2026-01-15T14:42:23,INTC,BOT,20,49.94,L2SCALP_obi_depth_combo_ENTRY_BUY_INTC_1768488143530,ENTRY
l2-scalping,2026-01-15T14:42:25,INTC,BOT,20,49.95,L2SCALP_high_obi_depth_ENTRY_BUY_INTC_1768488144959,ENTRY
l2-scalping,2026-01-15T14:42:26,INTC,BOT,20,49.93,L2SCALP_obi_depth_combo_ENTRY_BUY_INTC_1768488146212,ENTRY
l2-scalping,2026-01-15T14:42:27,INTC,BOT,20,49.88,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768488147001,ENTRY
l2-scalping,2026-01-15T14:42:34,INTC,SLD,20,49.86,L2SCALP_high_obi_depth_ENTRY_SELL_INTC_1768488154202,ENTRY
l2-scalping,2026-01-15T14:42:36,INTC,SLD,20,49.84,L2SCALP_bid_depth_obi_ENTRY_SELL_INTC_1768488156207,ENTRY
l2-scalping,2026-01-15T14:42:38,INTC,BOT,20,49.92,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768488158391,ENTRY
l2-scalping,2026-01-15T14:42:40,INTC,SLD,20,49.93,L2SCALP_bid_depth_obi_ENTRY_SELL_INTC_1768488159645,ENTRY
