system,timestamp,symbol,side,quantity,price,order_ref
l2-scalping,2026-01-15T14:32:33,INTC,BOT,20,49.52,L2SCALP_high_obi_depth_ENTRY_BUY_INTC_1768487553430
l2-scalping,2026-01-15T14:32:33,INTC,BOT,20,49.52,L2SCALP_high_obi_depth_ENTRY_BUY_INTC_1768487553430
l2-scalping,2026-01-15T14:32:35,OCUL,BOT,79,12.56,L2SCALP_high_obi_depth_ENTRY_BUY_OCUL_1768487554666
l2-scalping,2026-01-15T14:32:35,OCUL,BOT,79,12.56,L2SCALP_high_obi_depth_ENTRY_BUY_OCUL_1768487554666
l2-scalping,2026-01-15T14:32:37,OCUL,BOT,79,12.56,L2SCALP_high_obi_depth_ENTRY_BUY_OCUL_1768487556088
l2-scalping,2026-01-15T14:32:37,OCUL,BOT,79,12.56,L2SCALP_high_obi_depth_ENTRY_BUY_OCUL_1768487556088
l2-scalping,2026-01-15T14:32:38,INTC,SLD,20,49.48,L2SCALP_obi_depth_combo_ENTRY_SELL_INTC_1768487558412
l2-scalping,2026-01-15T14:32:38,INTC,SLD,20,49.48,L2SCALP_obi_depth_combo_ENTRY_SELL_INTC_1768487558412
l2-scalping,2026-01-15T14:32:40,INTC,BOT,20,49.5,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487560178
l2-scalping,2026-01-15T14:32:40,INTC,BOT,20,49.5,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487560178
l2-scalping,2026-01-15T14:32:51,OCUL,SLD,79,12.52,L2SCALP_bid_depth_obi_ENTRY_SELL_OCUL_1768487570020
l2-scalping,2026-01-15T14:32:51,OCUL,SLD,79,12.55,L2SCALP_bid_depth_obi_ENTRY_SELL_OCUL_1768487571603
l2-scalping,2026-01-15T14:32:51,OCUL,SLD,79,12.52,L2SCALP_bid_depth_obi_ENTRY_SELL_OCUL_1768487570020
l2-scalping,2026-01-15T14:32:51,OCUL,SLD,79,12.55,L2SCALP_bid_depth_obi_ENTRY_SELL_OCUL_1768487571603
l2-scalping,2026-01-15T14:32:53,OCUL,SLD,79,12.48,L2SCALP_bid_depth_obi_ENTRY_SELL_OCUL_1768487572861
l2-scalping,2026-01-15T14:32:53,OCUL,SLD,79,12.48,L2SCALP_bid_depth_obi_ENTRY_SELL_OCUL_1768487572861
l2-scalping,2026-01-15T14:32:54,INTC,BOT,20,49.49,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487573892
l2-scalping,2026-01-15T14:32:54,INTC,BOT,20,49.49,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487573892
l2-scalping,2026-01-15T14:32:56,INTC,BOT,20,49.52,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487576714
l2-scalping,2026-01-15T14:32:56,INTC,BOT,20,49.52,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487576714
l2-scalping,2026-01-15T14:33:02,INTC,BOT,20,49.6,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487582088
l2-scalping,2026-01-15T14:33:02,INTC,BOT,20,49.6,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487582088
