system,direction,entry_time,entry_price,symbol,volume,exit_time,exit_price
l2-scalping,long,2026-01-15T14:32:33,49.52,INTC,20,2026-01-15T14:42:34,49.86
l2-scalping,long,2026-01-15T14:32:33,49.52,INTC,20,2026-01-15T14:42:34,49.86
l2-scalping,long,2026-01-15T14:32:35,12.56,OCUL,79,2026-01-15T14:45:02,12.59
l2-scalping,long,2026-01-15T14:32:35,12.56,OCUL,79,2026-01-15T14:45:02,12.59
l2-scalping,long,2026-01-15T14:32:37,12.56,OCUL,79,2026-01-15T14:45:04,12.59
l2-scalping,long,2026-01-15T14:32:37,12.56,OCUL,79,2026-01-15T14:45:04,12.59
l2-scalping,short,2026-01-15T14:32:38,49.48,INTC,20,2026-01-15T14:42:38,49.92
l2-scalping,short,2026-01-15T14:32:38,49.48,INTC,20,2026-01-15T14:42:38,49.92
l2-scalping,long,2026-01-15T14:32:40,49.5,INTC,20,2026-01-15T14:42:40,49.93
l2-scalping,long,2026-01-15T14:32:40,49.5,INTC,20,2026-01-15T14:42:40,49.93
l2-scalping,short,2026-01-15T14:32:51,12.52,OCUL,79,2026-01-15T14:45:06,12.59
l2-scalping,short,2026-01-15T14:32:51,12.55,OCUL,79,2026-01-15T14:45:06,12.59
l2-scalping,short,2026-01-15T14:32:51,12.52,OCUL,79,2026-01-15T14:45:07,12.61
l2-scalping,short,2026-01-15T14:32:51,12.55,OCUL,79,2026-01-15T14:45:07,12.61
l2-scalping,short,2026-01-15T14:32:53,12.48,OCUL,21,2026-01-15T14:45:08,12.61
l2-scalping,short,2026-01-15T14:32:53,12.48,OCUL,21,2026-01-15T14:45:08,12.61
l2-scalping,long,2026-01-15T14:32:54,49.49,INTC,19,2026-01-15T14:42:54,50.06
l2-scalping,long,2026-01-15T14:32:54,49.49,INTC,19,2026-01-15T14:42:54,50.06
l2-scalping,long,2026-01-15T14:32:56,49.52,INTC,20,2026-01-15T14:42:56,49.96
l2-scalping,long,2026-01-15T14:32:56,49.52,INTC,20,2026-01-15T14:42:56,49.96
l2-scalping,long,2026-01-15T14:33:02,49.6,INTC,19,2026-01-15T14:43:03,50.04
l2-scalping,long,2026-01-15T14:33:02,49.6,INTC,19,2026-01-15T14:43:03,50.04
l2-scalping,short,2026-01-15T14:33:13,49.65,INTC,19,2026-01-15T14:43:16,50.03
l2-scalping,short,2026-01-15T14:33:13,49.65,INTC,19,2026-01-15T14:43:16,50.03
l2-scalping,short,2026-01-15T14:33:27,49.73,INTC,19,2026-01-15T14:43:28,50.14
l2-scalping,short,2026-01-15T14:33:27,49.73,INTC,19,2026-01-15T14:43:28,50.14
l2-scalping,short,2026-01-15T14:33:28,49.7,INTC,19,2026-01-15T14:43:29,50.13
l2-scalping,short,2026-01-15T14:33:28,49.7,INTC,19,2026-01-15T14:43:29,50.13
l2-scalping,short,2026-01-15T14:33:31,49.55,INTC,19,2026-01-15T14:43:34,50.14
l2-scalping,short,2026-01-15T14:33:31,49.55,INTC,19,2026-01-15T14:43:34,50.14
l2-scalping,long,2026-01-15T14:33:33,49.6,INTC,19,2026-01-15T14:43:38,50.17
l2-scalping,long,2026-01-15T14:33:33,49.6,INTC,19,2026-01-15T14:43:38,50.17
l2-scalping,long,2026-01-15T14:33:40,49.76,INTC,19,2026-01-15T14:43:42,50.24
l2-scalping,long,2026-01-15T14:33:40,49.76,INTC,19,2026-01-15T14:43:42,50.24
l2-scalping,long,2026-01-15T14:33:42,49.84,INTC,20,2026-01-15T14:51:02,49.67
l2-scalping,long,2026-01-15T14:33:42,49.84,INTC,20,2026-01-15T14:51:02,49.67
l2-scalping,short,2026-01-15T14:33:44,49.83,INTC,20,2026-01-15T14:55:35,49.46
l2-scalping,short,2026-01-15T14:33:44,49.83,INTC,20,2026-01-15T14:55:35,49.46
l2-scalping,short,2026-01-15T14:33:55,49.89,INTC,20,2026-01-15T14:55:40,49.49
l2-scalping,short,2026-01-15T14:33:55,49.89,INTC,20,2026-01-15T14:55:40,49.49
l2-scalping,long,2026-01-15T14:33:58,49.92,INTC,20,2026-01-15T14:55:50,49.41
l2-scalping,long,2026-01-15T14:33:58,49.92,INTC,20,2026-01-15T14:55:50,49.41
l2-scalping,short,2026-01-15T14:34:06,50.0,INTC,20,2026-01-15T14:55:56,49.47
l2-scalping,short,2026-01-15T14:34:06,50.0,INTC,20,2026-01-15T14:55:56,49.47
l2-scalping,long,2026-01-15T14:34:12,50.03,INTC,19,2026-01-15T14:55:58,49.48
l2-scalping,long,2026-01-15T14:34:12,50.03,INTC,19,2026-01-15T14:55:58,49.48
l2-scalping,short,2026-01-15T14:34:15,49.88,INTC,20,2026-01-15T14:56:02,49.44
l2-scalping,short,2026-01-15T14:34:15,49.88,INTC,20,2026-01-15T14:56:02,49.44
l2-scalping,long,2026-01-15T14:34:22,50.09,INTC,19,2026-01-15T14:56:03,49.44
l2-scalping,long,2026-01-15T14:34:22,50.09,INTC,19,2026-01-15T14:56:03,49.44
l2-scalping,long,2026-01-15T14:34:25,50.02,INTC,19,2026-01-15T14:56:08,49.47
l2-scalping,long,2026-01-15T14:34:25,50.02,INTC,19,2026-01-15T14:56:08,49.47
l2-scalping,long,2026-01-15T14:34:26,50.01,INTC,19,2026-01-15T14:56:17,49.45
l2-scalping,long,2026-01-15T14:34:26,50.01,INTC,19,2026-01-15T14:56:17,49.45
l2-scalping,short,2026-01-15T14:34:27,50.04,INTC,19,2026-01-15T14:56:22,49.47
l2-scalping,short,2026-01-15T14:34:27,50.04,INTC,19,2026-01-15T14:56:22,49.47
l2-scalping,long,2026-01-15T14:34:37,50.06,INTC,19,2026-01-15T14:56:31,49.49
l2-scalping,long,2026-01-15T14:34:37,50.06,INTC,19,2026-01-15T14:56:31,49.49
l2-scalping,long,2026-01-15T14:34:38,50.04,INTC,19,2026-01-15T14:56:37,49.35
