system,direction,entry_time,entry_price,symbol,volume,exit_time,exit_price,fee,net_pnl
l2-scalping,long,2026-01-15T22:58:27.607000,12.5,OCUL,80,2026-01-15T23:08:30.269000,11.57,0.0,-74.39999999999998
l2-scalping,short,2026-01-15T22:59:51.702000,12.36,OCUL,79,2026-01-15T23:10:07.487000,11.43,0.0,73.46999999999997
l2-scalping,long,2026-01-15T23:00:11.502000,12.33,OCUL,81,2026-01-15T23:11:37.092000,11.48,0.0,-68.84999999999997
l2-scalping,long,2026-01-15T23:00:22.628000,12.32,OCUL,80,2026-01-15T23:11:46.304000,11.5,0.0,-65.60000000000002
l2-scalping,short,2026-01-15T23:00:32.770000,12.26,OCUL,80,2026-01-15T23:12:08.282000,11.5,0.0,60.79999999999998
l2-scalping,long,2026-01-15T23:00:56.536000,12.32,OCUL,82,2026-01-15T23:13:26.991000,11.5,0.0,-67.24000000000002
l2-scalping,short,2026-01-15T23:01:17.404000,12.26,OCUL,80,2026-01-15T23:14:26.170000,11.5,0.0,60.79999999999998
l2-scalping,long,2026-01-15T23:01:59.028000,12.19,OCUL,82,2026-01-15T23:15:44.242000,11.33,0.0,-70.51999999999995
l2-scalping,short,2026-01-15T23:02:10.320000,12.12,OCUL,81,2026-01-15T23:16:05.023000,11.36,0.0,61.55999999999998
l2-scalping,long,2026-01-15T23:02:20.581000,12.04,OCUL,83,2026-01-15T23:16:15.940000,11.34,0.0,-58.09999999999994
l2-scalping,long,2026-01-15T23:02:31.098000,12.0,OCUL,83,2026-01-15T23:16:39.017000,11.38,0.0,-51.45999999999994
l2-scalping,long,2026-01-15T23:02:41.582000,12.03,OCUL,83,2026-01-15T23:16:49.775000,11.46,0.0,-47.309999999999874
l2-scalping,short,2026-01-15T23:03:49.289000,11.88,OCUL,84,2026-01-15T23:17:00.569000,11.43,0.0,37.80000000000009
l2-scalping,long,2026-01-15T23:05:02.914000,11.88,OCUL,85,2026-01-15T23:17:12.324000,11.39,0.0,-41.65000000000002
l2-scalping,long,2026-01-15T23:05:34.695000,11.83,OCUL,84,2026-01-15T23:17:54.194000,11.36,0.0,-39.480000000000054
l2-scalping,short,2026-01-15T23:05:49.049000,11.77,OCUL,84,2026-01-15T23:18:05.126000,11.32,0.0,37.79999999999994
l2-scalping,short,2026-01-15T23:06:21.217000,11.71,OCUL,84,2026-01-15T23:18:15.805000,11.3,0.0,34.44000000000001
l2-scalping,long,2026-01-15T23:18:47.877000,11.28,OCUL,89,2026-01-15T23:29:31.941000,11.13,0.0,-13.349999999999874
l2-scalping,long,2026-01-15T23:19:16.691000,11.29,OCUL,89,2026-01-15T23:31:13.409000,11.07,0.0,-19.5799999999999
l2-scalping,long,2026-01-15T23:20:05.642000,11.32,OCUL,89,2026-01-15T23:31:24.299000,11.08,0.0,-21.36000000000002
l2-scalping,long,2026-01-15T23:20:14.649000,11.28,OCUL,89,2026-01-15T23:35:45.717000,11.03,0.0,-22.25
l2-scalping,long,2026-01-15T23:21:55.432000,11.21,OCUL,90,2026-01-15T23:36:13.624000,11.06,0.0,-13.500000000000032
l2-scalping,long,2026-01-15T23:23:27.402000,11.2,OCUL,9,2026-01-15T23:36:24.381000,11.06,0.0,-1.2599999999999891
l2-scalping,short,2026-01-15T23:24:12.698000,11.1,OCUL,90,2026-01-15T23:36:35.105000,11.05,0.0,4.499999999999904
l2-scalping,long,2026-01-15T23:24:35.535000,11.11,OCUL,90,2026-01-15T23:38:15.232000,11.2,0.0,8.099999999999987
intraday-paper,short,2026-01-15T23:29:55.068000,10.24,RILY,100,2026-01-15T23:30:32.863000,10.21,0.0,2.999999999999936
intraday-paper,long,2026-01-15T23:30:01.122000,26.47,CMCL,100,2026-01-15T23:30:01.268000,26.48,0.0,1.0000000000001563
intraday-paper,long,2026-01-15T23:30:06.045000,47.97,INTC,100,2026-01-15T23:30:06.438000,47.95,0.0,-1.999999999999602
