feature,importance,direction,pct
time_since_open,2085,LONG,11.291021336510344
volatility_20,1942,LONG,10.516625148922344
returns_20,1531,LONG,8.29091302935124
volume_momentum,1275,LONG,6.904581392830066
range_pct,1066,LONG,5.772771580201451
returns_10,1036,LONG,5.610310841546626
volume_ratio_20,984,LONG,5.328712227878262
volatility_5,977,LONG,5.290804722192137
volume_ratio,841,LONG,4.554316040290264
time_to_close,792,LONG,4.288963500487382
upper_wick,766,LONG,4.1481641936532005
price_position,717,LONG,3.8828116538503195
returns_5,695,LONG,3.763673778836781
lower_wick,662,LONG,3.5849669663164736
distance_from_vwap,581,LONG,3.146322971948446
body_pct,563,LONG,3.0488465287555506
pressure_ratio,541,LONG,2.9297086537420123
returns,441,LONG,2.388172858225929
fvg_size_pct,436,LONG,2.3610960684501245
fvg_down,132,LONG,0.7148272500812304
order_block_bull,95,LONG,0.5144590057402795
pv_divergence,78,LONG,0.4223979205025452
bos_up,68,LONG,0.36824434095093683
fvg_up,42,LONG,0.22744503411675512
bos_down,38,LONG,0.20578360229611178
liquidity_grab_high,22,LONG,0.1191378750135384
order_block_bear,19,LONG,0.10289180114805589
liquidity_grab_low,19,LONG,0.10289180114805589
displacement_down,15,LONG,0.08123036932741254
displacement_up,7,LONG,0.03790750568612585
