feature,importance,direction,pct
volatility_20,2084,SHORT,11.35323599912835
time_since_open,1905,SHORT,10.37807801263892
returns_20,1396,SHORT,7.605142732621486
volume_momentum,1188,SHORT,6.4719982567008065
range_pct,1074,SHORT,5.850947918936588
volume_ratio_20,1071,SHORT,5.834604488995424
volatility_5,962,SHORT,5.240793201133145
returns_10,916,SHORT,4.990193942035302
volume_ratio,863,SHORT,4.701460013074744
time_to_close,854,SHORT,4.652429723251253
returns_5,761,SHORT,4.1457833950751795
upper_wick,712,SHORT,3.8788407060361734
price_position,701,SHORT,3.8189147962519066
body_pct,658,SHORT,3.5846589670952276
lower_wick,652,SHORT,3.5519721072129005
distance_from_vwap,572,SHORT,3.1161473087818696
pressure_ratio,550,SHORT,2.9962954892133364
returns,495,SHORT,2.696665940292003
fvg_size_pct,467,SHORT,2.544127260841142
fvg_up,108,SHORT,0.5883634778818915
order_block_bear,92,SHORT,0.5011985181956853
fvg_down,56,SHORT,0.3050773589017215
order_block_bull,53,SHORT,0.28873392896055783
pv_divergence,41,SHORT,0.22336020919590324
liquidity_grab_low,39,SHORT,0.21246458923512748
liquidity_grab_high,39,SHORT,0.21246458923512748
bos_up,22,SHORT,0.11985181956853345
bos_down,16,SHORT,0.08716495968620615
displacement_up,8,SHORT,0.043582479843103074
displacement_down,1,SHORT,0.005447809980387884
