feature,correlation,abs_corr,p_value
price_vs_r1,-0.024901158267470882,0.024901158267470882,1.2099470711555294e-16
close_position,-0.023008503424419586,0.023008503424419586,1.971234077483874e-14
close_vs_high_5,-0.02253315938023918,0.02253315938023918,6.662593158088463e-14
body_pct,-0.02246817674790548,0.02246817674790548,7.854472968602606e-14
rsi_5_slope,-0.0218236340530962,0.0218236340530962,3.9461651094213557e-13
low_ret,-0.021798672667017887,0.021798672667017887,4.167411625450952e-13
intraday_ret,-0.020642899551185097,0.020642899551185097,6.624592685750681e-12
price_vs_pivot,-0.020559361819589374,0.020559361819589374,8.04705263551277e-12
atr_pct_60,0.019997835609764755,0.019997835609764755,2.912167335175729e-11
d1_close_1,-0.019617055106215378,0.019617055106215378,6.85042754778243e-11
ret_1,-0.019617030616330373,0.019617030616330373,6.850799805933132e-11
log_ret_1,-0.019617030616330373,0.019617030616330373,6.850799805933132e-11
roc_1,-0.019617030616330373,0.019617030616330373,6.850799805933132e-11
ret_2,-0.019249594703690844,0.019249594703690844,1.5406642774387536e-10
log_ret_2,-0.019249594703690844,0.019249594703690844,1.5406642774387536e-10
d1_close_ext_2,-0.0192495929334555,0.0192495929334555,1.5406702197148521e-10
cross_dispersion,0.01921101844437601,0.01921101844437601,1.6674092441775617e-10
d2_close_ext_2,-0.018853474963616317,0.018853474963616317,3.638271986113103e-10
range_x_vol_20,0.018550780514609382,0.018550780514609382,6.846606988759441e-10
d2_close_ext_4,-0.018284605661136526,0.018284605661136526,1.2154378400850344e-09
stoch_k_5,-0.018098766383267996,0.018098766383267996,1.7524041362728905e-09
price_accel_3,-0.01786956206188162,0.01786956206188162,2.8345964414793844e-09
d2_close_3,-0.01786956206188162,0.01786956206188162,2.8345964414793844e-09
curvature_3,-0.017869552234976042,0.017869552234976042,2.8346529491953423e-09
rel_strength_1,-0.01786663782825959,0.01786663782825959,2.8212377219645658e-09
sin_hour,0.0178193709646863,0.0178193709646863,3.098321135087304e-09
atr_pct_10,0.01773087571269865,0.01773087571269865,3.704701036983394e-09
atr_ratio_10_50,0.01773087571269865,0.01773087571269865,3.704701036983394e-09
momentum_1,-0.017611848554662312,0.017611848554662312,4.7150136191955315e-09
strength_vs_market_60,-0.01738316384435724,0.01738316384435724,8.372411905736146e-09
strength_vs_market_30,-0.017362369975316698,0.017362369975316698,8.20944369807512e-09
stoch_k_14_change_3,-0.017212038783316817,0.017212038783316817,1.0391627704488247e-08
atr_ratio_5_50,0.017176722689802193,0.017176722689802193,1.1130194268438125e-08
atr_pct_5,0.017176722689802193,0.017176722689802193,1.1130194268438125e-08
ret_5_lag_3,0.0170473347739303,0.0170473347739303,1.4467664114699156e-08
market_ret_5,0.017022897612211225,0.017022897612211225,1.5016512552160596e-08
low_vol_regime,0.016965730988663413,0.016965730988663413,1.6773508157652145e-08
rel_strength_5,-0.016961607941716143,0.016961607941716143,1.6910178931885602e-08
volatility_60,0.016942817728951266,0.016942817728951266,1.7599942994299598e-08
market_ret,0.016884728157374115,0.016884728157374115,1.9608927730957395e-08
momentum_accel_3,-0.016800344630341472,0.016800344630341472,2.331923372897808e-08
rel_strength_20,-0.01658661513571867,0.01658661513571867,3.463424384588924e-08
strength_vs_market_20,-0.016515773443341535,0.016515773443341535,4.105919436414742e-08
market_ret_20,0.016496039850871017,0.016496039850871017,4.108317212155848e-08
atr_pct_14,0.016468720549853984,0.016468720549853984,4.324888354637546e-08
up_ratio,-0.016426379011078147,0.016426379011078147,4.682579789108092e-08
atr_pct_20,0.016234592049502398,0.016234592049502398,6.695016971256592e-08
vol_ratio_tf_5_50,0.016156750482198397,0.016156750482198397,7.75894209787026e-08
volatility_5,0.01615675045386635,0.01615675045386635,7.758942503455844e-08
atr_pct_30,0.016103322341510254,0.016103322341510254,8.531684162272121e-08
open_position,0.01601790058054414,0.01601790058054414,9.979624842804998e-08
regime_vol_10,0.01583292826140247,0.01583292826140247,1.4022657019626715e-07
vol_ratio_tf_10_50,0.015802968661105945,0.015802968661105945,1.4803454447971288e-07
volatility_10,0.015802968661105945,0.015802968661105945,1.4803454447971288e-07
d2_close_5,-0.015756172820897352,0.015756172820897352,1.6324334797258797e-07
price_accel_5,-0.015756172820897352,0.015756172820897352,1.6324334797258797e-07
curvature_5,-0.01575615698145319,0.01575615698145319,1.63248003224634e-07
market_ret_10,0.015741220295326815,0.015741220295326815,1.6492496613932428e-07
rel_strength_10,-0.015676184913868567,0.015676184913868567,1.8539852299061693e-07
price_vs_ma_5,-0.015542475344115654,0.015542475344115654,2.3539736752995364e-07
