month,trades,total_pnl,avg_pnl,avg_return,equity,win_rate
2023-08,1283,49870.3902,38.8701,0.004,59870.3902,0.583
2023-09,380,-9380.9977,-24.6868,-0.0018,50489.3924,0.439
2023-10,1481,-6351.7838,-4.2888,-0.0003,44137.6087,0.49
2023-11,1341,-18053.8097,-13.4629,-0.0013,26083.7989,0.423
2023-12,1305,426268.7123,326.6427,0.0087,452352.5112,0.568
2024-01,1366,795503.9293,582.3601,0.003,1247856.4406,0.594
2024-02,2487,398749.4331,160.3335,0.0005,1646605.8737,0.482
2024-03,1011,56029.7708,55.4201,0.0002,1702635.6445,0.453
2024-04,1041,1575202.0838,1513.1624,0.0025,3277837.7283,0.548
2024-05,789,4653495.3823,5897.9663,0.006,7931333.1106,0.678
2024-06,293,584990.2203,1996.5537,0.002,8516323.3309,0.536
2024-07,832,255205.5627,306.7375,0.0003,8771528.8936,0.475
2024-08,2231,-2457887.4085,-1101.6976,-0.0011,6313641.4851,0.453
2024-09,363,252172.2528,694.6894,0.0007,6565813.7379,0.512
2024-10,717,-2209622.273,-3081.7605,-0.0031,4356191.4649,0.438
2024-11,1323,-3330373.9204,-2517.2894,-0.0043,1025817.5445,0.419
2024-12,1076,806671.1093,749.6943,0.0022,1832488.6538,0.561
2025-01,2407,-343227.2244,-142.5954,-0.0003,1489261.4294,0.512
2025-02,2844,5499170.5093,1933.6043,0.0025,6988431.9387,0.545
2025-03,2590,-3423542.4645,-1321.8311,-0.0013,3564889.4742,0.461
2025-04,7766,-3533587.2998,-455.0074,-0.0024,31302.1744,0.482
2025-05,1117,4923.8748,4.4081,0.0005,36226.0492,0.499
2025-06,356,2276.699,6.3952,0.0007,38502.7482,0.514
2025-07,684,-9142.8123,-13.3667,-0.0013,29359.936,0.477
2025-08,541,2668.9504,4.9334,0.0005,32028.8863,0.534
2025-09,70,1219.7527,17.425,0.0017,33248.639,0.571
