hold_bars,threshold,position_pct,trades,pnl,win_rate
10,0.4,0.2,646,1665.4703542,0.5030959752321982
15,0.4,0.2,642,1631.0293104499974,0.5124610591900312
10,0.4,0.15,646,1128.1776137999996,0.5
15,0.4,0.15,642,1107.2328756499992,0.5124610591900312
15,0.5,0.2,374,911.3340713999987,0.5
7,0.4,0.2,646,867.0671410999977,0.47523219814241485
5,0.4,0.2,648,695.8695038500011,0.5
10,0.5,0.2,378,678.5542267999991,0.49206349206349204
5,0.5,0.2,379,670.1244249000005,0.5065963060686016
15,0.5,0.15,374,608.4526242999999,0.5
10,0.4,0.1,646,569.6223770499997,0.4953560371517028
7,0.4,0.15,646,547.6522272999991,0.47058823529411764
15,0.4,0.1,642,538.0095632999994,0.5046728971962616
5,0.5,0.15,379,446.88797595000034,0.503957783641161
10,0.5,0.15,378,435.5821783,0.4894179894179894
5,0.4,0.15,648,434.24894075000094,0.49691358024691357
7,0.5,0.2,378,357.0113121500001,0.48148148148148145
15,0.5,0.1,374,320.28198314999986,0.4919786096256685
15,0.6,0.2,230,314.2243284499985,0.49130434782608695
7,0.5,0.15,378,228.2272051999998,0.48148148148148145
5,0.5,0.1,379,197.02217105000076,0.49604221635883905
15,0.6,0.15,230,195.89022594999898,0.49130434782608695
7,0.4,0.1,646,190.51937354999913,0.46439628482972134
10,0.5,0.1,378,190.38395974999978,0.48412698412698413
5,0.6,0.2,233,163.70399235000028,0.48068669527896996
5,0.4,0.1,648,101.84007595000094,0.4861111111111111
5,0.6,0.15,233,95.04064050000014,0.47639484978540775
15,0.6,0.1,230,81.54945919999969,0.4826086956521739
10,0.6,0.2,233,79.89325750000026,0.463519313304721
15,0.4,0.05,634,67.56308714999957,0.4810725552050473
10,0.4,0.05,638,64.51590675000003,0.48589341692789967
7,0.5,0.1,378,49.16499719999993,0.47354497354497355
15,0.5,0.05,371,38.09029280000015,0.46630727762803237
10,0.6,0.15,233,22.198268099999737,0.4592274678111588
5,0.6,0.1,233,17.109998850000338,0.4721030042918455
15,0.6,0.05,228,-25.062878800000178,0.4649122807017544
5,0.5,0.05,376,-31.12679969999968,0.48138297872340424
10,0.6,0.1,233,-32.244661349999916,0.45493562231759654
10,0.5,0.05,375,-35.98240469999996,0.472
5,0.6,0.05,231,-70.56852129999982,0.46320346320346323
10,0.6,0.05,231,-97.77378129999974,0.4458874458874459
7,0.5,0.05,375,-106.55654764999997,0.456
7,0.4,0.05,638,-123.75310030000045,0.45454545454545453
7,0.6,0.15,233,-132.7115805499994,0.44635193133047213
7,0.6,0.2,233,-137.49176989999918,0.44635193133047213
7,0.6,0.1,233,-143.11365189999935,0.43776824034334766
7,0.6,0.05,231,-151.83757364999983,0.42857142857142855
5,0.4,0.05,640,-167.74856514999976,0.4640625
3,0.6,0.05,231,-224.97356405000033,0.4199134199134199
3,0.6,0.1,233,-297.8582510500008,0.45064377682403434
3,0.5,0.05,376,-320.3511710500002,0.43351063829787234
3,0.4,0.15,648,-386.98786110000196,0.4737654320987654
3,0.4,0.2,648,-387.3391665000029,0.4783950617283951
3,0.4,0.1,648,-399.5439262000009,0.4675925925925926
3,0.6,0.15,233,-400.3376627500013,0.45064377682403434
3,0.5,0.1,379,-401.9771306500004,0.46965699208443273
3,0.4,0.05,640,-410.41637085000076,0.434375
3,0.6,0.2,233,-480.8604081500017,0.4592274678111588
3,0.5,0.15,379,-497.95537060000146,0.46965699208443273
3,0.5,0.2,379,-588.7996893000019,0.47493403693931396
