hold_bars,threshold,position_pct,trades,pnl,sharpe
10,0.6,0.2,249,53.490893899996216,0.22192117904308012
10,0.4,0.2,528,25.644685199998776,0.05312651799102075
15,0.4,0.2,522,12.719046749994561,0.02290978524055036
10,0.6,0.15,249,-13.96672270000283,-0.07720953055267231
10,0.4,0.15,528,-47.2690700000005,-0.13340619219072927
15,0.4,0.15,522,-60.4970423000039,-0.14638923407482637
10,0.4,0.1,528,-125.20739700000016,-0.5403154629007126
10,0.6,0.1,249,-71.70399475000161,-0.5959095826960537
15,0.4,0.1,522,-191.38349285000237,-0.7246243478040325
15,0.6,0.2,244,-408.98710210000354,-1.3697530937201892
15,0.6,0.15,244,-332.94257210000256,-1.4776191869492645
7,0.4,0.2,529,-528.4239698500057,-1.595577509576262
10,0.6,0.05,232,-101.87313785000075,-1.7211758648348436
15,0.6,0.1,244,-282.38768905000177,-1.8863324340905794
15,0.4,0.05,502,-247.22984120000092,-1.9650018303287344
7,0.4,0.15,529,-491.03332230000433,-1.965149949563631
10,0.5,0.2,379,-686.1263428500013,-2.1271350844174406
7,0.6,0.2,250,-370.4876413500053,-2.175525912810851
10,0.4,0.05,508,-231.50969215,-2.184582802100019
10,0.5,0.15,379,-568.255433150001,-2.3578125649667214
7,0.6,0.15,250,-315.42205245000406,-2.429102800669714
7,0.4,0.1,529,-438.9282106000028,-2.676044642786589
5,0.6,0.2,250,-436.8056076500029,-2.815640584179523
15,0.6,0.05,227,-213.9902159000007,-2.8582176520557687
10,0.5,0.1,379,-465.4197078500003,-2.90747988285624
15,0.5,0.2,373,-1080.9256540000047,-2.9486004130484846
5,0.6,0.15,250,-368.0938950500021,-3.0919107903227676
15,0.5,0.15,373,-866.8393720000037,-3.1090568432143173
7,0.6,0.1,250,-277.1734357000025,-3.1330338110048017
5,0.4,0.2,530,-943.8209976000051,-3.2455046467583037
7,0.5,0.2,380,-867.2484448000062,-3.362555196815198
5,0.4,0.15,530,-777.1671846000038,-3.534763958223068
7,0.5,0.15,380,-693.7948039500044,-3.594608739738555
15,0.5,0.1,373,-678.8290954000022,-3.6176924719876236
5,0.6,0.1,250,-310.82958060000135,-3.774450861624905
5,0.5,0.2,381,-845.3730014000045,-3.985733006292909
7,0.5,0.1,380,-551.1501088500029,-4.209165050315326
5,0.5,0.15,381,-686.0738528500034,-4.256417402060026
10,0.5,0.05,362,-337.6411020000001,-4.3674663434015235
5,0.4,0.1,530,-643.3839913000023,-4.391881598700561
7,0.6,0.05,233,-206.1138610500012,-4.586696075629603
15,0.5,0.05,356,-437.9357960500009,-4.670198224108436
7,0.4,0.05,508,-375.6122702000012,-4.687346957343442
5,0.5,0.1,381,-547.3448548500023,-5.032356548925544
5,0.6,0.05,233,-227.71494885000055,-5.383678918300315
3,0.6,0.2,250,-721.6231371000036,-5.590645695977445
3,0.6,0.15,250,-581.3939789000027,-5.829424658594061
7,0.5,0.05,363,-382.06763605000134,-5.832039470116462
3,0.4,0.2,530,-1294.5107941500034,-5.971548154195865
3,0.5,0.2,381,-1017.8709522500051,-6.2825199692483915
3,0.4,0.15,530,-1049.8964968000025,-6.284835529003468
5,0.4,0.05,509,-486.4084453000011,-6.399609466762751
3,0.5,0.15,381,-816.0966300500037,-6.543743928487156
3,0.6,0.1,250,-456.1371027500018,-6.547734069395905
5,0.5,0.05,364,-388.27611390000095,-6.9317102716887975
3,0.4,0.1,530,-817.3769419500017,-7.143296287923562
3,0.5,0.1,381,-640.7782726000024,-7.375486658974803
3,0.6,0.05,233,-299.9149813000008,-8.046928603730144
3,0.4,0.05,509,-575.5965572500007,-8.966626381104572
3,0.5,0.05,364,-439.4774128500011,-9.567916786276715
