hold_bars,threshold,position_pct,trades,pnl,win_rate,long_pnl,short_pnl
5,0.005,0.2,87,566.1398769499989,0.5402298850574713,120.8032998,445.33657714999896
5,0.005,0.1,87,249.57098089999963,0.5172413793103449,53.88303594999999,195.68794494999952
5,0.01,0.1,0,0.0,0.0,0.0,0.0
5,0.01,0.2,0,0.0,0.0,0.0,0.0
5,0.015,0.1,0,0.0,0.0,0.0,0.0
5,0.015,0.2,0,0.0,0.0,0.0,0.0
10,0.01,0.2,0,0.0,0.0,0.0,0.0
10,0.01,0.1,0,0.0,0.0,0.0,0.0
10,0.015,0.2,0,0.0,0.0,0.0,0.0
10,0.015,0.1,0,0.0,0.0,0.0,0.0
15,0.015,0.1,0,0.0,0.0,0.0,0.0
15,0.015,0.2,0,0.0,0.0,0.0,0.0
15,0.01,0.2,0,0.0,0.0,0.0,0.0
15,0.01,0.1,0,0.0,0.0,0.0,0.0
10,0.005,0.1,87,-98.4005288999999,0.45977011494252873,-80.14061290000018,-18.259915999999723
10,0.005,0.2,87,-135.04711969999997,0.45977011494252873,-149.23697215000038,14.189852450000465
15,0.005,0.1,84,-251.98322420000054,0.4523809523809524,-61.975810600000166,-190.00741360000055
15,0.005,0.2,84,-447.8196582500018,0.4523809523809524,-110.68636160000028,-337.1332966500011
