feature,mi
is_last_30min,0.04100064628191691
sma_200,0.023705079091867698
ema_200,0.02360448685902128
sma_100,0.022684312275613516
ema_100,0.02203021132820493
ema_50,0.020152166277048633
sma_50,0.019320265572458584
vwap_50,0.019017907295452385
bb_upper_30,0.018671076205495574
bb_lower_30,0.018585801298492965
ema_30,0.01849336793231582
bb_upper_20,0.01818511408909551
sma_30,0.01783404024419366
bb_lower_20,0.017477012614565912
ema_20,0.0170342627251312
sma_20,0.01696027231703523
ema_15,0.016883887582048174
vwap_20,0.016827033724417406
sma_15,0.01637318688739109
bb_upper_10,0.015943498320647675
ema_10,0.01554935805804325
bb_lower_10,0.015548375111487878
time_to_close,0.015298386264220531
sma_10,0.015285996460074891
time_since_open,0.01528216826417994
vwap_10,0.014909517059292443
sma_5,0.013706153092929774
ema_5,0.013606769348113001
obv_ema_10,0.009244653075554665
liquidity_grab_high,0.00736694825007056
volatility_30,0.00688343112349088
volatility_50,0.006566004180551754
liquidity_grab_low,0.0065514386112620615
atr_pct_7,0.006420053001816695
volatility_15,0.006379028951131516
volatility_20,0.006351246436489211
atr_pct_14,0.006344653645470766
atr_pct_21,0.006296082908931355
range_pct,0.006201866760853325
obv,0.006188268689062082
atr_pct_30,0.006146475721635292
volatility_10,0.005967557782960542
volatility_5,0.004997096307646665
volume_momentum_50,0.004678001606066018
bb_width_10,0.004649567521434972
bb_width_20,0.004491544757040278
volume_std_50,0.004482386260729387
atr_7,0.0043174369292915404
atr_30,0.0043116761880178656
atr_21,0.004260060191793369
volume_ma_10,0.00416240485576902
atr_14,0.0040728227568543884
lower_wick,0.004019963530304982
upper_wick,0.0039109512328430185
bb_width_30,0.0038969381857256735
volume_ma_5,0.0038252635385435108
volume_ma_15,0.003800481917751841
volatility_returns,0.003780503766932175
roc_10,0.003634756693921437
log_returns_10,0.0036333713186316174
volume_std_30,0.0036302414977615882
dist_to_resistance_20,0.0036220707133657326
returns_10,0.003615360364315534
volume_ratio_50,0.003535834514367009
volume_price_ratio,0.0035220835099709635
volatility_diff_5_20,0.0034651576539077578
price_to_ema_20,0.003387247164146512
body_pct,0.0033697181839412726
volume_std_20,0.0032860557876075447
price_to_sma_30,0.00328030206219021
price_to_ema_50,0.003234559176656049
volume_std_15,0.0032126182335907583
price_to_sma_10,0.003169792184541498
log_returns_5,0.0031490816407928612
price_to_sma_50,0.0031434197675388464
volume_std_10,0.003139351209485497
volume_momentum_30,0.0031327677159984635
roc_5,0.0031291518706163535
volume_ma_20,0.0031036660311166697
returns_5,0.0030973924237326367
sma_cross_5_10,0.0030581102466991084
price_to_ema_30,0.003053362775544688
volatility_ratio_50,0.0030473706695726133
returns,0.0030370498883907082
log_returns,0.003031576322264473
dist_to_resistance_50,0.0030314971542626523
volume_std_5,0.003021413319881372
price_to_sma_5,0.003020810400258478
returns_30,0.002977388751786103
returns_volume,0.002976658850248448
price_to_ema_5,0.0029763648233733786
log_returns_30,0.002963019559646063
ema_cross_10_20,0.0029617855194259413
roc_20,0.0029614287199153377
log_returns_15,0.0029542087011008578
log_returns_20,0.0029539338538608906
dist_to_support_20,0.0029506611565098817
returns_15,0.0029458707518638105
returns_20,0.002945666631162025
log_returns_3,0.0029283106721742502
volume_ma_30,0.002914740281518946
returns_3,0.0029029690103890005
price_to_sma_15,0.0028158629111721956
range_volume_ratio,0.0028153686731751115
price_to_sma_20,0.0028081944479945165
price_to_ema_15,0.002802323446415955
distance_from_vwap_10,0.002761056318077104
ema_cross_5_10,0.0027592445291853007
price_to_ema_100,0.0027567882303447533
price_to_ema_200,0.0027385242302925272
price_to_sma_100,0.002735997217307773
sma_cross_20_50,0.0026753199411051476
macd_5_15,0.0026658487092747762
price_to_ema_10,0.002626629290305438
returns_50,0.002611847975679704
acceleration_10,0.0026109197714772048
roc_50,0.002610765249065783
log_returns_50,0.002606527614344767
rsi_momentum,0.002601671016188245
ema_cross_20_50,0.0025545532808070037
volume_ma_50,0.0025398443460351583
volatility_ratio_30,0.0025184304658689705
sma_cross_10_20,0.002474362696395338
acceleration_20,0.002434998683102485
volatility_ratio_15,0.0024090432147704233
buying_pressure,0.0023804526077007004
acceleration_5,0.0023800252676574596
