threshold,atr_mult,hours,hour_count,trades,win_rate,pnl,symbols,long_trades,short_trades
0.3,1.0,"[13, 14, 15]",3,329,39.81762917933131,-19198.87306290009,70,181,148
0.3,1.0,"[9, 10, 11, 12, 13, 14, 15]",7,329,39.81762917933131,-19198.87306290009,70,181,148
0.3,1.2,"[13, 14, 15]",3,195,45.64102564102564,-8272.835858599961,51,95,100
0.3,1.2,"[9, 10, 11, 12, 13, 14, 15]",7,195,45.64102564102564,-8272.835858599961,51,95,100
0.3,1.5,"[13, 14, 15]",3,112,41.964285714285715,-7666.659109200123,36,53,59
0.3,1.5,"[9, 10, 11, 12, 13, 14, 15]",7,112,41.964285714285715,-7666.659109200123,36,53,59
0.35,1.0,"[13, 14, 15]",3,197,37.56345177664975,-13990.797221500065,54,109,88
0.35,1.0,"[9, 10, 11, 12, 13, 14, 15]",7,197,37.56345177664975,-13990.797221500065,54,109,88
0.35,1.2,"[13, 14, 15]",3,138,44.927536231884055,-6342.438481800025,45,72,66
0.35,1.2,"[9, 10, 11, 12, 13, 14, 15]",7,138,44.927536231884055,-6342.438481800025,45,72,66
0.35,1.5,"[13, 14, 15]",3,83,37.34939759036144,-6224.437639350133,28,41,42
0.35,1.5,"[9, 10, 11, 12, 13, 14, 15]",7,83,37.34939759036144,-6224.437639350133,28,41,42
0.4,1.0,"[13, 14, 15]",3,107,39.25233644859813,-6934.068453500089,35,57,50
0.4,1.0,"[9, 10, 11, 12, 13, 14, 15]",7,107,39.25233644859813,-6934.068453500089,35,57,50
0.4,1.2,"[13, 14, 15]",3,96,41.66666666666667,-6448.714336550072,30,47,49
0.4,1.2,"[9, 10, 11, 12, 13, 14, 15]",7,96,41.66666666666667,-6448.714336550072,30,47,49
0.4,1.5,"[13, 14, 15]",3,65,41.53846153846154,-3508.252976150076,25,32,33
0.4,1.5,"[9, 10, 11, 12, 13, 14, 15]",7,65,41.53846153846154,-3508.252976150076,25,32,33
0.45,1.0,"[13, 14, 15]",3,60,38.333333333333336,-3643.587463900106,26,36,24
0.45,1.0,"[9, 10, 11, 12, 13, 14, 15]",7,60,38.333333333333336,-3643.587463900106,26,36,24
0.45,1.2,"[13, 14, 15]",3,64,43.75,-2261.7209269500763,23,34,30
0.45,1.2,"[9, 10, 11, 12, 13, 14, 15]",7,64,43.75,-2261.7209269500763,23,34,30
0.45,1.5,"[13, 14, 15]",3,49,46.93877551020408,-2107.6408635501098,20,24,25
0.45,1.5,"[9, 10, 11, 12, 13, 14, 15]",7,49,46.93877551020408,-2107.6408635501098,20,24,25
