feature1,feature2,correlation
returns,log_returns,1.0
returns,returns_volume,0.9794569894969504
log_returns,returns_volume,0.9794569894969504
returns_3,log_returns_3,1.0
returns_3,price_to_sma_5,0.9237189031879073
log_returns_3,price_to_sma_5,0.9237189031879073
returns_5,log_returns_5,1.0
returns_5,roc_5,1.0
returns_5,momentum_5,0.9718541093738237
log_returns_5,roc_5,1.0
log_returns_5,momentum_5,0.9718541093738237
returns_10,log_returns_10,1.0
returns_10,price_to_sma_15,0.9187899873680385
returns_10,ema_cross_5_10,0.9057715129175375
returns_10,roc_10,1.0
returns_10,momentum_10,0.9717159527023759
log_returns_10,price_to_sma_15,0.9187899873680385
log_returns_10,ema_cross_5_10,0.9057715129175375
log_returns_10,roc_10,1.0
log_returns_10,momentum_10,0.9717159527023759
returns_15,log_returns_15,1.0
returns_15,price_to_sma_20,0.9101507262507844
returns_15,rsi_14,0.9069658735009234
returns_15,rsi_14_rank,0.908900382633038
log_returns_15,price_to_sma_20,0.9101507262507844
log_returns_15,rsi_14,0.9069658735009234
log_returns_15,rsi_14_rank,0.908900382633038
returns_20,log_returns_20,1.0
returns_20,price_to_sma_30,0.91643134826818
returns_20,rsi_21,0.9237461099746979
returns_20,roc_20,1.0
returns_20,momentum_20,0.9723190492883269
returns_20,rsi_momentum,0.9902234762732138
returns_20,adx_returns,0.964085643942391
returns_20,returns_20_rank,0.9803973096978813
log_returns_20,price_to_sma_30,0.91643134826818
log_returns_20,rsi_21,0.9237461099746979
log_returns_20,roc_20,1.0
log_returns_20,momentum_20,0.9723190492883269
log_returns_20,rsi_momentum,0.9902234762732138
log_returns_20,adx_returns,0.964085643942391
log_returns_20,returns_20_rank,0.9803973096978813
returns_30,log_returns_30,1.0
returns_30,price_to_sma_50,0.9077530484123474
returns_30,rsi_30,0.9562327434438149
log_returns_30,price_to_sma_50,0.9077530484123474
log_returns_30,rsi_30,0.9562327434438149
returns_50,log_returns_50,1.0
returns_50,roc_50,1.0
returns_50,momentum_50,0.9730809902983532
log_returns_50,roc_50,1.0
log_returns_50,momentum_50,0.9730809902983532
returns_100,log_returns_100,1.0
sma_5,ema_5,0.999998772156813
sma_5,sma_10,0.9999874836578272
sma_5,ema_10,0.99999262061367
sma_5,sma_15,0.9999689175420859
sma_5,ema_15,0.9999805117739278
sma_5,sma_20,0.9999496610072237
sma_5,ema_20,0.9999668984658806
sma_5,sma_30,0.999910487520951
sma_5,ema_30,0.9999384391793277
sma_5,sma_50,0.9998321596254166
sma_5,ema_50,0.9998804625227417
sma_5,sma_100,0.999643020354781
sma_5,ema_100,0.9997383746121643
sma_5,sma_200,0.9992894237441691
sma_5,ema_200,0.9994642815000552
sma_5,bb_upper_10,0.9999395803031008
sma_5,bb_lower_10,0.9999299283365829
sma_5,bb_upper_20,0.9998738974283636
sma_5,bb_lower_20,0.9998453910328103
sma_5,bb_upper_30,0.9998082774385679
sma_5,bb_lower_30,0.9997605700441246
sma_5,vwap_10,0.999990076438947
sma_5,vwap_20,0.9999644924602541
sma_5,vwap_50,0.9998877339887503
price_to_sma_5,price_to_ema_5,0.963407010533478
ema_5,sma_10,0.9999879591121564
ema_5,ema_10,0.9999936893952551
ema_5,sma_15,0.9999708014925324
ema_5,ema_15,0.999982142918411
ema_5,sma_20,0.9999521792488402
ema_5,ema_20,0.9999689514584358
ema_5,sma_30,0.999913519578613
ema_5,ema_30,0.9999409999627625
ema_5,sma_50,0.9998356651255147
ema_5,ema_50,0.9998834868160005
ema_5,sma_100,0.9996468029617531
ema_5,ema_100,0.9997418461044629
ema_5,sma_200,0.9992931419862179
ema_5,ema_200,0.9994678992807952
ema_5,bb_upper_10,0.9999400443959953
ema_5,bb_lower_10,0.9999306719854376
ema_5,bb_upper_20,0.9998760023402213
ema_5,bb_lower_20,0.9998478386720058
ema_5,bb_upper_30,0.9998107963154341
ema_5,bb_lower_30,0.9997635172879493
ema_5,vwap_10,0.999991179975917
ema_5,vwap_20,0.9999671061718827
ema_5,vwap_50,0.9998910837865026
price_to_ema_5,price_to_sma_10,0.9083453232522473
price_to_ema_5,price_to_ema_10,0.9174761437450991
price_to_ema_5,distance_from_vwap_10,0.9025402596124705
sma_10,ema_10,0.9999976274076406
sma_10,sma_15,0.9999915834536353
sma_10,ema_15,0.9999946118734313
sma_10,sma_20,0.9999764013176059
sma_10,ema_20,0.9999861092644092
sma_10,sma_30,0.9999412129130683
sma_10,ema_30,0.9999631368130713
sma_10,sma_50,0.9998658919724449
sma_10,ema_50,0.9999098685894049
sma_10,sma_100,0.9996786842563955
sma_10,ema_100,0.9997717521688346
sma_10,sma_200,0.9993244822873428
sma_10,ema_200,0.9994989593077761
sma_10,bb_upper_10,0.9999450393756764
sma_10,bb_lower_10,0.9999455127638203
sma_10,bb_upper_20,0.999893023998693
sma_10,bb_lower_20,0.9998725515081296
sma_10,bb_upper_30,0.9998316995659624
sma_10,bb_lower_30,0.9997919209211971
sma_10,vwap_10,0.9999960668349205
sma_10,vwap_20,0.9999825770259801
sma_10,vwap_50,0.9999134561724188
price_to_sma_10,price_to_ema_10,0.9692640141018584
price_to_sma_10,price_to_sma_15,0.9231911510537365
price_to_sma_10,price_to_ema_15,0.9109797802579968
price_to_sma_10,bb_position_10,0.9276116298048962
price_to_sma_10,distance_from_vwap_10,0.9876844976384264
price_to_sma_10,price_position_10,0.911575421186866
ema_10,sma_15,0.9999903122702701
ema_10,ema_15,0.9999963337191342
ema_10,sma_20,0.9999774478191766
ema_10,ema_20,0.999988230296843
ema_10,sma_30,0.9999448502569397
ema_10,ema_30,0.9999663409346514
ema_10,sma_50,0.9998714970339997
ema_10,ema_50,0.9999144430564794
ema_10,sma_100,0.9996854814795264
ema_10,ema_100,0.9997776216258247
ema_10,sma_200,0.9993317152709554
