signal_timestamp,entry_timestamp,exit_timestamp,symbol,side,shares,entry_price,exit_price,gross_pnl,fee,spread,net_pnl,hour
2025-06-02 13:31:00,2025-06-02 13:32:00,2025-06-02 13:37:00,CNC,SHORT,1634,55.355,54.73,1021.25,11.438,45.225035,964.586965,13
2025-06-02 13:32:00,2025-06-02 13:33:00,2025-06-02 13:38:00,CNC,LONG,1297,55.17,54.65,-674.440000000004,9.079,35.777745,-719.296745000004,13
2025-06-02 14:51:00,2025-06-02 14:52:00,2025-06-02 14:57:00,EQT,SHORT,1697,56.9549,56.875,135.59030000000354,11.879,48.32623265000001,75.38506735000352,14
2025-06-02 15:00:00,2025-06-02 15:01:00,2025-06-02 15:06:00,EQT,SHORT,2447,56.89,56.85,97.87999999999792,17.129,69.60491499999999,11.146084999997925,15
2025-06-02 15:01:00,2025-06-02 15:02:00,2025-06-02 15:07:00,EQT,SHORT,2463,56.84,56.83,24.6300000000126,17.241,69.99846000000001,-62.60945999998741,15
2025-06-02 15:02:00,2025-06-02 15:03:00,2025-06-02 15:08:00,EQT,SHORT,2377,56.83,56.76,166.39000000000067,16.639,67.542455,82.20854500000065,15
2025-06-02 15:11:00,2025-06-02 15:12:00,2025-06-02 15:17:00,EQT,SHORT,1859,56.96,57.095,-250.9649999999963,13.013,52.94432,-316.9223199999963,15
2025-06-02 13:33:00,2025-06-02 13:34:00,2025-06-02 13:39:00,TRGP,LONG,405,161.55,161.02,-214.65000000000046,2.835,32.713875,-250.19887500000047,13
2025-06-05 14:21:00,2025-06-05 14:22:00,2025-06-05 14:27:00,TSLA,SHORT,24,318.655,317.15,36.11999999999989,0.7,3.82386,31.596139999999888,14
2025-06-05 14:22:00,2025-06-05 14:23:00,2025-06-05 14:28:00,TSLA,SHORT,25,318.3635,317.1527,30.270000000000152,0.7,3.97954375,25.590456250000152,14
2025-06-06 13:30:00,2025-06-06 13:31:00,2025-06-06 13:36:00,LULU,LONG,71,274.1905,272.54,-117.18549999999755,0.7,9.73376275,-127.61926274999755,13
2025-06-06 14:03:00,2025-06-06 14:04:00,2025-06-06 14:09:00,SYF,SHORT,2334,58.48,58.6,-280.0800000000106,16.338,68.24616,-364.6641600000106,14
2025-06-06 14:04:00,2025-06-06 14:05:00,2025-06-06 14:10:00,SYF,SHORT,2709,58.44,58.49,-135.45000000001156,18.963,79.15698,-233.56998000001155,14
2025-06-06 14:06:00,2025-06-06 14:07:00,2025-06-06 14:12:00,SYF,SHORT,2860,58.495,58.5,-14.300000000007316,20.02,83.64784999999999,-117.9678500000073,14
