trade_id,date,entry_time,exit_time,direction,signal_type,entry_price,exit_price,vwap_price,quantity,rvol,pnl,pnl_percentage,duration_minutes,result,vwap_deviation
1,2024-02-01,09:55,10:05,LONG,Price Below VWAP,188.08,190.82,190.72,100,2.18,274.53,13.73,10,WIN,-0.17
2,2024-02-07,14:15,14:48,SHORT,Price Above VWAP,191.21,183.84,183.88,100,2.18,737.06,36.85,33,WIN,-2.84
3,2024-02-08,09:15,09:25,LONG,Price Below VWAP,185.32,186.2,185.93,100,1.76,88.35,4.42,10,WIN,-0.44
4,2024-02-08,11:25,12:04,LONG,Price Below VWAP,185.86,186.16,186.08,100,1.25,30.38,1.52,39,WIN,-0.36
5,2024-02-09,09:45,09:54,LONG,Price Below VWAP,184.5,182.12,186.97,100,1.09,-237.84,-11.89,9,LOSS,-0.57
6,2024-02-09,10:25,10:54,LONG,Price Below VWAP,183.93,181.34,189.44,100,1.56,-259.13,-12.96,29,LOSS,0.75
7,2024-02-12,11:15,11:58,LONG,Price Below VWAP,183.66,185.35,185.05,100,2.27,169.61,8.48,43,WIN,-0.7
8,2024-02-13,10:15,10:55,LONG,Price Below VWAP,184.01,181.08,183.96,100,1.44,-293.16,-14.66,40,LOSS,-0.84
9,2024-02-14,09:15,09:56,LONG,Price Below VWAP,188.11,191.46,191.07,100,2.75,334.71,16.74,41,WIN,1.18
10,2024-02-15,15:35,15:56,LONG,Price Below VWAP,189.11,192.58,192.26,100,1.28,347.28,17.36,21,WIN,1.34
11,2024-02-16,14:25,14:38,LONG,Price Below VWAP,188.81,190.01,190.03,100,2.02,119.78,5.99,13,WIN,-0.03
12,2024-02-23,15:35,16:09,LONG,Price Below VWAP,188.46,197.59,197.45,100,2.06,913.06,45.65,34,WIN,3.94
13,2024-02-26,09:55,10:07,LONG,Price Below VWAP,187.99,188.24,188.07,100,1.59,25.13,1.26,12,WIN,-0.42
14,2024-02-26,10:35,11:12,LONG,Price Below VWAP,185.07,193.08,192.88,100,2.52,800.49,40.02,37,WIN,2.13
15,2024-02-27,09:55,10:34,LONG,Price Below VWAP,188.03,190.68,190.4,100,2.91,265.76,13.29,39,WIN,-0.64
16,2024-02-28,09:45,10:09,LONG,Price Below VWAP,187.06,184.09,193.19,100,1.48,-297.17,-14.86,24,LOSS,2.08
17,2024-02-28,10:45,10:58,LONG,Price Below VWAP,187.11,190.72,190.39,100,1.26,361.16,18.06,13,WIN,0.6
18,2024-02-29,14:15,14:33,LONG,Price Below VWAP,187.88,192.4,192.01,100,2.86,451.37,22.57,18,WIN,1.07
