date,equity,daily_return,cumulative_return
2024-01-02,100270.03,0.27,0.27
2024-01-08,100995.37,0.0,1.0
2024-01-09,101114.43,0.0,1.11
2024-01-10,100617.42,0.0,0.62
2024-01-11,100789.06,0.0,0.79
2024-01-12,100490.54,0.0,0.49
2024-01-16,100827.51,0.0,0.83
2024-01-17,101177.28,0.0,1.18
2024-01-18,101298.09,0.0,1.3
2024-01-24,102228.07,0.0,2.23
2024-01-25,103065.8,0.0,3.07
2024-01-26,103329.7,0.0,3.33
2024-01-29,103394.24,0.0,3.39
2024-01-30,103852.53,0.0,3.85
2024-01-31,103927.17,0.0,3.93
2024-02-02,104632.49,0.0,4.63
2024-02-07,104924.3,0.0,4.92
2024-02-08,105858.99,0.0,5.86
2024-02-09,106217.04,0.0,6.22
2024-02-12,105847.93,0.0,5.85
2024-02-13,105518.81,0.0,5.52
2024-02-14,105374.2,0.0,5.37
2024-02-20,105456.86,0.0,5.46
2024-02-21,105908.86,0.0,5.91
2024-02-23,106170.04,0.0,6.17
2024-02-26,106650.25,0.0,6.65
2024-02-27,107055.21,0.0,7.06
2024-02-29,106846.14,0.0,6.85
2024-03-01,107279.2,0.0,7.28
2024-03-04,107798.49,0.0,7.8
2024-03-05,107283.21,0.0,7.28
2024-03-07,106856.46,0.0,6.86
2024-03-11,106997.26,0.0,7.0
2024-03-12,107004.27,0.0,7.0
2024-03-13,106962.54,0.0,6.96
2024-03-14,107071.78,0.0,7.07
2024-03-15,107307.78,0.0,7.31
2024-03-19,107349.72,0.0,7.35
2024-03-20,107968.24,0.0,7.97
2024-03-22,107715.53,0.0,7.72
2024-03-25,107882.25,0.0,7.88
2024-03-26,107996.46,0.0,8.0
2024-04-03,108450.55,0.0,8.45
2024-04-04,108645.03,0.0,8.65
2024-04-05,109195.37,0.0,9.2
2024-04-08,109954.36,0.0,9.95
2024-04-09,110474.04,0.0,10.47
2024-04-10,110512.78,0.0,10.51
2024-04-12,110593.19,0.0,10.59
2024-04-15,111194.27,0.0,11.19
2024-04-16,111804.77,0.0,11.8
2024-04-19,111775.6,0.0,11.78
2024-04-22,111683.78,0.0,11.68
2024-04-23,111352.29,0.0,11.35
2024-04-24,111854.27,0.0,11.85
2024-04-25,112249.7,0.0,12.25
2024-04-29,112790.32,0.0,12.79
2024-04-30,113042.37,0.0,13.04
2024-05-02,112929.57,0.0,12.93
2024-05-03,113484.4,0.0,13.48
2024-05-06,113659.91,0.0,13.66
2024-05-08,114362.06,0.0,14.36
2024-05-09,114145.18,0.0,14.15
2024-05-10,114957.03,0.0,14.96
2024-05-13,115078.55,0.0,15.08
2024-05-14,114725.32,0.0,14.73
2024-05-20,115240.17,0.0,15.24
2024-05-23,115550.31,0.0,15.55
2024-05-29,116169.59,0.0,16.17
2024-05-30,116104.41,0.0,16.1
2024-05-31,116026.27,0.0,16.03
2024-06-03,116316.11,0.0,16.32
2024-06-05,116704.38,0.0,16.7
2024-06-06,116971.49,0.0,16.97
2024-06-07,117870.41,0.0,17.87
2024-06-10,118002.71,0.0,18.0
2024-06-11,117905.54,0.0,17.91
2024-06-12,117420.65,0.0,17.42
2024-06-13,117238.63,0.0,17.24
2024-06-14,117446.62,0.0,17.45
2024-06-17,116818.69,0.0,16.82
2024-06-18,117696.36,0.0,17.7
2024-06-24,118635.71,0.0,18.64
2024-06-26,119710.6,0.0,19.71
2024-06-28,118869.34,0.0,18.87
