trade_id,date,entry_time,exit_time,direction,signal_type,entry_price,exit_price,vwap_price,quantity,rvol,pnl,pnl_percentage,duration_minutes,result,vwap_deviation
1,2024-01-02,09:55,10:05,LONG,Price Below VWAP,185.0,187.7,187.6,100,2.18,270.03,13.5,10,WIN,-0.17
2,2024-01-08,14:15,14:48,SHORT,Price Above VWAP,188.17,180.91,180.96,100,2.18,725.34,36.27,33,WIN,-2.84
3,2024-01-09,09:15,09:25,LONG,Price Below VWAP,185.83,186.72,186.45,100,1.76,88.6,4.43,10,WIN,-0.44
4,2024-01-09,11:25,12:04,LONG,Price Below VWAP,186.37,186.68,186.59,100,1.25,30.46,1.52,39,WIN,-0.36
5,2024-01-10,09:45,09:54,LONG,Price Below VWAP,184.51,182.13,186.98,100,1.09,-237.86,-11.89,9,LOSS,-0.57
6,2024-01-10,10:25,10:54,LONG,Price Below VWAP,183.94,181.35,189.45,100,1.56,-259.15,-12.96,29,LOSS,0.75
7,2024-01-11,11:15,11:58,LONG,Price Below VWAP,185.86,187.57,187.26,100,2.27,171.64,8.58,43,WIN,-0.7
8,2024-01-12,10:15,10:55,LONG,Price Below VWAP,187.37,184.39,187.32,100,1.44,-298.52,-14.93,40,LOSS,-0.84
9,2024-01-16,09:15,09:56,LONG,Price Below VWAP,189.39,192.76,192.37,100,2.75,336.97,16.85,41,WIN,1.18
10,2024-01-17,15:35,15:56,LONG,Price Below VWAP,190.47,193.96,193.64,100,1.28,349.77,17.49,21,WIN,1.34
11,2024-01-18,14:25,14:38,LONG,Price Below VWAP,190.44,191.65,191.67,100,2.02,120.81,6.04,13,WIN,-0.03
12,2024-01-24,15:35,16:09,LONG,Price Below VWAP,191.95,201.25,201.11,100,2.06,929.98,46.5,34,WIN,3.94
13,2024-01-25,09:55,10:07,LONG,Price Below VWAP,190.75,191.0,190.82,100,1.59,25.5,1.28,12,WIN,-0.42
14,2024-01-25,10:35,11:12,LONG,Price Below VWAP,187.79,195.91,195.71,100,2.52,812.23,40.61,37,WIN,2.13
15,2024-01-26,09:55,10:34,LONG,Price Below VWAP,186.71,189.35,189.07,100,2.91,263.9,13.2,39,WIN,-0.64
16,2024-01-29,09:45,10:09,LONG,Price Below VWAP,188.67,185.68,194.86,100,1.48,-299.73,-14.99,24,LOSS,2.08
17,2024-01-29,10:45,10:58,LONG,Price Below VWAP,188.72,192.36,192.02,100,1.26,364.27,18.21,13,WIN,0.6
18,2024-01-30,14:15,14:33,LONG,Price Below VWAP,190.76,195.34,194.95,100,2.86,458.29,22.91,18,WIN,1.07
19,2024-01-31,15:15,15:48,LONG,Price Below VWAP,192.64,193.39,193.34,100,1.24,74.64,3.73,33,WIN,-0.35
20,2024-02-02,14:45,15:30,LONG,Price Below VWAP,189.34,196.4,196.13,100,1.12,705.32,35.27,45,WIN,2.3
21,2024-02-07,14:15,14:56,LONG,Price Below VWAP,185.91,188.82,188.67,100,1.95,291.81,14.59,41,WIN,-0.31
22,2024-02-08,13:15,13:46,SHORT,Price Above VWAP,190.13,180.78,181.04,100,1.93,934.69,46.73,31,WIN,-3.06
23,2024-02-09,15:55,16:15,LONG,Price Below VWAP,185.82,189.4,189.31,100,1.38,358.05,17.9,20,WIN,0.68
24,2024-02-12,10:35,10:44,LONG,Price Below VWAP,183.7,180.01,191.07,100,1.89,-369.11,-18.46,9,LOSS,2.53
25,2024-02-13,14:05,14:25,LONG,Price Below VWAP,182.19,177.42,195.58,100,1.33,-477.43,-23.87,20,LOSS,5.42
26,2024-02-13,13:35,14:04,LONG,Price Below VWAP,183.08,184.56,184.29,100,1.0,148.31,7.42,29,WIN,-0.66
27,2024-02-14,13:25,13:39,SHORT,Price Above VWAP,192.21,193.66,182.54,100,1.38,-144.61,-7.23,14,LOSS,-3.34
28,2024-02-20,09:55,10:33,LONG,Price Below VWAP,189.3,190.13,189.91,100,1.31,82.66,4.13,38,WIN,-0.82
29,2024-02-21,09:15,09:56,LONG,Price Below VWAP,185.64,184.67,189.0,100,1.49,-96.45,-4.82,41,LOSS,0.51
30,2024-02-21,14:05,14:43,LONG,Price Below VWAP,186.5,191.99,191.86,100,1.63,548.45,27.42,38,WIN,2.03
31,2024-02-23,11:15,11:24,LONG,Price Below VWAP,187.19,189.8,189.82,100,1.02,261.18,13.06,9,WIN,-0.08
32,2024-02-26,14:05,14:32,LONG,Price Below VWAP,186.0,190.8,190.58,100,2.76,480.21,24.01,27,WIN,0.92
33,2024-02-27,11:25,12:03,LONG,Price Below VWAP,187.81,194.59,194.61,100,1.02,677.57,33.88,38,WIN,1.56
34,2024-02-27,14:25,14:46,SHORT,Price Above VWAP,194.34,197.06,186.15,100,1.23,-272.61,-13.63,21,LOSS,-2.86
35,2024-02-29,11:25,12:01,LONG,Price Below VWAP,188.62,186.53,186.4,100,1.5,-209.07,-10.45,36,WIN,-1.89
36,2024-03-01,09:05,09:31,LONG,Price Below VWAP,185.72,185.21,185.15,100,2.54,-50.94,-2.55,26,WIN,-0.88
37,2024-03-01,15:25,15:39,LONG,Price Below VWAP,183.69,188.53,188.39,100,2.09,484.0,24.2,14,WIN,0.85
38,2024-03-04,14:45,14:52,LONG,Price Below VWAP,184.47,186.73,186.5,100,2.8,225.11,11.26,7,WIN,-0.27
