rule,lift,support,p_value,baseline_rate,n_samples
atr_14_bin == 4 AND is_power_hour_bin == True,5.858053471508282,0.02301637646134819,0.0,0.017269007214834407,151449
ret_60m_bin == 4.0 AND is_power_hour_bin == True,5.402004459352749,0.025945075830684672,0.0,0.017269007214834407,170720
ret_30m_bin == 4.0 AND is_power_hour_bin == True,5.171192251191488,0.02654491893227624,0.0,0.017269007214834407,174667
price_vs_vwap_pct_bin == 4 AND is_power_hour_bin == True,5.01067971249599,0.026473186998161414,0.0,0.017269007214834407,174195
ret_60m_bin == 0.0 AND is_power_hour_bin == True,4.932535271822806,0.024689159085928475,0.0,0.017269007214834407,162456
ret_15m_bin == 4.0 AND is_power_hour_bin == True,4.863998707381475,0.027235338798131444,0.0,0.017269007214834407,179210
ret_30m_bin == 0.0 AND is_power_hour_bin == True,4.784512754943727,0.026273340613922013,0.0,0.017269007214834407,172880
price_vs_vwap_pct_bin == 0 AND is_power_hour_bin == True,4.687896523765539,0.026356774579661506,0.0,0.017269007214834407,173429
ret_15m_bin == 0.0 AND is_power_hour_bin == True,4.612289958354559,0.027260110631310928,0.0,0.017269007214834407,179373
ret_5m_bin == 3.0 AND is_power_hour_bin == True,4.477356800111092,0.02910568819040087,0.0,0.017269007214834407,191517
ret_5m_bin == 0.0 AND is_power_hour_bin == True,4.407234528705857,0.029279242997093946,0.0,0.017269007214834407,192659
atr_14_bin == 3 AND is_power_hour_bin == True,4.3532772059648,0.03541977011130912,0.0,0.017269007214834407,233064
rvol_bin == 4 AND is_power_hour_bin == True,4.157131470709771,0.03109579343877725,0.0,0.017269007214834407,204612
price_vs_session_avwap_pct_bin == 4 AND is_power_hour_bin == True,4.156478209266595,0.035451684743012746,0.0,0.017269007214834407,233274
rvol_bin == 3 AND is_power_hour_bin == True,4.015309496515793,0.03757476762348759,0.0,0.017269007214834407,247244
price_vs_session_avwap_pct_bin == 0 AND is_power_hour_bin == True,3.720587175795192,0.03051038790867066,0.0,0.017269007214834407,200760
rvol_bin == 2 AND is_power_hour_bin == True,3.694547163378922,0.03456521785383524,0.0,0.017269007214834407,227441
is_first_hour_bin == False AND is_power_hour_bin == True,3.4683564932902273,0.15257306399005235,0.0,0.017269007214834407,1003939
is_power_hour_bin == True,3.4683564932902273,0.15257306399005235,0.0,0.017269007214834407,1003939
price_vs_session_avwap_pct_bin == 2 AND is_power_hour_bin == True,3.301590039602868,0.027377434896430942,0.0,0.017269007214834407,180145
atr_14_bin == 2 AND is_power_hour_bin == True,3.2871846536594633,0.03529606291984838,0.0,0.017269007214834407,232250
price_vs_session_avwap_pct_bin == 3 AND is_power_hour_bin == True,3.153881443089235,0.03167040878387928,0.0,0.017269007214834407,208393
ret_15m_bin == 0.0 AND ret_30m_bin == 4.0,3.057619016359462,0.008680627848950784,0.0,0.017269007214834407,57119
ret_15m_bin == 3.0 AND is_power_hour_bin == True,3.0100568167489827,0.03192648570969175,0.0,0.017269007214834407,210078
ret_30m_bin == 0.0 AND ret_60m_bin == 4.0,2.9853944985648773,0.008572270075595124,0.0,0.017269007214834407,56406
price_vs_vwap_pct_bin == 3 AND is_power_hour_bin == True,2.9849994360729006,0.03261903321766053,0.0,0.017269007214834407,214635
ret_60m_bin == 4.0 AND atr_14_bin == 4,2.9669004053368777,0.06527119686251814,0.0,0.017269007214834407,429488
rvol_bin == 4 AND atr_14_bin == 4,2.940151683096028,0.0618212251753557,0.0,0.017269007214834407,406787
ret_5m_bin == 0.0 AND price_vs_vwap_pct_bin == 4,2.9349119934055556,0.00902257033148968,0.0,0.017269007214834407,59369
ret_60m_bin == 3.0 AND is_power_hour_bin == True,2.8844512613021975,0.03295368092723859,0.0,0.017269007214834407,216837
ret_30m_bin == 3.0 AND is_power_hour_bin == True,2.872426551040372,0.032463563368932837,0.0,0.017269007214834407,213612
ret_5m_bin == 2.0 AND is_power_hour_bin == True,2.8676993243331865,0.01593938286828649,0.0,0.017269007214834407,104882
rvol_bin == 1 AND is_power_hour_bin == True,2.866032213497551,0.028461316578860904,0.0,0.017269007214834407,187277
ret_5m_bin == 1.0 AND is_power_hour_bin == True,2.8640889246831143,0.07824874993427106,0.0,0.017269007214834407,514881
ret_5m_bin == 3.0 AND price_vs_vwap_pct_bin == 0,2.849578758966981,0.009342172571836036,0.0,0.017269007214834407,61472
price_vs_vwap_pct_bin == 1 AND is_power_hour_bin == True,2.8470634323411304,0.03346370713674994,0.0,0.017269007214834407,220193
price_vs_session_avwap_pct_bin == 1 AND is_power_hour_bin == True,2.831073001495561,0.027563147658058732,0.0,0.017269007214834407,181367
ret_15m_bin == 1.0 AND is_power_hour_bin == True,2.8086522437701573,0.032777694529558574,0.0,0.017269007214834407,215679
ret_30m_bin == 4.0 AND atr_14_bin == 4,2.7958090641289357,0.06833378571057319,0.0,0.017269007214834407,449640
ret_15m_bin == 4.0 AND ret_30m_bin == 0.0,2.752907746462223,0.008970139150833717,0.0,0.017269007214834407,59024
ret_30m_bin == 1.0 AND is_power_hour_bin == True,2.74223558713188,0.033414315444827654,0.0,0.017269007214834407,219868
price_vs_vwap_pct_bin == 4 AND atr_14_bin == 4,2.73788587479624,0.0691880340191737,0.0,0.017269007214834407,455261
ret_60m_bin == 4.0 AND price_vs_vwap_pct_bin == 0,2.7029540698342296,0.014247603439120713,0.0,0.017269007214834407,93750
ret_5m_bin == 3.0 AND atr_14_bin == 4,2.6804151199547395,0.05619573942706245,0.0,0.017269007214834407,369771
ret_60m_bin == 1.0 AND is_power_hour_bin == True,2.642697386462599,0.03393026865736968,0.0,0.017269007214834407,223263
ret_15m_bin == 0.0 AND ret_60m_bin == 4.0,2.640599669879585,0.018643312045767406,0.0,0.017269007214834407,122674
ret_15m_bin == 4.0 AND atr_14_bin == 4,2.6237625855126474,0.07171780049221481,0.0,0.017269007214834407,471907
ret_5m_bin == 0.0 AND ret_15m_bin == 4.0,2.607836158579715,0.012357801318955742,0.0,0.017269007214834407,81315
atr_14_bin == 1 AND is_power_hour_bin == True,2.600961146049957,0.03242769740187543,0.0,0.017269007214834407,213376
rvol_bin == 4 AND is_first_hour_bin == True,2.5863146089658775,0.04521148306685629,0.0,0.017269007214834407,297494
ret_5m_bin == 3.0 AND ret_15m_bin == 0.0,2.5815787029633697,0.012807341702666878,0.0,0.017269007214834407,84273
price_vs_session_avwap_pct_bin == 2 AND atr_14_bin == 4,2.56562434341637,0.03629073560794486,0.0,0.017269007214834407,238795
price_vs_session_avwap_pct_bin == 4 AND atr_14_bin == 4,2.543581225111821,0.04601603573466114,0.0,0.017269007214834407,302788
ret_5m_bin == 0.0 AND atr_14_bin == 4,2.543244047131118,0.0552680874655436,0.0,0.017269007214834407,363667
atr_14_bin == 4 AND is_first_hour_bin == True,2.5355811498391887,0.11001642235762807,0.0,0.017269007214834407,723914
ret_15m_bin == 2.0 AND is_power_hour_bin == True,2.481372097479653,0.033373434321359675,0.0,0.017269007214834407,219599
price_vs_vwap_pct_bin == 0 AND atr_14_bin == 4,2.4471343414558424,0.06994273907174622,0.0,0.017269007214834407,460227
ret_15m_bin == 0.0 AND atr_14_bin == 4,2.4100325844528125,0.072071141057505,0.0,0.017269007214834407,474232
ret_30m_bin == 0.0 AND atr_14_bin == 4,2.4076706740010714,0.06869502894657095,0.0,0.017269007214834407,452017
ret_30m_bin == 2.0 AND is_power_hour_bin == True,2.400590874476987,0.03387692563009361,0.0,0.017269007214834407,222912
ret_5m_bin == 0.0 AND ret_30m_bin == 4.0,2.394913149596534,0.020827792598662565,0.0,0.017269007214834407,137048
price_vs_session_avwap_pct_bin == 3 AND atr_14_bin == 4,2.3865076261952374,0.03415427897704183,0.0,0.017269007214834407,224737
price_vs_vwap_pct_bin == 2 AND is_power_hour_bin == True,2.386492202521716,0.03366036205781898,0.0,0.017269007214834407,221487
rvol_bin == 3 AND atr_14_bin == 4,2.356475441220649,0.04822072888763527,0.0,0.017269007214834407,317295
ret_30m_bin == 4.0 AND ret_60m_bin == 0.0,2.355224981547276,0.009158283503448453,0.0,0.017269007214834407,60262
ret_60m_bin == 2.0 AND is_power_hour_bin == True,2.3540658595291246,0.035054879488830945,0.0,0.017269007214834407,230663
ret_60m_bin == 0.0 AND atr_14_bin == 4,2.3257629766824297,0.06605903234228777,0.0,0.017269007214834407,434672
atr_14_bin == 4,2.316279529328113,0.19983954538974907,0.0,0.017269007214834407,1314955
ret_60m_bin == 4.0 AND rvol_bin == 4,2.3044381370616756,0.05044001158653105,0.0,0.017269007214834407,331898
price_vs_vwap_pct_bin == 4 AND rvol_bin == 4,2.260413510653538,0.04909032661434085,0.0,0.017269007214834407,323017
ret_5m_bin == 3.0 AND ret_30m_bin == 0.0,2.239754187502412,0.021488729423801083,0.0,0.017269007214834407,141397
ret_5m_bin == 0.0 AND ret_60m_bin == 4.0,2.233872044846586,0.027852506985504982,0.0,0.017269007214834407,183271
ret_30m_bin == 4.0 AND rvol_bin == 4,2.230594952026961,0.05115109997577527,0.0,0.017269007214834407,336577
ret_15m_bin == 4.0 AND ret_60m_bin == 0.0,2.2286185840312664,0.019092548480605175,0.0,0.017269007214834407,125630
ret_60m_bin == 0.0 AND price_vs_vwap_pct_bin == 4,2.218237886890588,0.014615533550332566,0.0,0.017269007214834407,96171
ret_60m_bin == 4.0 AND is_first_hour_bin == True,2.140698084910658,0.07138756004130058,0.0,0.017269007214834407,469734
price_vs_session_avwap_pct_bin == 0 AND atr_14_bin == 4,2.122706055881969,0.04797574609570073,0.0,0.017269007214834407,315683
ret_30m_bin == 4.0 AND is_first_hour_bin == True,2.111985005786969,0.07132053931472294,0.0,0.017269007214834407,469293
ret_15m_bin == 4.0 AND rvol_bin == 4,2.090990421049678,0.053762324746878976,0.0,0.017269007214834407,353759
price_vs_vwap_pct_bin == 0 AND rvol_bin == 4,2.086321622360676,0.04667803638085645,0.0,0.017269007214834407,307144
price_vs_vwap_pct_bin == 4 AND is_first_hour_bin == True,2.07234373388798,0.07156795369764443,0.0,0.017269007214834407,470921
atr_14_bin == 4 AND is_first_hour_bin == False,2.047676313458732,0.08982312303212102,0.0,0.017269007214834407,591041
ret_15m_bin == 4.0 AND is_first_hour_bin == True,2.0448823532255385,0.07049774971451601,0.0,0.017269007214834407,463879
rvol_bin == 2 AND atr_14_bin == 4,2.01194429051392,0.0410989028357518,0.0,0.017269007214834407,270433
ret_60m_bin == 0.0 AND rvol_bin == 4,2.010851993111556,0.04723076740707599,0.0,0.017269007214834407,310781
price_vs_vwap_pct_bin == 4 AND price_vs_session_avwap_pct_bin == 4,2.0108485257722006,0.059576866694407066,0.0,0.017269007214834407,392019
ret_30m_bin == 4.0 AND price_vs_session_avwap_pct_bin == 4,2.0084861954075,0.06336254991220437,0.0,0.017269007214834407,416929
