pattern_id,rule,horizon,regime,status,n_trades,expectancy,win_rate,sharpe,profit_factor,avg_win,avg_loss
P130_VWAP_ATR_120m,vwap_cross_up_bin == True AND atr_14_bin == 0,fwd_ret_120m,bull_low_vol,SUCCESS,8617,0.0033648773,0.4921666473250551,0.08179645,1.0156643,0.44329646,0.42299476
P131_RET15M_ATR_120m,ret_15m_turned_positive_bin == True AND atr_14_bin == 0,fwd_ret_120m,bull_low_vol,SUCCESS,8650,-0.005418868,0.4886705202312139,-0.13238391,0.97521836,0.4363775,0.42763752
P132_RET5M_ATR_120m,ret_5m_turned_positive_bin == True AND atr_14_bin == 0,fwd_ret_120m,bull_low_vol,SUCCESS,8699,-0.00853412,0.4881020806989309,-0.20753111,0.9615622,0.43738782,0.43372715
P221_VWAP_RVOL_180m,vwap_cross_up_bin == True AND rvol_bin == 0,fwd_ret_180m,bull_low_vol,SUCCESS,13195,-0.016126864,0.4874573702159909,-0.2723378,0.9543917,0.69230485,0.68988603
P222_RET30M_RVOL_180m,ret_30m_turned_positive_bin == True AND rvol_bin == 0,fwd_ret_180m,bull_low_vol,SUCCESS,13193,-0.014228165,0.48609110892139773,-0.24099165,0.9594393,0.69237846,0.6825864
P223_RET15M_RVOL_180m,ret_15m_turned_positive_bin == True AND rvol_bin == 0,fwd_ret_180m,bull_low_vol,SUCCESS,13199,-0.010009817,0.4907947571785741,-0.16826265,0.9717442,0.7014055,0.6957036
P224_RET5M_RVOL_180m,ret_5m_turned_positive_bin == True AND rvol_bin == 0,fwd_ret_180m,bull_low_vol,SUCCESS,13215,-0.011579925,0.48838441165342417,-0.19021359,0.96798724,0.71695274,0.7070317
P225_RET15M_RET15MBIN_180m,ret_15m_turned_positive_bin == True AND ret_15m_bin == 2.0,fwd_ret_180m,bull_low_vol,SUCCESS,13531,0.005164082,0.4958244032222304,0.09153206,1.015637,0.6764667,0.65501904
P226_VWAP_RET15MBIN_180m,vwap_cross_up_bin == True AND ret_15m_bin == 2.0,fwd_ret_180m,bull_low_vol,SUCCESS,13535,-0.0030666953,0.49427410417436274,-0.05441681,0.99081266,0.6691227,0.66003484
P227_VWAP_RET5MBIN_180m,vwap_cross_up_bin == True AND ret_5m_bin == 2.0,fwd_ret_180m,bull_low_vol,SUCCESS,13535,0.003415386,0.496268932397488,0.059373837,1.0102544,0.6780161,0.66119206
