segment,n_candidates,pass_event,pass_overfit,pass_regime,pass_aaa_score,pass_aaa_filters,pass_validation
bull_low_vol__120m__long,250,62,235,250,250,60,6
bull_low_vol__180m__long,250,62,159,250,250,54,5
bull_low_vol__30m__long,250,67,250,250,180,49,4
bull_low_vol__60m__long,250,59,243,250,250,58,4
bull_low_vol__90m__long,250,62,238,250,250,61,3
bear_low_vol__180m__long,250,53,208,250,250,50,2
bear_low_vol__30m__long,250,36,247,250,78,20,2
bear_low_vol__90m__long,250,44,222,250,250,42,2
bull_high_vol__120m__short,250,73,207,250,146,43,1
bull_high_vol__180m__short,250,70,200,250,136,40,1
bull_high_vol__90m__short,250,74,227,250,104,33,1
bear_high_vol__90m__short,210,73,207,210,86,38,1
bear_low_vol__90m__short,43,17,43,43,14,6,1
bear_low_vol__120m__short,46,17,44,46,17,3,1
bear_high_vol__120m__short,187,65,171,187,56,17,0
bear_high_vol__120m__long,130,9,115,130,29,1,0
bear_high_vol__60m__short,220,72,218,220,98,40,0
bear_high_vol__60m__long,149,15,135,149,35,3,0
bear_high_vol__30m__short,207,75,207,207,69,28,0
bear_high_vol__30m__long,137,14,129,137,27,0,0
bear_high_vol__180m__short,178,54,138,178,56,3,0
bear_high_vol__180m__long,127,12,103,127,40,1,0
bear_low_vol__30m__short,21,9,21,21,8,4,0
bear_low_vol__180m__short,42,16,42,42,12,5,0
bull_high_vol__180m__long,29,0,29,29,1,0,0
bull_high_vol__120m__long,51,5,50,51,7,0,0
bear_low_vol__60m__short,40,14,40,40,22,7,0
bear_low_vol__60m__long,250,44,223,250,194,34,0
bear_low_vol__120m__long,250,44,222,250,250,42,0
bear_high_vol__90m__long,148,11,133,148,42,1,0
bull_high_vol__30m__long,132,21,132,132,2,0,0
bull_high_vol__30m__short,125,36,124,125,9,5,0
bull_low_vol__120m__short,1,0,1,1,1,0,0
bull_high_vol__90m__long,52,3,50,52,3,0,0
bull_high_vol__60m__long,117,14,115,117,10,1,0
bull_high_vol__60m__short,162,45,154,162,24,6,0
bull_low_vol__30m__short,3,1,3,3,0,0,0
bull_low_vol__180m__short,7,5,7,7,0,0,0
bull_low_vol__60m__short,9,6,9,9,0,0,0
bull_low_vol__90m__short,1,0,1,1,0,0,0
