rule,rule_type,direction,horizon,t_stat,p_value,expectancy,win_rate,avg_win,avg_loss,profit_factor,sharpe,n_samples,mean_ret,std_ret,rule_col,rule_val,rule_col1,rule_val1,rule_col2,rule_val2,aaa_score,regime,is_event_based,passes_event_filter,overfit_check,is_overfit,overfit_reason,overfit_risk,passes_overfit_filter,passes_regime_filter,passes_aaa_score,passes_aaa_filters,validation_passed,validation_reason,val_expectancy,val_expectancy_net,val_win_rate,val_sharpe,val_trades
avwap_cross_up_bin == True AND ret_60m_bin == 1.0,double,LONG,fwd_ret_90m,20.775496890251603,0.0,0.13002317,0.564778972520908,0.6507193,0.5456753,1.5474906,2.2799166785743914,20925,0.13002317,0.90531987,,,avwap_cross_up_bin,True,ret_60m_bin,1.0,0.10369473702490858,bear_high_vol,True,True,"(True, 'Expectancy too high (13.002% > 10.000%)')",True,Expectancy too high (13.002% > 10.000%),1.5197479497018602,False,True,True,False,,,,,,,
avwap_cross_up_bin == True AND ret_30m_bin == 1.0,double,LONG,fwd_ret_90m,17.47046846999204,0.0,0.09804586,0.5526760347078247,0.6177938,0.54411113,1.402828,1.7184397161446514,26046,0.09804586,0.9057227,,,avwap_cross_up_bin,True,ret_30m_bin,1.0,0.09544949846134736,bear_high_vol,True,True,"(False, 'PASS')",False,PASS,0.8950305595995244,True,True,True,True,False,Net expectancy -0.179% < 1.000% after 2.0 bps cost,0.018207164,-0.0017928351,0.5352922389013095,0.39191526,3131.0
is_power_hour_bin == True,single,LONG,fwd_ret_90m,16.246295040332413,0.0,0.09650597,0.5494365930769854,1.0781851,1.1005963,1.1946121,0.9479767369284695,74014,0.09650597,1.6160574,is_power_hour_bin,True,,,,,0.09457482944909387,bear_high_vol,False,False,"(False, 'PASS')",False,PASS,0.7639328837819921,True,True,True,False,,,,,,,
ret_60m_bin == 1.0 AND session_range_pct_bin == 3,double,LONG,fwd_ret_90m,18.05213610917283,0.0,0.11651966,0.5615371873447076,0.62782836,0.5383109,1.4936662,2.1294019867619496,18111,0.11651966,0.868644,,,ret_60m_bin,1.0,session_range_pct_bin,3,0.07847564435592584,bear_high_vol,False,False,"(True, 'Expectancy too high (11.652% > 10.000%)')",True,Expectancy too high (11.652% > 10.000%),1.3029719656465313,False,True,True,False,,,,,,,
ret_60m_bin == 1.0 AND is_power_hour_bin == True,double,LONG,fwd_ret_90m,19.00826987092172,0.0,0.23080397,0.5868676116309037,1.1149325,1.0251285,1.544974,2.2585823602871753,17849,0.23080397,1.622212,,,ret_60m_bin,1.0,is_power_hour_bin,True,0.07745799571401078,bear_high_vol,False,False,"(True, 'Expectancy too high (23.080% > 10.000%)')",True,Expectancy too high (23.080% > 10.000%),2.5610660686275635,False,True,True,False,,,,,,,
session_range_pct_bin == 3,single,LONG,fwd_ret_90m,15.573163465765626,0.0,0.041990876,0.5277972673559823,0.5843576,0.5642311,1.1576048,0.751143286223041,108320,0.041990876,0.88742656,session_range_pct_bin,3,,,,,0.07145835707603701,bear_high_vol,False,False,"(False, 'PASS')",False,PASS,0.17550329669011405,True,True,True,False,,,,,,,
avwap_cross_up_bin == True AND session_range_pct_bin == 3,double,LONG,fwd_ret_90m,14.737883206469327,0.0,0.0441911,0.5275556054819142,0.585706,0.5604922,1.166884,0.7841363753875386,89020,0.0441911,0.8946301,,,avwap_cross_up_bin,True,session_range_pct_bin,3,0.0705636782208857,bear_high_vol,True,True,"(False, 'PASS')",False,PASS,0.19702220799694753,True,True,True,True,False,Net expectancy 0.568% < 1.000% after 2.0 bps cost,0.025677672,0.005677672,0.5337178008458285,0.5874507,13005.0
price_down_vol_weak_bin == True AND avwap_cross_up_bin == True,double,LONG,fwd_ret_90m,14.167554288329358,0.0,0.06963398,0.5435548841893253,0.5474223,0.4993373,1.3055193,1.456850198970446,23832,0.06963398,0.7587638,,,price_down_vol_weak_bin,True,avwap_cross_up_bin,True,0.06108179934432532,bear_high_vol,True,True,"(False, 'PASS')",False,PASS,0.48344959913483804,True,True,True,True,False,Net expectancy -1.950% < 1.000% after 2.0 bps cost,0.00049638783,-0.019503612,0.49033182143709714,0.011520481,4189.0
avwap_cross_up_bin == True AND atr_14_bin == 0,double,LONG,fwd_ret_90m,11.61379135747418,0.0,0.038240943,0.5293450294767124,0.47455186,0.45247737,1.179568,0.8298169852932835,49361,0.038240943,0.73155427,,,avwap_cross_up_bin,True,atr_14_bin,0,0.058290178029174446,bear_high_vol,True,True,"(False, 'PASS')",False,PASS,0.14109948999371175,True,True,True,True,True,PASS,0.07749513,0.05749513,0.577979837912631,2.2263386,5059.0
avwap_cross_up_bin == True AND ret_60m_bin == 2.0,double,LONG,fwd_ret_90m,11.658321204974907,0.0,0.047046937,0.5380510119212643,0.5428794,0.5304696,1.1919892,0.8895545549262421,43284,0.047046937,0.8395741,,,avwap_cross_up_bin,True,ret_60m_bin,2.0,0.055908224255734836,bear_high_vol,True,True,"(False, 'PASS')",False,PASS,0.24657139432688063,True,True,True,True,False,Net expectancy -1.460% < 1.000% after 2.0 bps cost,0.005402725,-0.014597274,0.5351039736462837,0.12551439,4857.0
avwap_cross_up_bin == True AND price_vs_vwap_pct_bin == 1,double,LONG,fwd_ret_90m,12.920720159566862,0.0,0.07321513,0.536199900334591,0.62945575,0.5698554,1.2770163,1.2237147581383165,28094,0.07321513,0.94977534,,,avwap_cross_up_bin,True,price_vs_vwap_pct_bin,1,0.05513450482315761,bear_high_vol,True,True,"(False, 'PASS')",False,PASS,0.5045510705819016,True,True,True,True,True,PASS,0.040898666,0.020898666,0.5652720981440704,0.8714382,3179.0
ret_30m_bin == 1.0 AND is_power_hour_bin == True,double,LONG,fwd_ret_90m,14.809178462927834,0.0,0.17596978,0.5752935171005615,1.0583483,1.0192715,1.4064988,1.7704870316352774,17631,0.17596978,1.5777769,,,ret_30m_bin,1.0,is_power_hour_bin,True,0.054007714430903235,bear_high_vol,False,False,"(True, 'Expectancy too high (17.597% > 10.000%)')",True,Expectancy too high (17.597% > 10.000%),1.7455283449330072,False,True,True,False,,,,,,,
price_down_vol_weak_bin == True AND session_range_pct_bin == 3,double,LONG,fwd_ret_90m,13.441426927460633,0.0,0.07596416,0.5470094722598106,0.5480545,0.49410936,1.3393881,1.5698329070702686,18475,0.07596416,0.7681669,,,price_down_vol_weak_bin,True,session_range_pct_bin,3,0.04809711147172426,bear_high_vol,True,True,"(False, 'PASS')",False,PASS,0.588577000690139,True,True,True,True,True,PASS,0.042251453,0.022251453,0.5257017863652935,1.0166323,2743.0
