rule,rule_type,direction,horizon,t_stat,p_value,expectancy,win_rate,avg_win,avg_loss,profit_factor,sharpe,n_samples,mean_ret,std_ret,rule_col,rule_val,rule_col1,rule_val1,rule_col2,rule_val2,aaa_score,regime,is_event_based,passes_event_filter,overfit_check,is_overfit,overfit_reason,overfit_risk,passes_overfit_filter,passes_regime_filter,passes_aaa_score,passes_aaa_filters,validation_passed,validation_reason,val_expectancy,val_expectancy_net,val_win_rate,val_sharpe,val_trades
ret_30m_bin == 0.0 AND session_range_pct_bin == 0,double,SHORT,fwd_ret_90m,17.38994790695666,0.0,0.08057082,0.5223000955718382,0.74144906,0.64201,1.2627125,1.2318076771360034,50224,0.08057082,1.0383294,,,ret_30m_bin,0.0,session_range_pct_bin,0,0.129493375074695,bear_high_vol,False,False,"(False, 'PASS')",False,PASS,0.5503083610808102,True,True,True,False,,,,,,,
at_session_low_bin == True AND session_range_pct_bin == 0,double,SHORT,fwd_ret_90m,17.94025718069506,0.0,0.076147504,0.5234956338554585,0.70697314,0.61688805,1.2590493,1.1738467649049265,58862,0.076147504,1.0297801,,,at_session_low_bin,True,session_range_pct_bin,0,0.12759668554951797,bear_high_vol,True,True,"(False, 'PASS')",False,PASS,0.5084663092195916,True,True,True,True,False,Net expectancy -8.830% < 1.000% after 2.0 bps cost,-0.06829777,-0.08829777,0.44580114627460754,-1.318748,8026.0
at_session_low_bin == True,single,SHORT,fwd_ret_90m,17.94025718069506,0.0,0.076147504,0.5234956338554585,0.70697314,0.61688805,1.2590493,1.1738467649049265,58862,0.076147504,1.0297801,at_session_low_bin,True,,,,,0.12759668554951797,bear_high_vol,True,True,"(False, 'PASS')",False,PASS,0.5084663092195916,True,True,True,True,False,Net expectancy -8.830% < 1.000% after 2.0 bps cost,-0.06829777,-0.08829777,0.44580114627460754,-1.318748,8026.0
session_range_pct_bin == 0 AND price_vs_vwap_pct_bin == 0,double,SHORT,fwd_ret_90m,17.139514569336328,0.0,0.0804233,0.5210200142233059,0.7454853,0.6430111,1.2611235,1.2264505609784406,49215,0.0804233,1.0409554,,,session_range_pct_bin,0,price_vs_vwap_pct_bin,0,0.12477187825033542,bear_high_vol,False,False,"(False, 'PASS')",False,PASS,0.5462730579313606,True,True,True,False,,,,,,,
session_range_pct_bin == 0 AND atr_14_bin == 2,double,SHORT,fwd_ret_90m,21.561808290682883,0.0,0.13736397,0.535771418414504,0.7374331,0.55518246,1.532973,2.2816844062666006,22504,0.13736397,0.95569104,,,session_range_pct_bin,0,atr_14_bin,2,0.12035681600035344,bear_high_vol,False,False,"(True, 'Expectancy too high (13.736% > 10.000%)')",True,Expectancy too high (13.736% > 10.000%),1.5360247427592444,False,True,True,False,,,,,,,
session_range_pct_bin == 0,single,SHORT,fwd_ret_90m,20.395828852062756,0.0,0.06305528,0.5172346964201666,0.697413,0.6165955,1.2118288,0.9835878277299973,108357,0.06305528,1.0176737,session_range_pct_bin,0,,,,,0.12009596384686878,bear_high_vol,False,False,"(False, 'PASS')",False,PASS,0.36502216154760864,True,True,True,False,,,,,,,
ret_60m_bin == 0.0 AND session_range_pct_bin == 0,double,SHORT,fwd_ret_90m,16.897804863575207,0.0,0.0737956,0.5235448853321477,0.71550965,0.63134134,1.2453264,1.1545322168438485,53982,0.0737956,1.0146697,,,ret_60m_bin,0.0,session_range_pct_bin,0,0.1182160721952784,bear_high_vol,False,False,"(False, 'PASS')",False,PASS,0.4850457879200785,True,True,True,False,,,,,,,
ret_30m_bin == 4.0 AND ret_60m_bin == 4.0,double,SHORT,fwd_ret_90m,17.32365055471456,0.0,0.06214356,0.5229489429901549,0.6568205,0.58974826,1.2208841,1.0744082383033884,65515,0.06214356,0.91817844,,,ret_30m_bin,4.0,ret_60m_bin,4.0,0.11265599080329816,bear_high_vol,False,False,"(False, 'PASS')",False,PASS,0.3673334909698385,True,True,True,False,,,,,,,
ret_60m_bin == 4.0 AND is_first_hour_bin == True,double,SHORT,fwd_ret_90m,17.066367560093102,0.0,0.054091647,0.5172059822175897,0.6172727,0.549231,1.2039921,1.0766325047947367,63321,0.054091647,0.7975593,,,ret_60m_bin,4.0,is_first_hour_bin,True,0.10999131122236444,bear_high_vol,False,False,"(False, 'PASS')",False,PASS,0.2753284371085956,True,True,True,False,,,,,,,
rel_outperform_extreme_bin == True AND ret_60m_turned_positive_bin == True,double,SHORT,fwd_ret_90m,16.236110635314095,0.0,0.069967486,0.5261079111320089,0.67506,0.6017971,1.245339,1.2497094386800573,42535,0.069967486,0.8887661,,,rel_outperform_extreme_bin,True,ret_60m_turned_positive_bin,True,0.10510625801219962,bear_high_vol,True,True,"(False, 'PASS')",False,PASS,0.4518906819070004,True,True,True,True,True,PASS,0.065825306,0.045825306,0.5387376607837272,1.2133257,10029.0
