rule,rule_type,direction,horizon,t_stat,p_value,expectancy,win_rate,avg_win,avg_loss,profit_factor,sharpe,n_samples,mean_ret,std_ret,rule_col,rule_val,rule_col1,rule_val1,rule_col2,rule_val2,aaa_score,regime,is_event_based,passes_event_filter,overfit_check,is_overfit,overfit_reason,overfit_risk,passes_overfit_filter,passes_regime_filter,passes_aaa_score,passes_aaa_filters,validation_passed,validation_reason,val_expectancy,val_expectancy_net,val_win_rate,val_sharpe,val_trades
atr_14_bin == 0,single,LONG,fwd_ret_120m,37.015869601730095,0.0,0.07225642,0.5310574427265545,0.560871,0.48107865,1.3202882,1.395827874750533,177220,0.07225642,0.82175976,atr_14_bin,0,,,,,0.31757593168941384,bear_low_vol,False,False,"(False, 'PASS')",False,PASS,0.48467912078273706,True,True,True,False,,,,,,,
avwap_cross_up_bin == True AND atr_14_bin == 0,double,LONG,fwd_ret_120m,29.94798940178454,0.0,0.08552563,0.5385330056097188,0.57861346,0.489909,1.3783033,1.630344168038607,85031,0.08552563,0.832755,,,avwap_cross_up_bin,True,atr_14_bin,0,0.30433054802144116,bear_low_vol,True,True,"(False, 'PASS')",False,PASS,0.6974944142847617,True,True,True,True,False,Expectancy dropped 55.9% (limit: 50.0%),0.03768238,0.017682381,0.5058248238170574,0.68572915,27812.0
ret_60m_bin == 2.0 AND atr_14_bin == 0,double,LONG,fwd_ret_120m,24.804363641656273,0.0,0.08898565,0.5403614950519342,0.5657853,0.47155094,1.4105583,1.7804853496107171,48908,0.08898565,0.7933811,,,ret_60m_bin,2.0,atr_14_bin,0,0.26981468394571884,bear_low_vol,False,False,"(False, 'PASS')",False,PASS,0.8108221822241378,True,True,True,False,,,,,,,
is_power_hour_bin == True,single,LONG,fwd_ret_120m,32.28752921132636,0.0,0.12127394,0.5494350377879686,1.0121435,0.9650842,1.2788978,1.3320232658904796,148063,0.12127394,1.4452932,is_power_hour_bin,True,,,,,0.2641018519099123,bear_low_vol,False,False,"(True, 'Expectancy too high (12.127% > 10.000%)')",True,Expectancy too high (12.127% > 10.000%),1.0116094984933033,False,True,True,False,,,,,,,
ret_60m_turned_positive_bin == True AND atr_14_bin == 0,double,LONG,fwd_ret_120m,26.427815455691803,0.0,0.07602253,0.5330362779855277,0.5596602,0.47604695,1.3419868,1.4618164185655338,82364,0.07602253,0.8255621,,,ret_60m_turned_positive_bin,True,atr_14_bin,0,0.23834010489843355,bear_low_vol,True,True,"(False, 'PASS')",False,PASS,0.5262978370904019,True,True,True,True,False,Sharpe dropped 46.3% (limit: 40.0%),0.045589097,0.025589097,0.4882148523079248,0.78515786,26474.0
atr_14_bin == 0 AND price_vs_vwap_pct_bin == 2,double,LONG,fwd_ret_120m,22.677687875491657,0.0,0.08281405,0.536034738228515,0.5575976,0.46571937,1.3832607,1.6331146252487176,48592,0.08281405,0.80498475,,,atr_14_bin,0,price_vs_vwap_pct_bin,2,0.22330035058777087,bear_low_vol,False,False,"(False, 'PASS')",False,PASS,0.6667673160913528,True,True,True,False,,,,,,,
ret_15m_bin == 2.0 AND atr_14_bin == 0,double,LONG,fwd_ret_120m,22.07392750477857,0.0,0.079865515,0.536766457555785,0.55853575,0.47478804,1.3631278,1.5612961046235745,50372,0.079865515,0.81203413,,,ret_15m_bin,2.0,atr_14_bin,0,0.21410978462249688,bear_low_vol,False,False,"(False, 'PASS')",False,PASS,0.6028361197442191,True,True,True,False,,,,,,,
ret_30m_turned_positive_bin == True AND atr_14_bin == 0,double,LONG,fwd_ret_120m,24.63032891298317,0.0,0.072205424,0.5263310413867593,0.5618578,0.47188607,1.3230411,1.419051270162061,75918,0.072205424,0.80774075,,,ret_30m_turned_positive_bin,True,atr_14_bin,0,0.2129185695724651,bear_low_vol,True,True,"(False, 'PASS')",False,PASS,0.47471632586128726,True,True,True,True,False,Sharpe dropped 53.2% (limit: 40.0%),0.037321102,0.017321102,0.4875256942485188,0.6637632,24811.0
ret_30m_bin == 2.0 AND atr_14_bin == 0,double,LONG,fwd_ret_120m,21.83762544643929,0.0,0.078708254,0.5391502988027493,0.5530754,0.47625616,1.3586084,1.5655940744219954,49029,0.078708254,0.7980707,,,ret_30m_bin,2.0,atr_14_bin,0,0.2092009828461812,bear_low_vol,False,False,"(False, 'PASS')",False,PASS,0.5981801728251863,True,True,True,False,,,,,,,
ret_15m_turned_positive_bin == True AND atr_14_bin == 0,double,LONG,fwd_ret_120m,23.836056776727727,0.0,0.07289014,0.5277441067837942,0.5572851,0.4684193,1.3295009,1.4289086051715492,70123,0.07289014,0.8097755,,,ret_15m_turned_positive_bin,True,atr_14_bin,0,0.20804079884079588,bear_low_vol,True,True,"(False, 'PASS')",False,PASS,0.484389614729736,True,True,True,True,False,Expectancy dropped 56.6% (limit: 50.0%),0.031647418,0.011647418,0.4921192430961057,0.5764472,22777.0
vwap_cross_up_bin == True AND atr_14_bin == 0,double,LONG,fwd_ret_120m,24.205592759688244,0.0,0.07003913,0.5271239545301536,0.5561452,0.4718325,1.3139104,1.3826124958070687,77238,0.07003913,0.8041564,,,vwap_cross_up_bin,True,atr_14_bin,0,0.20418094531424696,bear_low_vol,True,True,"(False, 'PASS')",False,PASS,0.4546392165334899,True,True,True,True,False,Sharpe dropped 52.8% (limit: 40.0%),0.036484305,0.016484305,0.48738214643931793,0.6529387,24925.0
rvol_bin == 0 AND atr_14_bin == 0,double,LONG,fwd_ret_120m,23.16896493295024,0.0,0.069595836,0.525905914668196,0.53691435,0.44879398,1.3270934,1.428842844660585,66259,0.069595836,0.77321285,,,rvol_bin,0,atr_14_bin,0,0.20150480622843447,bear_low_vol,False,False,"(False, 'PASS')",False,PASS,0.447770190366017,True,True,True,False,,,,,,,
ret_5m_bin == 2.0 AND atr_14_bin == 0,double,LONG,fwd_ret_120m,21.291448916057583,0.0,0.07498925,0.5349990571374693,0.5553547,0.47768715,1.3375995,1.467724929511072,53030,0.07498925,0.81106305,,,ret_5m_bin,2.0,atr_14_bin,0,0.1935036502070883,bear_low_vol,False,False,"(False, 'PASS')",False,PASS,0.5198906321992474,True,True,True,False,,,,,,,
session_range_pct_bin == 4 AND atr_14_bin == 0,double,LONG,fwd_ret_120m,23.006665497038796,0.0,0.10562737,0.5425656766272456,0.6044906,0.4860773,1.4750534,2.00346729658542,33231,0.10562737,0.83694035,,,session_range_pct_bin,4,atr_14_bin,0,0.1902255010699326,bear_low_vol,False,False,"(True, 'Expectancy too high (10.563% > 10.000%)')",True,Expectancy too high (10.563% > 10.000%),1.0931387301562863,False,True,True,False,,,,,,,
ret_5m_turned_positive_bin == True AND atr_14_bin == 0,double,LONG,fwd_ret_120m,22.266093498203855,0.0,0.07072473,0.5253667295635766,0.55336046,0.46349978,1.3214872,1.378823696871418,65716,0.07072473,0.8142595,,,ret_5m_turned_positive_bin,True,atr_14_bin,0,0.18668163287657266,bear_low_vol,True,True,"(False, 'PASS')",False,PASS,0.4579807908656251,True,True,True,True,False,Expectancy dropped 50.0% (limit: 50.0%),0.03533127,0.015331272,0.49421632333287246,0.64696926,21699.0
