rule,rule_type,direction,horizon,t_stat,p_value,expectancy,win_rate,avg_win,avg_loss,profit_factor,sharpe,n_samples,mean_ret,std_ret,rule_col,rule_val,rule_col1,rule_val1,rule_col2,rule_val2,aaa_score,regime,is_event_based,passes_event_filter,overfit_check,is_overfit,overfit_reason,overfit_risk,passes_overfit_filter,passes_regime_filter,passes_aaa_score,passes_aaa_filters,validation_passed,validation_reason,val_expectancy,val_expectancy_net,val_win_rate,val_sharpe,val_trades
ret_15m_turned_positive_bin == True AND is_first_hour_bin == True,double,SHORT,fwd_ret_60m,20.671760184616566,0.0,0.04614989,0.5441980728449719,0.3971411,0.37291098,1.2715122,1.4153250383312663,53758,0.04614989,0.51762444,,,ret_15m_turned_positive_bin,True,is_first_hour_bin,True,0.181436298276363,bear_low_vol,True,True,"(False, 'PASS')",False,PASS,0.24989505438850262,True,True,True,True,False,Net expectancy -0.353% < 1.000% after 2.0 bps cost,0.016465224,-0.0035347752,0.5121376552905897,0.46467197,14006.0
rel_strength_60m_bin == 4.0 AND is_first_hour_bin == True,double,SHORT,fwd_ret_60m,19.655638505393778,0.0,0.053844802,0.5490403240007043,0.4233766,0.39605758,1.3014727,1.5649572855892069,39753,0.053844802,0.5461873,,,rel_strength_60m_bin,4.0,is_first_hour_bin,True,0.15029251293696483,bear_low_vol,False,False,"(False, 'PASS')",False,PASS,0.36900731161186145,True,True,True,False,,,,,,,
ret_60m_turned_positive_bin == True AND is_first_hour_bin == True,double,SHORT,fwd_ret_60m,19.29126493285402,0.0,0.04044992,0.5412912912912913,0.39601249,0.37912557,1.2325935,1.2371716532029833,61272,0.04044992,0.51902467,,,ret_60m_turned_positive_bin,True,is_first_hour_bin,True,0.14880958992134938,bear_low_vol,True,True,"(False, 'PASS')",False,PASS,0.18708179299985322,True,True,True,True,False,Net expectancy -2.589% < 1.000% after 2.0 bps cost,-0.005886598,-0.025886597,0.49178905620623414,-0.16777517,16137.0
vwap_cross_up_bin == True AND is_first_hour_bin == True,double,SHORT,fwd_ret_60m,18.88745910579802,0.0,0.041298024,0.543093607305936,0.39381596,0.37771612,1.2392966,1.2662859366893053,56064,0.041298024,0.5177234,,,vwap_cross_up_bin,True,is_first_hour_bin,True,0.14862441326629636,bear_low_vol,True,True,"(False, 'PASS')",False,PASS,0.19916745817552411,True,True,True,True,False,Net expectancy -1.008% < 1.000% after 2.0 bps cost,0.009919056,-0.010080944,0.5084277424702957,0.28211322,14476.0
avwap_cross_up_bin == True AND is_first_hour_bin == True,double,SHORT,fwd_ret_60m,17.994634446059163,0.0,0.03957422,0.5416741999638401,0.39303732,0.3781676,1.2283251,1.2146228944003379,55310,0.03957422,0.5172151,,,avwap_cross_up_bin,True,is_first_hour_bin,True,0.1361808195407417,bear_low_vol,True,True,"(False, 'PASS')",False,PASS,0.17909060769325952,True,True,True,True,False,Net expectancy -0.559% < 1.000% after 2.0 bps cost,0.014407226,-0.0055927737,0.5114861697140178,0.41857374,14931.0
ret_60m_bin == 4.0 AND is_first_hour_bin == True,double,SHORT,fwd_ret_60m,17.771023217876117,0.0,0.04711643,0.5454098245449648,0.42017126,0.4004686,1.2588117,1.3653837150316934,42689,0.04711643,0.5477948,,,ret_60m_bin,4.0,is_first_hour_bin,True,0.1281800276105459,bear_low_vol,False,False,"(False, 'PASS')",False,PASS,0.2619839352265568,True,True,True,False,,,,,,,
ret_30m_turned_positive_bin == True AND is_first_hour_bin == True,double,SHORT,fwd_ret_60m,17.437422286835027,0.0,0.038126443,0.5410287651639561,0.3949897,0.3825389,1.2171527,1.1632027875241764,56631,0.038126443,0.5203207,,,ret_30m_turned_positive_bin,True,is_first_hour_bin,True,0.12652885097955283,bear_low_vol,True,True,"(False, 'PASS')",False,PASS,0.16332195614206407,True,True,True,True,False,Net expectancy -0.726% < 1.000% after 2.0 bps cost,0.012741005,-0.0072589945,0.5091473705528927,0.36402583,14813.0
ret_15m_bin == 4.0 AND is_first_hour_bin == True,double,SHORT,fwd_ret_60m,17.152444477339387,0.0,0.04815637,0.5439107229500243,0.413594,0.38764748,1.2723747,1.4136797245398625,37098,0.04815637,0.540758,,,ret_15m_bin,4.0,is_first_hour_bin,True,0.11162999929026231,bear_low_vol,False,False,"(False, 'PASS')",False,PASS,0.2693851406751531,True,True,True,False,,,,,,,
ret_5m_turned_positive_bin == True AND is_first_hour_bin == True,double,SHORT,fwd_ret_60m,15.449184942780706,0.0,0.034911167,0.533091723274259,0.39349478,0.37450105,1.1996548,1.0682977148529464,52702,0.034911167,0.518767,,,ret_5m_turned_positive_bin,True,is_first_hour_bin,True,0.10183242097780977,bear_low_vol,True,True,"(False, 'PASS')",False,PASS,0.11529511531406295,True,True,True,True,False,Net expectancy 0.045% < 1.000% after 2.0 bps cost,0.020446481,0.00044648163,0.5133009153318078,0.5762379,13984.0
is_first_hour_bin == True,single,SHORT,fwd_ret_60m,18.875337796049745,0.0,0.028857488,0.5273061625967583,0.3942192,0.37871602,1.1611999,0.8763142792425658,116915,0.028857488,0.52275586,is_first_hour_bin,True,,,,,0.10094939614962993,bear_low_vol,False,False,"(False, 'PASS')",False,PASS,0.054612325193516664,True,True,True,False,,,,,,,
