rule,rule_type,direction,horizon,t_stat,p_value,expectancy,win_rate,avg_win,avg_loss,profit_factor,sharpe,n_samples,mean_ret,std_ret,rule_col,rule_val,rule_col1,rule_val1,rule_col2,rule_val2,aaa_score,regime,is_event_based,passes_event_filter,overfit_check,is_overfit,overfit_reason,overfit_risk,passes_overfit_filter,passes_regime_filter,passes_aaa_score,passes_aaa_filters,validation_passed
ret_30m_bin == 1.0 AND session_range_pct_bin == 3,double,LONG,fwd_ret_180m,8.728313604149452,0.0,0.06712562,0.5324143771170493,0.78848934,0.75425214,1.1903315,0.9503636897198735,21256,0.06712562,1.1212404,,,ret_30m_bin,1.0,session_range_pct_bin,3,0.021730401265421608,bull_high_vol,False,False,"(False, 'PASS')",False,PASS,0.4360849388120405,True,True,True,False,False
session_range_pct_bin == 3 AND atr_14_bin == 4,double,LONG,fwd_ret_180m,8.721822643904973,0.0,0.074968725,0.5340413151003782,0.90296125,0.8740043,1.1840852,0.9641444789558982,20622,0.074968725,1.2343498,,,session_range_pct_bin,3,atr_14_bin,4,0.02143735807801385,bull_high_vol,False,False,"(False, 'PASS')",False,PASS,0.5177698846296199,True,True,True,False,False
ret_30m_bin == 0.0 AND session_range_pct_bin == 3,double,LONG,fwd_ret_180m,10.103614855522043,0.0,0.12297518,0.5458185458185458,0.9474859,0.8678915,1.311977,1.5300230786082676,10989,0.12297518,1.2759092,,,ret_30m_bin,0.0,session_range_pct_bin,3,0.02100574055133236,bull_high_vol,False,False,"(True, 'Expectancy too high (12.298% > 10.000%)')",True,Expectancy too high (12.298% > 10.000%),1.0364004115703835,False,True,True,False,False
session_range_pct_bin == 3 AND price_vs_vwap_pct_bin == 1,double,LONG,fwd_ret_180m,8.138744710254958,4.440892098500626e-16,0.058851805,0.5317311466829502,0.7584493,0.73555887,1.1708627,0.8532652792868226,22927,0.058851805,1.0949038,,,session_range_pct_bin,3,price_vs_vwap_pct_bin,1,0.019597338060190272,bull_high_vol,False,False,"(False, 'PASS')",False,PASS,0.35198033920854793,True,True,False,False,False
session_range_pct_bin == 3,single,LONG,fwd_ret_180m,8.147785163596613,4.440892098500626e-16,0.02905016,0.5160577789403319,0.7973469,0.7902325,1.0759628,0.4025833347929231,103221,0.02905016,1.1454945,session_range_pct_bin,3.0,,,,,0.019592053076858365,bull_high_vol,False,False,"(False, 'PASS')",False,PASS,0.03211555788066378,True,True,False,False,False
avwap_cross_up_bin == True AND atr_14_bin == 4,double,LONG,fwd_ret_180m,6.667070522904928,2.634537032975004e-11,0.038968153,0.5228203519905545,0.9000259,0.90444696,1.0902911,0.4545813890374763,54206,0.038968153,1.360813,,,avwap_cross_up_bin,True,atr_14_bin,4,0.018339413515634416,bull_high_vol,True,True,"(False, 'PASS')",False,PASS,0.13532223696012063,True,True,False,False,False
avwap_cross_up_bin == True AND rel_strength_60m_bin == 3.0,double,LONG,fwd_ret_180m,7.015072889016406,2.319477943046877e-12,0.031397033,0.5188840138186377,0.79021776,0.7869917,1.0829219,0.4251683151000337,68603,0.031397033,1.1722709,,,avwap_cross_up_bin,True,rel_strength_60m_bin,3.0,0.01791222880913464,bull_high_vol,True,True,"(False, 'PASS')",False,PASS,0.051738362465175325,True,True,False,False,False
price_down_vol_strong_bin == True AND is_first_hour_bin == True,double,LONG,fwd_ret_180m,8.50375408626608,0.0,0.08307863,0.5353671706263499,0.8824766,0.83801746,1.2133665,1.1090355234750622,14816,0.08307863,1.1891705,,,price_down_vol_strong_bin,True,is_first_hour_bin,True,0.017316300294382393,bull_high_vol,True,True,"(False, 'PASS')",False,PASS,0.6015206439384373,True,True,False,False,False
avwap_cross_up_bin == True AND session_range_pct_bin == 3,double,LONG,fwd_ret_180m,6.961695948866717,3.383293645242702e-12,0.02561675,0.5139939680284923,0.7934625,0.78644747,1.0670213,0.3545652403218724,97149,0.02561675,1.1469069,,,avwap_cross_up_bin,True,session_range_pct_bin,3,0.014684375751956122,bull_high_vol,True,True,"(False, 'PASS')",False,PASS,0.027987936056984575,True,True,False,False,False
session_range_pct_bin == 3 AND rvol_bin == 3,double,LONG,fwd_ret_180m,6.9306428256278965,4.316769164347534e-12,0.06001732,0.5274582374712413,0.86006415,0.833007,1.1524712,0.7780794301951302,19994,0.06001732,1.2244835,,,session_range_pct_bin,3,rvol_bin,3,0.013164412195689902,bull_high_vol,False,False,"(False, 'PASS')",False,PASS,0.35508968753031606,True,True,False,False,False
rel_strength_60m_bin == 3.0 AND session_range_pct_bin == 3,double,LONG,fwd_ret_180m,6.591755911572197,4.435141143233068e-11,0.05004988,0.5262403798919273,0.79837567,0.7811718,1.1352379,0.6695105415708674,24428,0.05004988,1.1867135,,,rel_strength_60m_bin,3.0,session_range_pct_bin,3,0.013132483716015749,bull_high_vol,False,False,"(False, 'PASS')",False,PASS,0.25297954635249625,True,True,False,False,False
ret_15m_bin == 0.0 AND session_range_pct_bin == 3,double,LONG,fwd_ret_180m,7.33256927281286,2.3780977187470853e-13,0.07115132,0.5373944097246068,0.830379,0.81081975,1.1896914,0.9646301723700597,14561,0.07115132,1.170907,,,ret_15m_bin,0.0,session_range_pct_bin,3,0.012812020235907388,bull_high_vol,False,False,"(False, 'PASS')",False,PASS,0.4863020556142604,True,True,False,False,False
session_range_pct_bin == 3 AND price_vs_vwap_pct_bin == 2,double,LONG,fwd_ret_180m,6.479693355875058,9.376432963392745e-11,0.047905117,0.5170590020375428,0.79502285,0.7519937,1.1319088,0.6772658465783622,23067,0.047905117,1.1228533,,,session_range_pct_bin,3,price_vs_vwap_pct_bin,2,0.012116051249852725,bull_high_vol,False,False,"(False, 'PASS')",False,PASS,0.2131691768083926,True,True,False,False,False
