rule,rule_type,direction,horizon,t_stat,p_value,expectancy,win_rate,avg_win,avg_loss,profit_factor,sharpe,n_samples,mean_ret,std_ret,rule_col,rule_val,rule_col1,rule_val1,rule_col2,rule_val2,aaa_score,regime,is_event_based,passes_event_filter,overfit_check,is_overfit,overfit_reason,overfit_risk,passes_overfit_filter,passes_regime_filter,passes_aaa_score,passes_aaa_filters,validation_passed,validation_reason,val_expectancy,val_expectancy_net,val_win_rate,val_sharpe,val_trades
ret_30m_bin == 0.0 AND is_first_hour_bin == True,double,LONG,fwd_ret_30m,11.050555923250117,0.0,0.026469322,0.5237074062977972,0.43860415,0.4266934,1.1302426,0.696585953531554,63419,0.026469322,0.6032098,,,ret_30m_bin,0.0,is_first_hour_bin,True,0.04665882660681495,bull_high_vol,False,False,"(False, 'PASS')",False,PASS,0.047414812595594436,True,True,True,False,,,,,,,
avwap_cross_up_bin == True AND rel_strength_60m_bin == 0.0,double,LONG,fwd_ret_30m,10.77493709623385,0.0,0.042058587,0.522631142032652,0.44817108,0.40255994,1.2188618,1.0754258703831268,25297,0.042058587,0.6208325,,,avwap_cross_up_bin,True,rel_strength_60m_bin,0.0,0.03546302526730172,bull_high_vol,True,True,"(False, 'PASS')",False,PASS,0.16584815480810194,True,True,True,True,False,Net expectancy -1.164% < 1.000% after 2.0 bps cost,0.008359824,-0.011640175,0.5134157944814463,0.23993285,5255.0
rel_strength_60m_bin == 0.0 AND is_first_hour_bin == True,double,LONG,fwd_ret_30m,9.283883790917601,0.0,0.020330504,0.5187103422094473,0.4299833,0.42117316,1.1002953,0.5426643704991142,73756,0.020330504,0.59472626,,,rel_strength_60m_bin,0.0,is_first_hour_bin,True,0.03024629394918036,bull_high_vol,False,False,"(False, 'PASS')",False,PASS,0.03742068441889468,True,True,True,False,,,,,,,
avwap_cross_up_bin == True AND price_vs_vwap_pct_bin == 2,double,LONG,fwd_ret_30m,8.039694557456743,8.881784197001252e-16,0.017208131,0.503170626349892,0.32454705,0.29405352,1.1177876,0.5305109173608488,57875,0.017208131,0.5149199,,,avwap_cross_up_bin,True,price_vs_vwap_pct_bin,2,0.02483907466368227,bull_high_vol,True,True,"(False, 'PASS')",False,PASS,0.006341252699783917,True,True,True,True,False,Net expectancy -0.588% < 1.000% after 2.0 bps cost,0.014123019,-0.0058769807,0.5151079136690647,0.5159173,9730.0
ret_5m_bin == 1.0 AND ret_30m_bin == 0.0,double,LONG,fwd_ret_30m,8.925746615195392,0.0,0.035234056,0.5203846786125267,0.3782245,0.33691204,1.2180486,0.9083556742497393,24332,0.035234056,0.61575365,,,ret_5m_bin,1.0,ret_30m_bin,0.0,0.023763972969697657,bull_high_vol,False,False,"(False, 'PASS')",False,PASS,0.09310992135679014,True,True,True,False,,,,,,,
session_range_pct_bin == 2 AND price_vs_vwap_pct_bin == 2,double,LONG,fwd_ret_30m,8.909163689559515,0.0,0.030957446,0.5214662084765177,0.32755864,0.2922538,1.2213565,0.9573264977782414,21825,0.030957446,0.51334023,,,session_range_pct_bin,2,price_vs_vwap_pct_bin,2,0.02246951481525126,bull_high_vol,False,False,"(False, 'PASS')",False,PASS,0.0525068719758473,True,True,True,False,,,,,,,
ret_5m_turned_positive_bin == True AND rel_strength_60m_bin == 0.0,double,LONG,fwd_ret_30m,7.4413307500226535,1.0147438445073931e-13,0.022547642,0.5202440250422703,0.41569105,0.4037743,1.1163971,0.5646540466842649,43766,0.022547642,0.63389736,,,ret_5m_turned_positive_bin,True,rel_strength_60m_bin,0.0,0.02214589638175706,bull_high_vol,True,True,"(False, 'PASS')",False,PASS,0.040488050084540594,True,True,True,True,False,Net expectancy -2.607% < 1.000% after 2.0 bps cost,-0.00606861,-0.02606861,0.4945743911261153,-0.18819676,8294.0
ret_15m_bin == 1.0 AND ret_30m_bin == 0.0,double,LONG,fwd_ret_30m,8.848125813641472,0.0,0.03765218,0.5149779535433429,0.38136458,0.3272886,1.2371907,0.9470002643052339,21999,0.03765218,0.6311612,,,ret_15m_bin,1.0,ret_30m_bin,0.0,0.021974005027232808,bull_high_vol,False,False,"(False, 'PASS')",False,PASS,0.10647770307476861,True,True,True,False,,,,,,,
ret_60m_bin == 0.0 AND is_first_hour_bin == True,double,LONG,fwd_ret_30m,7.212170573284002,5.568878691519785e-13,0.017183658,0.5195465519722431,0.42567042,0.4245405,1.0842451,0.45780117031440765,62543,0.017183658,0.5958528,,,ret_60m_bin,0.0,is_first_hour_bin,True,0.01985425578133986,bull_high_vol,False,False,"(False, 'PASS')",False,PASS,0.039093103944486174,True,True,False,False,,,,,,,
atr_14_bin == 0,single,LONG,fwd_ret_30m,8.330957174883741,0.0,0.0116880145,0.4981346889859667,0.2771575,0.25180808,1.0924877,0.41114228410234743,103468,0.0116880145,0.4512829,atr_14_bin,0,,,,,0.01974786228231272,bull_high_vol,False,False,"(False, 'PASS')",False,PASS,0.0,True,True,False,False,,,,,,,
