rule,rule_type,direction,horizon,t_stat,p_value,expectancy,win_rate,avg_win,avg_loss,profit_factor,sharpe,n_samples,mean_ret,std_ret,rule_col,rule_val,rule_col1,rule_val1,rule_col2,rule_val2,aaa_score,regime,is_event_based,passes_event_filter,overfit_check,is_overfit,overfit_reason,overfit_risk,passes_overfit_filter,passes_regime_filter,passes_aaa_score,passes_aaa_filters,validation_passed,validation_reason,val_expectancy,val_expectancy_net,val_win_rate,val_sharpe,val_trades
ret_15m_turned_positive_bin == True AND session_range_pct_bin == 0,double,SHORT,fwd_ret_60m,23.13119736242886,0.0,0.13211797,0.521239920532897,0.7300924,0.5189141,1.5318,1.9847581946675523,34228,0.13211797,1.0567069,,,ret_15m_turned_positive_bin,True,session_range_pct_bin,0,0.18960123606172816,bull_high_vol,True,True,"(True, 'Expectancy too high (13.212% > 10.000%)')",True,Expectancy too high (13.212% > 10.000%),1.3060386561787296,False,True,True,False,,,,,,,
vwap_cross_up_bin == True AND session_range_pct_bin == 0,double,SHORT,fwd_ret_60m,24.17146102689158,0.0,0.14316057,0.526925139594309,0.7439874,0.52605855,1.5752537,2.1551642583036106,31699,0.14316057,1.054492,,,vwap_cross_up_bin,True,session_range_pct_bin,0,0.18691477478341206,bull_high_vol,True,True,"(True, 'Expectancy too high (14.316% > 10.000%)')",True,Expectancy too high (14.316% > 10.000%),1.5130380752162624,False,True,True,False,,,,,,,
ret_30m_turned_positive_bin == True AND session_range_pct_bin == 0,double,SHORT,fwd_ret_60m,24.250876836913157,0.0,0.16109286,0.5275079648768358,0.78319573,0.5334463,1.6391326,2.399608141535548,25738,0.16109286,1.0657032,,,ret_30m_turned_positive_bin,True,session_range_pct_bin,0,0.15243247908091198,bull_high_vol,True,True,"(True, 'Expectancy too high (16.109% > 10.000%)')",True,Expectancy too high (16.109% > 10.000%),1.8157486253898385,False,True,True,False,,,,,,,
ret_5m_turned_positive_bin == True AND session_range_pct_bin == 0,double,SHORT,fwd_ret_60m,17.455909690056668,0.0,0.09108871,0.4994832041343669,0.6923735,0.5089544,1.3575748,1.4085986605991883,38700,0.09108871,1.026544,,,ret_5m_turned_positive_bin,True,session_range_pct_bin,0,0.11002157675997336,bull_high_vol,True,True,"(False, 'PASS')",False,PASS,0.6108871221542358,True,True,True,True,False,Net expectancy -4.986% < 1.000% after 2.0 bps cost,-0.029861856,-0.049861856,0.4486873508353222,-0.71482414,5866.0
ret_60m_turned_positive_bin == True AND session_range_pct_bin == 0,double,SHORT,fwd_ret_60m,20.192737150968497,0.0,0.15256293,0.5163415381472781,0.79850096,0.5370241,1.5873765,2.2906933597200725,19582,0.15256293,1.0572613,,,ret_60m_turned_positive_bin,True,session_range_pct_bin,0,0.09452257654326039,bull_high_vol,True,True,"(True, 'Expectancy too high (15.256% > 10.000%)')",True,Expectancy too high (15.256% > 10.000%),1.6536590679545955,False,True,True,False,,,,,,,
session_range_pct_bin == 0,single,SHORT,fwd_ret_60m,18.273446405569985,0.0,0.058811054,0.4865568755022413,0.65705353,0.5081047,1.225431,0.9026053551808458,103287,0.058811054,1.0343353,session_range_pct_bin,0,,,,,0.09288342924580811,bull_high_vol,False,False,"(False, 'PASS')",False,PASS,0.2881105363368988,True,True,True,False,,,,,,,
session_range_pct_bin == 0 AND atr_14_bin == 2,double,SHORT,fwd_ret_60m,16.70367119995654,0.0,0.106426984,0.5090030948138422,0.6627794,0.4703284,1.4608629,1.8157560469759957,21326,0.106426984,0.9304532,,,session_range_pct_bin,0,atr_14_bin,2,0.07621062315508233,bull_high_vol,False,False,"(True, 'Expectancy too high (10.643% > 10.000%)')",True,Expectancy too high (10.643% > 10.000%),0.9401540538329979,False,True,True,False,,,,,,,
session_range_pct_bin == 0 AND is_power_hour_bin == True,double,SHORT,fwd_ret_60m,19.679939289689028,0.0,0.28046912,0.5137164846077458,1.4588093,0.96434534,1.598085,2.4612134397816154,16112,0.28046912,1.8089894,,,session_range_pct_bin,0,is_power_hour_bin,True,0.0754124340281278,bull_high_vol,False,False,"(True, 'Expectancy too high (28.047% > 10.000%)')",True,Expectancy too high (28.047% > 10.000%),3.012730884594275,False,True,True,False,,,,,,,
ret_5m_bin == 4.0 AND ret_30m_bin == 4.0,double,SHORT,fwd_ret_60m,11.881412562120572,0.0,0.05173898,0.5202984469039514,0.6656875,0.61416763,1.1756144,0.8954841186972328,44363,0.05173898,0.917192,,,ret_5m_bin,4.0,ret_30m_bin,4.0,0.056848060751310506,bull_high_vol,False,False,"(False, 'PASS')",False,PASS,0.25798670538331564,True,True,True,False,,,,,,,
ret_30m_turned_positive_bin == True AND ret_5m_bin == 4.0,double,SHORT,fwd_ret_60m,12.95148348201942,0.0,0.04166791,0.5115109107856531,0.6348286,0.5794477,1.1472083,0.7346690954835481,78317,0.04166791,0.9003476,,,ret_30m_turned_positive_bin,True,ret_5m_bin,4.0,0.05633164667483667,bull_high_vol,True,True,"(False, 'PASS')",False,PASS,0.13970090587230116,True,True,True,True,False,Net expectancy -2.785% < 1.000% after 2.0 bps cost,-0.0078470735,-0.027847074,0.5053291958985429,-0.15267435,14824.0
