rule,rule_type,direction,horizon,t_stat,p_value,expectancy,win_rate,avg_win,avg_loss,profit_factor,sharpe,n_samples,mean_ret,std_ret,rule_col,rule_val,rule_col1,rule_val1,rule_col2,rule_val2,aaa_score,regime,is_event_based,passes_event_filter,overfit_check,is_overfit,overfit_reason,overfit_risk,passes_overfit_filter,passes_regime_filter,passes_aaa_score,passes_aaa_filters,validation_passed
atr_14_bin == 2 AND is_first_hour_bin == True,double,SHORT,fwd_ret_180m,6.110615070570157,1.010194594641689e-09,0.02498291,0.5231407750591188,0.44621834,0.43713552,1.1198497,0.673875750309006,20721,0.02498291,0.58852303,,,atr_14_bin,2,is_first_hour_bin,True,0.010332616023228016,bull_low_vol,False,False,"(False, 'PASS')",False,PASS,0.046281550118237647,True,True,False,False,False
rel_strength_60m_bin == 4.0 AND is_first_hour_bin == True,double,SHORT,fwd_ret_180m,4.616801855334198,3.906384629992488e-06,0.016613532,0.5196365824775291,0.58834183,0.6018577,1.0574642,0.3229174621860807,51511,0.016613532,0.81671536,,,rel_strength_60m_bin,4.0,is_first_hour_bin,True,0.008966413061385346,bull_low_vol,False,False,"(False, 'PASS')",False,PASS,0.03927316495505817,True,True,False,False,False
rel_outperform_extreme_bin == True AND is_first_hour_bin == True,double,SHORT,fwd_ret_180m,5.764681496192015,8.344518409586499e-09,0.048014164,0.538196089045267,0.7384584,0.75664437,1.1374104,0.7527540047816088,14779,0.048014164,1.0125502,,,rel_outperform_extreme_bin,True,is_first_hour_bin,True,0.007989695568193183,bull_low_vol,True,True,"(False, 'PASS')",False,PASS,0.25653381780000656,True,True,False,False,False
rel_outperform_extreme_bin == True AND atr_14_bin == 4,double,SHORT,fwd_ret_180m,5.31689916096152,1.0697599273079561e-07,0.050234642,0.5316996544140747,0.8631303,0.87271225,1.1229157,0.6690450730620564,15915,0.050234642,1.191923,,,rel_outperform_extreme_bin,True,atr_14_bin,4,0.006967918698506502,bull_low_vol,True,True,"(False, 'PASS')",False,PASS,0.2657457276261193,True,True,False,False,False
rel_outperform_extreme_bin == True AND avwap_cross_up_bin == True,double,SHORT,fwd_ret_180m,3.4910028572669467,0.0004822087941862563,0.028935572,0.5337148903424394,0.817777,0.8739807,1.0710033,0.38432828791388796,20792,0.028935572,1.1951709,,,rel_outperform_extreme_bin,True,avwap_cross_up_bin,True,0.003446469144737209,bull_low_vol,True,True,"(False, 'PASS')",False,PASS,0.0674297806848787,True,True,False,False,False
rel_outperform_extreme_bin == True AND ret_60m_bin == 4.0,double,SHORT,fwd_ret_180m,3.0340448469810077,0.0024156480237278455,0.023660105,0.5296823281605983,0.8178241,0.8707452,1.0577743,0.3157834816466108,23263,0.023660105,1.1893989,,,rel_outperform_extreme_bin,True,ret_60m_bin,4.0,0.002732806375923721,bull_low_vol,True,True,"(False, 'PASS')",False,PASS,0.059364656321196696,True,True,False,False,False
rel_outperform_extreme_bin == True,single,SHORT,fwd_ret_180m,3.0317535617635394,0.002434051056783737,0.023638444,0.5296772252546526,0.817725,0.8706614,1.0577263,0.31551786713672325,23267,0.023638444,1.1893103,rel_outperform_extreme_bin,True,,,,,0.0027288885354557623,bull_low_vol,True,True,"(False, 'PASS')",False,PASS,0.0593544505093051,True,True,False,False,False
rel_outperform_extreme_bin == True AND rel_strength_60m_bin == 4.0,double,SHORT,fwd_ret_180m,3.0317535617635394,0.002434051056783737,0.023638444,0.5296772252546526,0.817725,0.8706614,1.0577263,0.31551786713672325,23267,0.023638444,1.1893103,,,rel_outperform_extreme_bin,True,rel_strength_60m_bin,4.0,0.0027288885354557623,bull_low_vol,True,True,"(False, 'PASS')",False,PASS,0.0593544505093051,True,True,False,False,False
rel_outperform_extreme_bin == True AND ret_60m_turned_positive_bin == True,double,SHORT,fwd_ret_180m,3.0317535617635394,0.002434051056783737,0.023638444,0.5296772252546526,0.817725,0.8706614,1.0577263,0.31551786713672325,23267,0.023638444,1.1893103,,,rel_outperform_extreme_bin,True,ret_60m_turned_positive_bin,True,0.0027288885354557623,bull_low_vol,True,True,"(False, 'PASS')",False,PASS,0.0593544505093051,True,True,False,False,False
rel_outperform_extreme_bin == True AND ret_30m_turned_positive_bin == True,double,SHORT,fwd_ret_180m,3.0877925925698504,0.0020191547283305855,0.025372483,0.5337964973223331,0.8114576,0.8746841,1.0622208,0.34047102419006603,20727,0.025372483,1.1829954,,,rel_outperform_extreme_bin,True,ret_30m_turned_positive_bin,True,0.0026925061160372587,bull_low_vol,True,True,"(False, 'PASS')",False,PASS,0.06759299464466628,True,True,False,False,False
rel_outperform_extreme_bin == True AND ret_5m_bin == 4.0,double,SHORT,fwd_ret_180m,3.235888982592316,0.0012160509510679152,0.03603135,0.531158294493354,0.8408767,0.87579083,1.0877514,0.47722932084091896,11586,0.03603135,1.1985432,,,rel_outperform_extreme_bin,True,ret_5m_bin,4.0,0.00219985713391265,bull_low_vol,True,True,"(False, 'PASS')",False,PASS,0.12263009392101903,True,True,False,False,False
