rule,rule_type,direction,horizon,t_stat,p_value,expectancy,win_rate,avg_win,avg_loss,profit_factor,sharpe,n_samples,mean_ret,std_ret,rule_col,rule_val,rule_col1,rule_val1,rule_col2,rule_val2,aaa_score,regime,is_event_based,passes_event_filter,overfit_check,is_overfit,overfit_reason,overfit_risk,passes_overfit_filter,passes_regime_filter,passes_aaa_score,passes_aaa_filters,validation_passed,validation_reason,val_expectancy,val_expectancy_net,val_win_rate,val_sharpe,val_trades
atr_14_bin == 0,single,LONG,fwd_ret_60m,30.244677770798287,0.0,0.031108657,0.508053633335908,0.31452978,0.26159218,1.2417346,1.0234155747484932,220087,0.031108657,0.48253575,atr_14_bin,0,,,,,0.18201065095042954,bull_low_vol,False,False,"(False, 'PASS')",False,PASS,0.02719383565322514,True,True,True,False,,,,,,,
avwap_cross_up_bin == True AND atr_14_bin == 0,double,LONG,fwd_ret_60m,25.49971556356087,0.0,0.036787074,0.5121729120492071,0.32005137,0.260614,1.2893553,1.1864458164695535,116406,0.036787074,0.49220678,,,avwap_cross_up_bin,True,atr_14_bin,0,0.17934369308408676,bull_low_vol,True,True,"(False, 'PASS')",False,PASS,0.09221656469089395,True,True,True,True,False,Net expectancy -1.810% < 1.000% after 2.0 bps cost,0.001898456,-0.018101543,0.48034282554603264,0.054840002,36170.0
atr_14_bin == 0 AND is_power_hour_bin == True,double,LONG,fwd_ret_60m,24.2180243823227,0.0,0.1449526,0.567272489539749,0.757542,0.658105,1.5089983,2.1980372728689526,30592,0.1449526,1.0468663,,,atr_14_bin,0,is_power_hour_bin,True,0.1758650143173654,bull_low_vol,False,False,"(True, 'Expectancy too high (14.495% > 10.000%)')",True,Expectancy too high (14.495% > 10.000%),1.6330895678531465,False,True,True,False,,,,,,,
is_power_hour_bin == True,single,LONG,fwd_ret_60m,25.232492235647367,0.0,0.078283474,0.5421177961031801,0.873017,0.8626555,1.1981887,0.9700648764686158,170498,0.078283474,1.2810603,is_power_hour_bin,True,,,,,0.1523822429165179,bull_low_vol,False,False,"(False, 'PASS')",False,PASS,0.5670703306993259,True,True,True,False,,,,,,,
vwap_cross_up_bin == True AND atr_14_bin == 0,double,LONG,fwd_ret_60m,23.11907697359532,0.0,0.030281141,0.5038398328904726,0.31532332,0.259173,1.2354835,1.0170491057122126,130214,0.030281141,0.47264013,,,vwap_cross_up_bin,True,atr_14_bin,0,0.13711695809665997,bull_low_vol,True,True,"(False, 'PASS')",False,PASS,0.010491079784317459,True,True,True,True,False,Net expectancy -1.993% < 1.000% after 2.0 bps cost,7.0370625e-05,-0.019929629,0.4695563462639031,0.00202939,40189.0
ret_15m_turned_positive_bin == True AND atr_14_bin == 0,double,LONG,fwd_ret_60m,22.336066789486846,0.0,0.03050678,0.5042386001322209,0.3138579,0.25768948,1.238796,1.0257192032953393,119497,0.03050678,0.47213715,,,ret_15m_turned_positive_bin,True,atr_14_bin,0,0.13370804285504032,bull_low_vol,True,True,"(False, 'PASS')",False,PASS,0.013545003975140857,True,True,True,True,False,Net expectancy -2.048% < 1.000% after 2.0 bps cost,-0.00048058107,-0.02048058,0.47086347379460564,-0.013576679,37187.0
ret_15m_bin == 1.0 AND atr_14_bin == 0,double,LONG,fwd_ret_60m,19.51118726619549,0.0,0.03491238,0.5137209881324518,0.3123098,0.2581393,1.2781248,1.1519159893213227,72298,0.03491238,0.4811261,,,ret_15m_bin,1.0,atr_14_bin,0,0.13363433924030066,bull_low_vol,False,False,"(False, 'PASS')",False,PASS,0.07656578947682152,True,True,True,False,,,,,,,
ret_15m_bin == 1.0 AND is_power_hour_bin == True,double,LONG,fwd_ret_60m,18.033010234819315,0.0,0.10252221,0.5496445873138045,0.8384999,0.7957153,1.2860916,1.362025198000516,44174,0.10252221,1.1949042,,,ret_15m_bin,1.0,is_power_hour_bin,True,0.1331997338291385,bull_low_vol,False,False,"(True, 'Expectancy too high (10.252% > 10.000%)')",True,Expectancy too high (10.252% > 10.000%),0.8245112674945065,False,True,True,False,,,,,,,
ret_30m_turned_positive_bin == True AND atr_14_bin == 0,double,LONG,fwd_ret_60m,22.151530788018828,0.0,0.030431526,0.5046576251503463,0.31551194,0.26001,1.2362808,1.0127713608191424,120555,0.030431526,0.47699365,,,ret_30m_turned_positive_bin,True,atr_14_bin,0,0.13103830073449843,bull_low_vol,True,True,"(False, 'PASS')",False,PASS,0.01363050811819938,True,True,True,True,False,Net expectancy -2.393% < 1.000% after 2.0 bps cost,-0.003930592,-0.02393059,0.4697472417792884,-0.11581577,37071.0
avwap_cross_up_bin == True AND atr_14_bin == 1,double,LONG,fwd_ret_60m,21.55967446127466,0.0,0.03701399,0.514620284090422,0.37548807,0.3218507,1.2369354,1.0020618594760287,116653,0.03701399,0.5863699,,,avwap_cross_up_bin,True,atr_14_bin,1,0.12867965534108752,bull_low_vol,True,True,"(False, 'PASS')",False,PASS,0.09938045759992292,True,True,True,True,False,Net expectancy -3.787% < 1.000% after 2.0 bps cost,-0.017869081,-0.03786908,0.47235140568273876,-0.39759287,33329.0
atr_14_bin == 0 AND price_vs_vwap_pct_bin == 1,double,LONG,fwd_ret_60m,17.932357342204213,0.0,0.03776897,0.5144652974504249,0.31746674,0.25859454,1.3008124,1.1978165894256165,56480,0.03776897,0.5005473,,,atr_14_bin,0,price_vs_vwap_pct_bin,1,0.12789985469483572,bull_low_vol,False,False,"(False, 'PASS')",False,PASS,0.1066203066504035,True,True,True,False,,,,,,,
atr_14_bin == 1 AND is_power_hour_bin == True,double,LONG,fwd_ret_60m,18.039113294003982,0.0,0.10965724,0.5433103109388223,0.8305396,0.7479553,1.3210261,1.496204907924912,36631,0.10965724,1.1634468,,,atr_14_bin,1,is_power_hour_bin,True,0.12282719690870175,bull_low_vol,False,False,"(True, 'Expectancy too high (10.966% > 10.000%)')",True,Expectancy too high (10.966% > 10.000%),0.8831930508193713,False,True,True,False,,,,,,,
session_range_pct_bin == 1 AND atr_14_bin == 0,double,LONG,fwd_ret_60m,17.339503221852308,0.0,0.039038494,0.5175528326114871,0.3178847,0.2600982,1.3111043,1.2841280879860106,45947,0.039038494,0.4825974,,,session_range_pct_bin,1,atr_14_bin,0,0.12256687114989545,bull_low_vol,False,False,"(False, 'PASS')",False,PASS,0.12549060751614133,True,True,True,False,,,,,,,
ret_60m_turned_positive_bin == True AND atr_14_bin == 0,double,LONG,fwd_ret_60m,21.346567969912766,0.0,0.03023217,0.5048233399322216,0.31667015,0.26178598,1.2332183,0.9814503745750657,119212,0.03023217,0.48899144,,,ret_60m_turned_positive_bin,True,atr_14_bin,0,0.12241146315650844,bull_low_vol,True,True,"(False, 'PASS')",False,PASS,0.011968385831631123,True,True,True,True,False,Net expectancy -2.133% < 1.000% after 2.0 bps cost,-0.0013291234,-0.021329124,0.46798002372872005,-0.039413903,36243.0
atr_14_bin == 1,single,LONG,fwd_ret_60m,24.30610614696796,0.0,0.029418955,0.5114932292023475,0.36105543,0.31782255,1.1894836,0.8245903256889463,218955,0.029418955,0.5663557,atr_14_bin,1,,,,,0.11865328654561598,bull_low_vol,False,False,"(False, 'PASS')",False,PASS,0.022986458404695043,True,True,True,False,,,,,,,
ret_60m_bin == 2.0 AND atr_14_bin == 0,double,LONG,fwd_ret_60m,17.56627703244575,0.0,0.034235895,0.5069998494656028,0.31243423,0.2518624,1.2757219,1.1404509517479244,59787,0.034235895,0.47654656,,,ret_60m_bin,2.0,atr_14_bin,0,0.11755752321707218,bull_low_vol,False,False,"(False, 'PASS')",False,PASS,0.05635864573143762,True,True,True,False,,,,,,,
rel_strength_60m_bin == 2.0 AND atr_14_bin == 0,double,LONG,fwd_ret_60m,17.220666766339846,0.0,0.034014456,0.5071222611668422,0.3157902,0.25590485,1.2696781,1.135918562286319,57917,0.034014456,0.4753534,,,rel_strength_60m_bin,2.0,atr_14_bin,0,0.11481432901586555,bull_low_vol,False,False,"(False, 'PASS')",False,PASS,0.054389082074704664,True,True,True,False,,,,,,,
ret_30m_bin == 2.0 AND atr_14_bin == 0,double,LONG,fwd_ret_60m,17.285321637699475,0.0,0.034471683,0.512385267611734,0.31289724,0.25809768,1.2739061,1.1199276403378313,60031,0.034471683,0.48862177,,,ret_30m_bin,2.0,atr_14_bin,0,0.11480222894031497,bull_low_vol,False,False,"(False, 'PASS')",False,PASS,0.06948736726520838,True,True,True,False,,,,,,,
session_range_pct_bin == 2 AND atr_14_bin == 0,double,LONG,fwd_ret_60m,16.545315876918803,0.0,0.03300021,0.5094028303682864,0.30287838,0.24722297,1.2720839,1.2080050924759305,47273,0.03300021,0.43365884,,,session_range_pct_bin,2,atr_14_bin,0,0.11141267429520599,bull_low_vol,False,False,"(False, 'PASS')",False,PASS,0.048807745111000556,True,True,True,False,,,,,,,
atr_14_bin == 0 AND price_vs_vwap_pct_bin == 2,double,LONG,fwd_ret_60m,17.07788209903793,0.0,0.031719513,0.5120081089476352,0.3067822,0.2568802,1.2530366,1.0961644410197569,61167,0.031719513,0.4593578,,,atr_14_bin,0,price_vs_vwap_pct_bin,2,0.1109360804203697,bull_low_vol,False,False,"(False, 'PASS')",False,PASS,0.04121135027003381,True,True,True,False,,,,,,,
