rule,rule_type,direction,horizon,t_stat,p_value,expectancy,win_rate,avg_win,avg_loss,profit_factor,sharpe,n_samples,mean_ret,std_ret,rule_col1,rule_val1,rule_col2,rule_val2,aaa_score,regime,is_event_based,passes_event_filter,overfit_check,is_overfit,overfit_reason,overfit_risk,passes_overfit_filter,passes_regime_filter,passes_aaa_score,passes_aaa_filters,validation_passed
atr_14_bin == 2 AND is_first_hour_bin == True,double,SHORT,fwd_ret_60m,6.909607610990375,5.000888592121555e-12,0.01968456,0.5141643743062594,0.32391873,0.30228928,1.1340336,0.7619882707771426,20721,0.01968456,0.4100886,atr_14_bin,2,is_first_hour_bin,True,0.012984661037778476,bull_low_vol,False,False,"(False, 'PASS')",False,PASS,0.028328748612518773,True,True,False,False,False
rel_outperform_extreme_bin == True AND is_first_hour_bin == True,double,SHORT,fwd_ret_60m,5.005872364961881,5.624972052586941e-07,0.028074555,0.5274375803504974,0.51192933,0.51196665,1.1160412,0.6536684678293012,14779,0.028074555,0.68179786,rel_outperform_extreme_bin,True,is_first_hour_bin,True,0.0059043171905657135,bull_low_vol,True,True,"(False, 'PASS')",False,PASS,0.05487516070099474,True,True,False,False,False
atr_14_bin == 4 AND price_vs_vwap_pct_bin == 0,double,SHORT,fwd_ret_60m,3.895747218353888,9.800015716132648e-05,0.014508125,0.4876856919468335,0.52557087,0.4719862,1.0599991,0.24959458116691013,61392,0.014508125,0.9227338,atr_14_bin,4,price_vs_vwap_pct_bin,0,0.0054884813558464425,bull_low_vol,False,False,"(False, 'PASS')",False,PASS,0.0,True,True,False,False,False
at_session_high_bin == True AND is_first_hour_bin == True,double,SHORT,fwd_ret_60m,4.77203268936064,1.844107337722889e-06,0.022771422,0.5317034700315457,0.3937716,0.39846185,1.1220344,0.6727350538198107,12680,0.022771422,0.5373365,at_session_high_bin,True,is_first_hour_bin,True,0.005010170081105762,bull_low_vol,True,True,"(False, 'PASS')",False,PASS,0.06340694006309144,True,True,False,False,False
rel_underperform_extreme_bin == True AND atr_14_bin == 4,double,SHORT,fwd_ret_60m,4.657045272425934,3.2350922269941407e-06,0.053623546,0.4845619834710744,0.69228005,0.54677594,1.1902696,0.6011225670257815,15125,0.053623546,1.4160962,rel_underperform_extreme_bin,True,atr_14_bin,4,0.004749353185265058,bull_low_vol,True,True,"(False, 'PASS')",False,PASS,0.23623545914888383,True,True,False,False,False
rvol_bin == 3 AND atr_14_bin == 4,double,SHORT,fwd_ret_60m,3.0397578806387346,0.002368846614926756,0.013426618,0.48838048910255194,0.54611856,0.4950692,1.0530094,0.21034633386699736,52627,0.013426618,1.0132858,rvol_bin,3,atr_14_bin,4,0.003614252608453878,bull_low_vol,False,False,"(False, 'PASS')",False,PASS,0.0,True,True,False,False,False
at_session_high_bin == True AND atr_14_bin == 2,double,SHORT,fwd_ret_60m,3.6891857005271285,0.00022565603770585696,0.016396329,0.5081037741251933,0.3827041,0.36198094,1.0920848,0.44319639359680274,17461,0.016396329,0.58728737,at_session_high_bin,True,atr_14_bin,2,0.0033578749661866882,bull_low_vol,True,True,"(False, 'PASS')",False,PASS,0.016207548250386505,True,True,False,False,False
ret_30m_bin == 0.0 AND rel_strength_60m_bin == 4.0,double,SHORT,fwd_ret_60m,3.769846323516811,0.0001641816601758439,0.021755097,0.5101534095947504,0.4393496,0.413151,1.1074959,0.5635430961815938,11277,0.021755097,0.61282176,ret_30m_bin,0.0,rel_strength_60m_bin,4.0,0.002829185396061981,bull_low_vol,False,False,"(False, 'PASS')",False,PASS,0.020306819189500835,True,True,False,False,False
rel_underperform_extreme_bin == True AND session_range_pct_bin == 0,double,SHORT,fwd_ret_60m,3.5429536342728403,0.0003968680553676496,0.039414924,0.4680639384492936,0.639379,0.48850852,1.1516804,0.4580451406273412,15077,0.039414924,1.3660063,rel_underperform_extreme_bin,True,session_range_pct_bin,0,0.0026510023919394505,bull_low_vol,True,True,"(False, 'PASS')",False,PASS,0.09414923638105394,True,True,False,False,False
rel_underperform_extreme_bin == True AND price_vs_vwap_pct_bin == 0,double,SHORT,fwd_ret_60m,3.29088030084262,0.0010009096011167617,0.034431465,0.4725997369574748,0.6347558,0.503515,1.1296592,0.4134287628756508,15967,0.034431465,1.3220719,rel_underperform_extreme_bin,True,price_vs_vwap_pct_bin,0,0.0023765438279885116,bull_low_vol,True,True,"(False, 'PASS')",False,PASS,0.04431464970111848,True,True,False,False,False
rel_underperform_extreme_bin == True AND ret_15m_bin == 0.0,double,SHORT,fwd_ret_60m,3.1358511649840906,0.0017170354323456927,0.034838118,0.4695305394248933,0.644213,0.50453335,1.1301681,0.41638399411139726,14293,0.034838118,1.3281922,rel_underperform_extreme_bin,True,ret_15m_bin,0.0,0.0020283970050378134,bull_low_vol,True,True,"(False, 'PASS')",False,PASS,0.048381176590919506,True,True,False,False,False
