rule,rule_type,direction,horizon,t_stat,p_value,expectancy,win_rate,avg_win,avg_loss,profit_factor,sharpe,n_samples,mean_ret,std_ret,rule_col,rule_val,rule_col1,rule_val1,rule_col2,rule_val2,aaa_score,regime,is_event_based,passes_event_filter,overfit_check,is_overfit,overfit_reason,overfit_risk,passes_overfit_filter,passes_regime_filter,passes_aaa_score,passes_aaa_filters,validation_passed,validation_reason,val_expectancy,val_expectancy_net,val_win_rate,val_sharpe,val_trades
vwap_cross_up_bin == True AND atr_14_bin == 0,double,LONG,fwd_ret_120m,38.978583225780575,0.0,0.08540921,0.5386328553984625,0.55171347,0.45898756,1.4033269,1.7147434077118313,130213,0.08540921,0.79068923,,,vwap_cross_up_bin,True,atr_14_bin,0,0.41668156806921186,bull_low_vol,True,True,"(False, 'PASS')",False,PASS,0.7387295059747858,True,True,True,True,True,PASS,0.06745265,0.047452647,0.5014684653292847,1.131129,40178.0
ret_15m_turned_positive_bin == True AND atr_14_bin == 0,double,LONG,fwd_ret_120m,37.038280736129636,0.0,0.08518666,0.5372436128103635,0.5525603,0.4574175,1.4024448,1.7008757460022401,119497,0.08518666,0.79505885,,,ret_15m_turned_positive_bin,True,atr_14_bin,0,0.3917246722813354,bull_low_vol,True,True,"(False, 'PASS')",False,PASS,0.726791701519491,True,True,True,True,True,PASS,0.0670302,0.0470302,0.5022864213471057,1.1226395,37176.0
ret_5m_turned_positive_bin == True AND atr_14_bin == 0,double,LONG,fwd_ret_120m,34.0643280174239,0.0,0.08264436,0.5346271647886259,0.5494977,0.45368364,1.3914344,1.6626089240618878,105784,0.08264436,0.78908426,,,ret_5m_turned_positive_bin,True,atr_14_bin,0,0.3504509266397426,bull_low_vol,True,True,"(False, 'PASS')",False,PASS,0.6770023743814043,True,True,True,True,True,PASS,0.06273498,0.042734977,0.49955084441250447,1.0418348,33396.0
vwap_cross_up_bin == True AND rvol_bin == 0,double,LONG,fwd_ret_180m,33.861208669254964,0.0,0.0985914,0.5351705213641709,0.74809676,0.6492014,1.3267126,1.505090028185975,127550,0.0985914,1.0398647,,,vwap_cross_up_bin,True,rvol_bin,0,0.3156773159426213,bull_low_vol,True,True,"(False, 'PASS')",False,PASS,0.7588000785517521,True,True,True,True,True,PASS,0.07657007,0.05657007,0.4957593000161039,1.0102227,37258.0
ret_30m_turned_positive_bin == True AND rvol_bin == 0,double,LONG,fwd_ret_180m,32.62498994818103,0.0,0.09747363,0.5337977124617636,0.7469889,0.64621586,1.3235453,1.4931747203513535,120304,0.09747363,1.0362792,,,ret_30m_turned_positive_bin,True,rvol_bin,0,0.30097053553669534,bull_low_vol,True,True,"(False, 'PASS')",False,PASS,0.7423317131134151,True,True,True,True,True,PASS,0.06687549,0.046875488,0.4923741665951298,0.9058811,34947.0
ret_15m_turned_positive_bin == True AND rvol_bin == 0,double,LONG,fwd_ret_180m,32.226907967807605,0.0,0.096702985,0.5349615423034662,0.74600947,0.6502331,1.3198025,1.4760108721668403,120132,0.096702985,1.0400413,,,ret_15m_turned_positive_bin,True,rvol_bin,0,0.29452150775102814,bull_low_vol,True,True,"(False, 'PASS')",False,PASS,0.7369529392621981,True,True,True,True,True,PASS,0.07624542,0.05624542,0.4960081825155553,1.0035336,35197.0
ret_5m_turned_positive_bin == True AND rvol_bin == 0,double,LONG,fwd_ret_180m,30.4350963609074,0.0,0.09605487,0.5343433224394838,0.745487,0.6491716,1.3177563,1.467995186287246,108318,0.09605487,1.0387117,,,ret_5m_turned_positive_bin,True,rvol_bin,0,0.2763159511772392,bull_low_vol,True,True,"(False, 'PASS')",False,PASS,0.7292353139787753,True,True,True,True,True,PASS,0.079658136,0.059658136,0.4962572515750733,1.0424513,32062.0
ret_15m_turned_positive_bin == True AND ret_15m_bin == 2.0,double,LONG,fwd_ret_180m,33.779067207728744,0.0,0.090532,0.5393880395838854,0.7777995,0.7142752,1.2751703,1.2869614671238783,173606,0.090532,1.1167008,,,ret_15m_turned_positive_bin,True,ret_15m_bin,2.0,0.27139432753833115,bull_low_vol,True,True,"(False, 'PASS')",False,PASS,0.6840960529941791,True,True,True,True,True,PASS,0.066336155,0.046336155,0.49912053597897194,0.81410176,50599.0
vwap_cross_up_bin == True AND ret_15m_bin == 2.0,double,LONG,fwd_ret_180m,30.38708230217627,0.0,0.09486157,0.5419618528610354,0.7806155,0.716539,1.289034,1.3459292484733665,128450,0.09486157,1.1188409,,,vwap_cross_up_bin,True,ret_15m_bin,2.0,0.25468921742934997,bull_low_vol,True,True,"(False, 'PASS')",False,PASS,0.7325393759262333,True,True,True,True,True,PASS,0.07205964,0.05205964,0.5010756736406174,0.8929926,37186.0
vwap_cross_up_bin == True AND ret_5m_bin == 2.0,double,LONG,fwd_ret_180m,29.378983293276132,0.0,0.09089404,0.5369520202206288,0.78595984,0.71510667,1.2744976,1.2660250235828547,135703,0.09089404,1.1397074,,,vwap_cross_up_bin,True,ret_5m_bin,2.0,0.2311536685153394,bull_low_vol,True,True,"(False, 'PASS')",False,PASS,0.6828444748971292,True,True,True,True,True,PASS,0.06716842,0.047168422,0.5016280752532561,0.84115094,38696.0
