rule,rule_type,direction,horizon,t_stat,p_value,expectancy,win_rate,avg_win,avg_loss,profit_factor,sharpe,n_samples,mean_ret,std_ret,rule_col,rule_val,rule_col1,rule_val1,rule_col2,rule_val2,aaa_score,regime,is_event_based,passes_event_filter,overfit_check,is_overfit,overfit_reason,overfit_risk,passes_overfit_filter,passes_regime_filter,passes_aaa_score,passes_aaa_filters,validation_passed,validation_reason,val_expectancy,val_expectancy_net,val_win_rate,val_sharpe,val_trades
avwap_cross_up_bin == True AND session_range_pct_bin == 3,double,LONG,fwd_ret_120m,16.079433704390578,0.0,0.054626398,0.5300151676872086,0.6707477,0.6401911,1.1815553,0.8555862941558121,89005,0.054626398,1.0135356,,,avwap_cross_up_bin,True,session_range_pct_bin,3,0.0843935243931319,bear_high_vol,True,True,"(False, 'PASS')",False,PASS,0.30629431325966344,True,True,True,True,True,PASS,0.05444152,0.03444152,0.5460207612456748,1.1655532,13005.0
avwap_cross_up_bin == True AND ret_30m_bin == 1.0,double,LONG,fwd_ret_120m,14.847803807191411,0.0,0.09695251,0.5485369787266723,0.7111729,0.649338,1.3307244,1.4605798607559495,26042,0.09695251,1.0537413,,,avwap_cross_up_bin,True,ret_30m_bin,1.0,0.06947861750734953,bear_high_vol,True,True,"(False, 'PASS')",False,PASS,0.7665990860563261,True,True,True,True,True,PASS,0.050020456,0.030020457,0.5237943149153625,1.0155944,3131.0
avwap_cross_up_bin == True AND ret_60m_bin == 2.0,double,LONG,fwd_ret_120m,12.485652918908153,0.0,0.0576911,0.536176606564956,0.6361711,0.61102766,1.2035614,0.9529459725182148,43260,0.0576911,0.9610386,,,avwap_cross_up_bin,True,ret_60m_bin,2.0,0.06388371551528421,bear_high_vol,True,True,"(False, 'PASS')",False,PASS,0.3492642229780299,True,True,True,True,True,PASS,0.035029527,0.015029527,0.5353098620547663,0.7649258,4857.0
avwap_cross_up_bin == True AND rel_strength_60m_bin == 2.0,double,LONG,fwd_ret_120m,11.87020277308041,0.0,0.057850715,0.5301041501931636,0.67099875,0.63386065,1.1942286,0.8956492887575948,44263,0.057850715,1.0253474,,,avwap_cross_up_bin,True,rel_strength_60m_bin,2.0,0.0577450054118311,bear_high_vol,True,True,"(False, 'PASS')",False,PASS,0.338715448115724,True,True,True,True,True,PASS,0.052618735,0.032618735,0.555268022181146,1.1842468,5410.0
avwap_cross_up_bin == True AND atr_14_bin == 1,double,LONG,fwd_ret_120m,11.815565627065782,0.0,0.049268406,0.5202258794577135,0.60404676,0.5522857,1.1859379,0.8792180315891088,45511,0.049268406,0.8895537,,,avwap_cross_up_bin,True,atr_14_bin,1,0.05693452313877062,bear_high_vol,True,True,"(False, 'PASS')",False,PASS,0.23313581776047015,True,True,True,True,True,PASS,0.07446789,0.05446789,0.5551344522649341,1.6881385,5541.0
avwap_cross_up_bin == True AND atr_14_bin == 0,double,LONG,fwd_ret_120m,11.512855555702075,0.0,0.04502691,0.5183241830595005,0.56889325,0.51869786,1.1802199,0.8226050324213442,49361,0.04502691,0.86892253,,,avwap_cross_up_bin,True,atr_14_bin,0,0.05608879275424661,bear_high_vol,True,True,"(False, 'PASS')",False,PASS,0.18691746171865226,True,True,True,True,True,PASS,0.08828423,0.06828423,0.5805495157145681,2.293799,5059.0
price_down_vol_weak_bin == True AND session_range_pct_bin == 3,double,LONG,fwd_ret_120m,13.662664251559896,0.0,0.09050934,0.5454397834912044,0.6445752,0.57433003,1.3466893,1.5956713472613198,18475,0.09050934,0.90043056,,,price_down_vol_weak_bin,True,session_range_pct_bin,3,0.049839786949617305,bear_high_vol,True,True,"(False, 'PASS')",False,PASS,0.7438086422835245,True,True,True,True,True,PASS,0.0672404,0.047240403,0.5366387167335035,1.4409647,2743.0
avwap_cross_up_bin == True AND price_vs_vwap_pct_bin == 1,double,LONG,fwd_ret_120m,11.88251044572175,0.0,0.077457376,0.5345864929331767,0.733364,0.6759347,1.2462175,1.1254866507259977,28089,0.077457376,1.0925032,,,avwap_cross_up_bin,True,price_vs_vwap_pct_bin,1,0.04648566689044472,bear_high_vol,True,True,"(False, 'PASS')",False,PASS,0.5437467441108679,True,True,True,True,True,PASS,0.0671316,0.0471316,0.5492293173954074,1.374978,3179.0
avwap_cross_up_bin == True AND price_vs_vwap_pct_bin == 3,double,LONG,fwd_ret_120m,10.350374754236109,0.0,0.039495517,0.5253272154092462,0.6139667,0.59628,1.1395415,0.6675235924630613,60587,0.039495517,0.9392505,,,avwap_cross_up_bin,True,price_vs_vwap_pct_bin,3,0.04200866230830593,bear_high_vol,True,True,"(False, 'PASS')",False,PASS,0.1456095965027156,True,True,True,True,True,PASS,0.039103396,0.019103397,0.538006652704201,0.8796884,8117.0
avwap_cross_up_bin == True AND ret_15m_bin == 3.0,double,LONG,fwd_ret_120m,9.539291220746428,0.0,0.037182786,0.5209341577252294,0.6116997,0.58754444,1.1321009,0.628444107805382,58063,0.037182786,0.9392378,,,avwap_cross_up_bin,True,ret_15m_bin,3.0,0.03614530208477443,bear_high_vol,True,True,"(False, 'PASS')",False,PASS,0.1136961711566738,True,True,True,True,True,PASS,0.04842639,0.02842639,0.5361916771752837,1.0428207,7930.0
