rule,rule_type,direction,horizon,t_stat,p_value,expectancy,win_rate,avg_win,avg_loss,profit_factor,sharpe,n_samples,mean_ret,std_ret,rule_col,rule_val,rule_col1,rule_val1,rule_col2,rule_val2,aaa_score,regime,is_event_based,passes_event_filter,overfit_check,is_overfit,overfit_reason,overfit_risk,passes_overfit_filter,passes_regime_filter,passes_aaa_score,passes_aaa_filters,validation_passed,validation_reason,val_expectancy,val_expectancy_net,val_win_rate,val_sharpe,val_trades
avwap_cross_up_bin == True AND rvol_bin == 0,double,LONG,fwd_ret_180m,21.670190126278897,0.0,0.08084425,0.5256483380459449,0.75761986,0.6691182,1.25471,1.1983715324426008,82403,0.08084425,1.0709223,,,avwap_cross_up_bin,True,rvol_bin,0,0.1579922407391034,bear_low_vol,True,True,"(False, 'PASS')",False,PASS,0.5597392091080946,True,True,True,True,True,PASS,0.054690678,0.034690678,0.49039069914583994,0.75194263,25288.0
avwap_cross_up_bin == True AND rel_strength_60m_bin == 1.0,double,LONG,fwd_ret_180m,17.93896394867413,0.0,0.09578048,0.5363777930684822,0.8733962,0.8038653,1.256998,1.211785730484861,55226,0.09578048,1.2547333,,,avwap_cross_up_bin,True,rel_strength_60m_bin,1.0,0.13495228355840486,bear_low_vol,True,True,"(False, 'PASS')",False,PASS,0.730560355414537,True,True,True,True,True,PASS,0.06695517,0.046955172,0.5012155351319301,0.7574313,16865.0
price_up_vol_weak_bin == True AND atr_14_bin == 0,double,LONG,fwd_ret_180m,18.314957856112095,0.0,0.099085175,0.538237233125412,0.74588597,0.6548349,1.3276861,1.4640259007693452,39438,0.099085175,1.0743856,,,price_up_vol_weak_bin,True,atr_14_bin,0,0.13175270998299202,bear_low_vol,True,True,"(False, 'PASS')",False,PASS,0.7673262112602464,True,True,True,True,True,PASS,0.082039244,0.062039245,0.5098897662418889,1.1484214,12791.0
price_down_vol_weak_bin == True AND atr_14_bin == 0,double,LONG,fwd_ret_180m,17.15432694085039,0.0,0.08620386,0.5370226566782387,0.73438346,0.665641,1.2797222,1.3014162424601339,43784,0.08620386,1.0515035,,,price_down_vol_weak_bin,True,atr_14_bin,0,0.12151061044551702,bear_low_vol,True,True,"(False, 'PASS')",False,PASS,0.6360838959198776,True,True,True,True,True,PASS,0.11426444,0.09426445,0.5357344544142562,1.634864,15937.0
ret_5m_turned_positive_bin == True AND ret_60m_bin == 2.0,double,LONG,fwd_ret_180m,17.804573603924148,0.0,0.07778654,0.5337000979319085,0.78460276,0.7311947,1.2281425,1.0726042004009886,69436,0.07778654,1.1512383,,,ret_5m_turned_positive_bin,True,ret_60m_bin,2.0,0.11796539078487256,bear_low_vol,True,True,"(False, 'PASS')",False,PASS,0.5452656206160524,True,True,True,True,True,PASS,0.05305514,0.03305514,0.49670021062485376,0.6456651,21365.0
ret_60m_turned_positive_bin == True AND rvol_bin == 0,double,LONG,fwd_ret_180m,18.662310534828084,0.0,0.0677735,0.520125565103567,0.73121345,0.6513148,1.216841,1.0313837143593687,82507,0.0677735,1.0431335,,,ret_60m_turned_positive_bin,True,rvol_bin,0,0.11587243656988712,bear_low_vol,True,True,"(False, 'PASS')",False,PASS,0.41798611615474296,True,True,True,True,True,PASS,0.055934355,0.035934355,0.48932822271535203,0.7688509,24785.0
ret_5m_turned_positive_bin == True AND ret_5m_bin == 3.0,double,LONG,fwd_ret_180m,22.320078751112646,0.0,0.06074771,0.5276929860263193,0.7671276,0.728467,1.1765615,0.8424171013266131,176904,0.06074771,1.1447299,,,ret_5m_turned_positive_bin,True,ret_5m_bin,3.0,0.11483928406687893,bear_low_vol,True,True,"(False, 'PASS')",False,PASS,0.36286306330544243,True,True,True,True,True,PASS,0.042401828,0.022401828,0.49574731026461183,0.52726895,55024.0
vwap_cross_up_bin == True AND price_vs_vwap_pct_bin == 3,double,LONG,fwd_ret_180m,21.873866474343064,0.0,0.05965186,0.5287633132080591,0.77243143,0.7401409,1.1710293,0.8256038773053245,176892,0.05965186,1.1469712,,,vwap_cross_up_bin,True,price_vs_vwap_pct_bin,3,0.11052101209046457,bear_low_vol,True,True,"(False, 'PASS')",False,PASS,0.3540452174624516,True,True,True,True,True,PASS,0.0491509,0.0291509,0.49870897033418166,0.60754967,53833.0
ret_5m_turned_positive_bin == True AND price_vs_vwap_pct_bin == 3,double,LONG,fwd_ret_180m,18.237103980281926,0.0,0.06564988,0.5307518690929609,0.76703787,0.7276681,1.1922641,0.9189664165521066,99246,0.06564988,1.1340562,,,ret_5m_turned_positive_bin,True,price_vs_vwap_pct_bin,3,0.10295164836283344,bear_low_vol,True,True,"(False, 'PASS')",False,PASS,0.4180025577755367,True,True,True,True,True,PASS,0.04897563,0.028975632,0.4976000529643484,0.6083696,30209.0
ret_30m_turned_positive_bin == True AND price_vs_vwap_pct_bin == 3,double,LONG,fwd_ret_180m,19.229451894858954,0.0,0.062192984,0.5294517372048031,0.7774249,0.742572,1.1779912,0.8631033947225127,125086,0.062192984,1.1438757,,,ret_30m_turned_positive_bin,True,price_vs_vwap_pct_bin,3,0.10170501435599938,bear_low_vol,True,True,"(False, 'PASS')",False,PASS,0.3808333136630318,True,True,True,True,True,PASS,0.043951284,0.023951285,0.49907749077490776,0.5350336,37940.0
