rule,rule_type,direction,horizon,t_stat,p_value,expectancy,win_rate,avg_win,avg_loss,profit_factor,sharpe,n_samples,mean_ret,std_ret,rule_col,rule_val,rule_col1,rule_val1,rule_col2,rule_val2,aaa_score,regime,is_event_based,passes_event_filter,overfit_check,is_overfit,overfit_reason,overfit_risk,passes_overfit_filter,passes_regime_filter,passes_aaa_score,passes_aaa_filters,validation_passed,validation_reason,val_expectancy,val_expectancy_net,val_win_rate,val_sharpe,val_trades
ret_15m_turned_positive_bin == True AND is_first_hour_bin == True,double,SHORT,fwd_ret_180m,12.393342355235843,0.0,0.04030911,0.5303396703746419,0.5587733,0.5451398,1.1574388,0.8485299311259109,53758,0.04030911,0.7541128,,,ret_15m_turned_positive_bin,True,is_first_hour_bin,True,0.06454996111903673,bear_low_vol,True,True,"(False, 'PASS')",False,PASS,0.16377042868663888,True,True,True,True,True,PASS,0.06517509,0.045175094,0.5433385691846352,1.2847025,14006.0
ret_60m_turned_positive_bin == True AND is_first_hour_bin == True,double,SHORT,fwd_ret_180m,12.09719699560938,0.0,0.03711411,0.5292955999477739,0.56174284,0.55281806,1.1426293,0.7758075582979133,61272,0.03711411,0.75942576,,,ret_60m_turned_positive_bin,True,is_first_hour_bin,True,0.057494102718610225,bear_low_vol,True,True,"(False, 'PASS')",False,PASS,0.1297322983352412,True,True,True,True,True,PASS,0.06246715,0.04246715,0.5444010658734585,1.2306722,16137.0
vwap_cross_up_bin == True AND is_first_hour_bin == True,double,SHORT,fwd_ret_180m,11.45718653023365,0.0,0.036263615,0.529644691780822,0.55368173,0.5463763,1.1411084,0.768132620677469,56064,0.036263615,0.74943703,,,vwap_cross_up_bin,True,is_first_hour_bin,True,0.05394920809851595,bear_low_vol,True,True,"(False, 'PASS')",False,PASS,0.12192553249123989,True,True,True,True,True,PASS,0.056226633,0.036226634,0.5386847195357833,1.1098402,14476.0
ret_30m_turned_positive_bin == True AND is_first_hour_bin == True,double,SHORT,fwd_ret_180m,11.244123977643264,0.0,0.036097754,0.5308753156398439,0.5550225,0.5511327,1.1396164,0.7500648020158008,56631,0.036097754,0.76397943,,,ret_30m_turned_positive_bin,True,is_first_hour_bin,True,0.05182069117236286,bear_low_vol,True,True,"(False, 'PASS')",False,PASS,0.12272816920969959,True,True,True,True,True,PASS,0.056719974,0.036719974,0.5390535340579221,1.1306001,14813.0
avwap_cross_up_bin == True AND is_first_hour_bin == True,double,SHORT,fwd_ret_180m,10.929497000809745,0.0,0.035415273,0.5254384378954982,0.56455445,0.550452,1.1355746,0.7377319859011381,55310,0.035415273,0.7620654,,,avwap_cross_up_bin,True,is_first_hour_bin,True,0.04903507979072131,bear_low_vol,True,True,"(False, 'PASS')",False,PASS,0.10502960738841988,True,True,True,True,True,PASS,0.05689759,0.036897592,0.537472372915411,1.1632435,14931.0
price_up_vol_weak_bin == True AND is_first_hour_bin == True,double,SHORT,fwd_ret_180m,11.023067279859065,0.0,0.04331122,0.537130025262764,0.53062594,0.5221853,1.1791911,0.9772386858787101,32063,0.04331122,0.7035582,,,price_up_vol_weak_bin,True,is_first_hour_bin,True,0.042944044804973165,bear_low_vol,True,True,"(False, 'PASS')",False,PASS,0.207372247149807,True,True,True,True,True,PASS,0.05998749,0.03998749,0.5269482034531031,1.2746656,8572.0
ret_5m_turned_positive_bin == True AND is_first_hour_bin == True,double,SHORT,fwd_ret_180m,9.664046706740141,0.0,0.031553198,0.5244582748282798,0.5528267,0.54334104,1.1221187,0.6682604413538993,52702,0.031553198,0.74954534,,,ret_5m_turned_positive_bin,True,is_first_hour_bin,True,0.039201435721042344,bear_low_vol,True,True,"(False, 'PASS')",False,PASS,0.06444852617757474,True,True,True,True,True,PASS,0.08619426,0.066194266,0.5514159038901602,1.6546615,13984.0
rel_outperform_extreme_bin == True,single,SHORT,fwd_ret_180m,9.051263112217221,0.0,0.07001658,0.5347318235995232,0.8075864,0.77767086,1.1935093,0.9921068890316471,20975,0.07001658,1.1203215,rel_outperform_extreme_bin,True,,,,,0.02331427467457844,bear_low_vol,True,True,"(False, 'PASS')",False,PASS,0.4696294255975602,True,True,True,True,True,PASS,0.12809466,0.10809466,0.5486256228902106,1.7617351,6221.0
rel_outperform_extreme_bin == True AND rel_strength_60m_bin == 4.0,double,SHORT,fwd_ret_180m,9.051263112217221,0.0,0.07001658,0.5347318235995232,0.8075864,0.77767086,1.1935093,0.9921068890316471,20975,0.07001658,1.1203215,,,rel_outperform_extreme_bin,True,rel_strength_60m_bin,4.0,0.02331427467457844,bear_low_vol,True,True,"(False, 'PASS')",False,PASS,0.4696294255975602,True,True,True,True,True,PASS,0.12809466,0.10809466,0.5486256228902106,1.7617351,6221.0
rel_outperform_extreme_bin == True AND ret_60m_turned_positive_bin == True,double,SHORT,fwd_ret_180m,9.051263112217221,0.0,0.07001658,0.5347318235995232,0.8075864,0.77767086,1.1935093,0.9921068890316471,20975,0.07001658,1.1203215,,,rel_outperform_extreme_bin,True,ret_60m_turned_positive_bin,True,0.02331427467457844,bear_low_vol,True,True,"(False, 'PASS')",False,PASS,0.4696294255975602,True,True,True,True,True,PASS,0.12809466,0.10809466,0.5486256228902106,1.7617351,6221.0
