rule,rule_type,direction,horizon,t_stat,p_value,expectancy,win_rate,avg_win,avg_loss,profit_factor,sharpe,n_samples,mean_ret,std_ret,rule_col,rule_val,rule_col1,rule_val1,rule_col2,rule_val2,aaa_score,regime,is_event_based,passes_event_filter,overfit_check,is_overfit,overfit_reason,overfit_risk,passes_overfit_filter,passes_regime_filter,passes_aaa_score,passes_aaa_filters,validation_passed,validation_reason,val_expectancy,val_expectancy_net,val_win_rate,val_sharpe,val_trades
rel_outperform_extreme_bin == True AND ret_60m_turned_positive_bin == True,double,SHORT,fwd_ret_90m,16.236110635314095,0.0,0.069967486,0.5261079111320089,0.67506,0.6017971,1.245339,1.2497094386800573,42535,0.069967486,0.8887661,,,rel_outperform_extreme_bin,True,ret_60m_turned_positive_bin,True,0.10510625801219962,bear_high_vol,True,True,"(False, 'PASS')",False,PASS,0.4518906819070004,True,True,True,True,True,PASS,0.065825306,0.045825306,0.5387376607837272,1.2133257,10029.0
rel_outperform_extreme_bin == True,single,SHORT,fwd_ret_90m,15.883671834107655,0.0,0.06688577,0.5235748205162829,0.6773164,0.60395646,1.232452,1.1961849954530466,44433,0.06688577,0.8876375,rel_outperform_extreme_bin,True,,,,,0.10231749490607138,bear_high_vol,True,True,"(False, 'PASS')",False,PASS,0.416007334704746,True,True,True,True,True,PASS,0.06923049,0.04923049,0.5412416205187992,1.2822667,10293.0
rel_outperform_extreme_bin == True AND rel_strength_60m_bin == 4.0,double,SHORT,fwd_ret_90m,15.883671834107655,0.0,0.06688577,0.5235748205162829,0.6773164,0.60395646,1.232452,1.1961849954530466,44433,0.06688577,0.8876375,,,rel_outperform_extreme_bin,True,rel_strength_60m_bin,4.0,0.10231749490607138,bear_high_vol,True,True,"(False, 'PASS')",False,PASS,0.416007334704746,True,True,True,True,True,PASS,0.06923049,0.04923049,0.5412416205187992,1.2822667,10293.0
rel_outperform_extreme_bin == True AND ret_60m_bin == 4.0,double,SHORT,fwd_ret_90m,15.410040871532289,0.0,0.06946533,0.5265719978813025,0.68019325,0.609819,1.2406098,1.2285671978565205,39647,0.06946533,0.8975724,,,rel_outperform_extreme_bin,True,ret_60m_bin,4.0,0.09149282779633473,bear_high_vol,True,True,"(False, 'PASS')",False,PASS,0.44779731309487275,True,True,True,True,True,PASS,0.0488885,0.028888501,0.530561285419607,0.88866156,9211.0
rel_outperform_extreme_bin == True AND is_first_hour_bin == True,double,SHORT,fwd_ret_90m,15.366682077341304,0.0,0.074565426,0.5176281583175113,0.70612663,0.6031562,1.2562866,1.3183939268959828,34235,0.074565426,0.8978268,,,rel_outperform_extreme_bin,True,is_first_hour_bin,True,0.0831055023009785,bear_high_vol,True,True,"(False, 'PASS')",False,PASS,0.48091057178677127,True,True,True,True,True,PASS,0.07174661,0.05174661,0.5441783649876135,1.3252368,9688.0
rel_outperform_extreme_bin == True AND ret_30m_turned_positive_bin == True,double,SHORT,fwd_ret_90m,14.355688369784499,0.0,0.06680597,0.5273263181091951,0.66858083,0.6045487,1.2337883,1.1960766561939764,36302,0.06680597,0.88665885,,,rel_outperform_extreme_bin,True,ret_30m_turned_positive_bin,True,0.07608679470981544,bear_high_vol,True,True,"(False, 'PASS')",False,PASS,0.42271237270863976,True,True,True,True,True,PASS,0.046557516,0.026557516,0.5292996665078609,0.8519513,8396.0
rel_outperform_extreme_bin == True AND vwap_cross_up_bin == True,double,SHORT,fwd_ret_90m,13.502219514063379,0.0,0.064492226,0.5256038935833508,0.6620183,0.5975327,1.227512,1.1712278170734938,33491,0.064492226,0.87411034,,,rel_outperform_extreme_bin,True,vwap_cross_up_bin,True,0.06443910279126952,bear_high_vol,True,True,"(False, 'PASS')",False,PASS,0.3961300436364282,True,True,True,True,True,PASS,0.052112166,0.032112166,0.5347283499306693,0.97769654,7933.0
rel_outperform_extreme_bin == True AND ret_30m_bin == 4.0,double,SHORT,fwd_ret_90m,13.335961422558833,0.0,0.06950748,0.530307014660443,0.6842196,0.62453336,1.2369529,1.213754169664671,30422,0.06950748,0.9090779,,,rel_outperform_extreme_bin,True,ret_30m_bin,4.0,0.060448628589824624,bear_high_vol,True,True,"(False, 'PASS')",False,PASS,0.45568882599752186,True,True,True,True,True,PASS,0.052040752,0.032040752,0.5367464905037159,0.9311687,7266.0
rel_outperform_extreme_bin == True AND ret_15m_turned_positive_bin == True,double,SHORT,fwd_ret_90m,13.147513770080169,0.0,0.06595762,0.5279984309110523,0.6623508,0.60118985,1.2324395,1.1932929522622329,30591,0.06595762,0.8774415,,,rel_outperform_extreme_bin,True,ret_15m_turned_positive_bin,True,0.05865881281134293,bear_high_vol,True,True,"(False, 'PASS')",False,PASS,0.4155730692214728,True,True,True,True,True,PASS,0.06424748,0.044247482,0.5395087719298246,1.2065624,7125.0
rel_outperform_extreme_bin == True AND price_vs_vwap_pct_bin == 4,double,SHORT,fwd_ret_90m,12.860751439316719,0.0,0.068806335,0.5287845718988157,0.67868024,0.61557686,1.2372065,1.2211906662957204,27949,0.068806335,0.89442766,,,rel_outperform_extreme_bin,True,price_vs_vwap_pct_bin,4,0.05372929267194206,bear_high_vol,True,True,"(False, 'PASS')",False,PASS,0.44563249709772595,True,True,True,True,True,PASS,0.0609062,0.040906202,0.5455342786142376,1.11388,6841.0
