rule,lift,support,p_value,baseline_rate,n_samples,direction,target
atr_14_bin == 4 AND is_power_hour_bin == True,7.398777197537455,0.02301637646134819,0.0,0.016071752602638215,151449,SHORT,down_180m
ret_30m_bin == 0.0 AND is_power_hour_bin == True,5.132653983978706,0.026273340613922013,0.0,0.016071752602638215,172880,SHORT,down_180m
ret_60m_bin == 0.0 AND is_power_hour_bin == True,5.103501224688917,0.024689159085928475,0.0,0.016071752602638215,162456,SHORT,down_180m
price_vs_vwap_pct_bin == 0 AND is_power_hour_bin == True,4.98689060884227,0.026356774579661506,0.0,0.016071752602638215,173429,SHORT,down_180m
ret_15m_bin == 0.0 AND is_power_hour_bin == True,4.950329371909405,0.027260110631310928,0.0,0.016071752602638215,179373,SHORT,down_180m
ret_60m_bin == 4.0 AND is_power_hour_bin == True,4.924247275979534,0.025945075830684672,0.0,0.016071752602638215,170720,SHORT,down_180m
ret_30m_bin == 4.0 AND is_power_hour_bin == True,4.8895612967329996,0.02654491893227624,0.0,0.016071752602638215,174667,SHORT,down_180m
ret_15m_bin == 4.0 AND is_power_hour_bin == True,4.775331678549244,0.027235338798131444,0.0,0.016071752602638215,179210,SHORT,down_180m
price_vs_vwap_pct_bin == 4 AND is_power_hour_bin == True,4.774578349565621,0.026473186998161414,0.0,0.016071752602638215,174195,SHORT,down_180m
price_vs_session_avwap_pct_bin == 0 AND is_power_hour_bin == True,4.657584693149061,0.03051038790867066,0.0,0.016071752602638215,200760,SHORT,down_180m
