rule,lift,support,p_value,baseline_rate,n_samples,direction,target
atr_14_bin == 4 AND is_power_hour_bin == True,5.858053471508282,0.02301637646134819,0.0,0.017269007214834407,151449,LONG,up_180m
ret_60m_bin == 4.0 AND is_power_hour_bin == True,5.402004459352749,0.025945075830684672,0.0,0.017269007214834407,170720,LONG,up_180m
ret_30m_bin == 4.0 AND is_power_hour_bin == True,5.171192251191488,0.02654491893227624,0.0,0.017269007214834407,174667,LONG,up_180m
price_vs_vwap_pct_bin == 4 AND is_power_hour_bin == True,5.01067971249599,0.026473186998161414,0.0,0.017269007214834407,174195,LONG,up_180m
ret_60m_bin == 0.0 AND is_power_hour_bin == True,4.932535271822806,0.024689159085928475,0.0,0.017269007214834407,162456,LONG,up_180m
ret_15m_bin == 4.0 AND is_power_hour_bin == True,4.863998707381475,0.027235338798131444,0.0,0.017269007214834407,179210,LONG,up_180m
ret_30m_bin == 0.0 AND is_power_hour_bin == True,4.784512754943727,0.026273340613922013,0.0,0.017269007214834407,172880,LONG,up_180m
price_vs_vwap_pct_bin == 0 AND is_power_hour_bin == True,4.687896523765539,0.026356774579661506,0.0,0.017269007214834407,173429,LONG,up_180m
ret_15m_bin == 0.0 AND is_power_hour_bin == True,4.612289958354559,0.027260110631310928,0.0,0.017269007214834407,179373,LONG,up_180m
ret_5m_bin == 3.0 AND is_power_hour_bin == True,4.477356800111092,0.02910568819040087,0.0,0.017269007214834407,191517,LONG,up_180m
